local_id,config_id,label,seed0_accuracy_fraction,seed1_accuracy_fraction,seed2_accuracy_fraction,accuracy_mean_fraction,accuracy_sample_sd_fraction,test_ce_mean,test_ce_sample_sd,probe_ce_mean,wall_mean_seconds,train_mean_seconds,peak_mib
C05,Rprog__Gplateau__input_bilinear__all19,16→24→32 ; Gaussian paliers ; bilinéaire AA entrée ; 19 sites,0.8015,0.8057,0.8142,0.8071333333333334,0.006470188044665601,0.5681551493326823,0.013212109367838091,0.3385802205403646,699.6321766893333,677.1077504590004,583.62451171875
C15,Rprog__Gplateau__input_max__all19,16→24→32 ; Gaussian paliers ; max entrée ; 19 sites,0.7969,0.8016,0.8117,0.8034,0.007562407024221819,0.5719925755818686,0.01944284301378377,0.34040024820963544,737.719607009,715.1883218223339,583.62451171875
C18,Rprog__Gnone__stem_max__all19,16→24→32 ; sans filtre ; max après stem,0.7962,0.7964,0.8064,0.7996666666666666,0.005832095106677644,0.5894094299316406,0.017561514834794716,0.36251507568359376,490.6531613096665,475.79718937466623,511.60498046875
C06,Rprog__Ggeo__input_bilinear__all19,16→24→32 ; Gaussian géométrique ; bilinéaire AA entrée ; 19 sites,0.7906,0.7977,0.8089,0.7990666666666666,0.009226230721878418,0.5918106867472331,0.018193913676613563,0.32148145548502605,708.8524587810001,686.9727169466678,583.6162109375
C19,Rprog__Gplateau__stem_max__all19,16→24→32 ; Gaussian paliers ; max après stem ; 19 sites,0.7905,0.7976,0.8062,0.7981,0.007861933604400408,0.5958850682576498,0.023733041242190788,0.3659546508789062,747.2482563863333,724.3499517856675,583.62646484375
C14,Rprog__Gnone__input_max__all19,16→24→32 ; sans filtre ; max entrée,0.7931,0.7977,0.8031,0.7979666666666667,0.00500533049191893,0.5969395126342774,0.015860962435070725,0.34159251912434896,489.28971313500006,474.5997277669979,511.60498046875
C08,Rgentle__Gplateau__input_bilinear__all19,24→32 ; Gaussian paliers ; bilinéaire AA entrée ; 19 sites,0.7927,0.7944,0.806,0.7977,0.007238093671679072,0.5898404307047526,0.014166460598813222,0.359873046875,694.1474467700001,670.2630471413331,583.625
C09,Rgentle__Ggeo__input_bilinear__all19,24→32 ; Gaussian géométrique ; bilinéaire AA entrée ; 19 sites,0.7903,0.8001,0.8001,0.7968333333333334,0.00565803263805835,0.597017584737142,0.010644885999501889,0.30446176147460935,703.5308784273334,680.5102209246671,583.6162109375
C11,Rprog__Gmix__input_bilinear__all19,16→24→32 ; mélange identité/Gaussian ; bilinéaire AA entrée ; 19 sites,0.7875,0.7944,0.8034,0.7951,0.00797307970611107,0.5953172393798828,0.021582261521471136,0.41973680623372395,783.0454702176667,758.8540934003332,614.873046875
C04,Rprog__Gnone__input_bilinear__all19,16→24→32 ; sans filtre ; bilinéaire AA entrée,0.792,0.7914,0.8011,0.7948333333333334,0.0054353779384080985,0.5989402628580729,0.015623151040300532,0.341347900390625,492.32312198866657,477.5300516526677,511.62060546875
C21,Rreverse__Gplateau__input_bilinear__all19,24→16→32 ; Gaussian paliers ; bilinéaire AA entrée ; 19 sites,0.79,0.7924,0.7974,0.7932666666666667,0.0037753587026047226,0.5960177612304688,0.00898809058042486,0.425913330078125,756.992424031,734.8479151213351,583.60888671875
C17,Rprog__Gplateau__stem_bilinear__all19,16→24→32 ; Gaussian paliers ; bilinéaire AA après stem ; 19 sites,0.7866,0.7934,0.7989,0.7929666666666667,0.00616143922580868,0.6062460571289062,0.015670544885982098,0.3747112833658854,749.8711291166668,727.6196476313336,583.61083984375
