seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,ce_loss,penalty_loss,anchor_lambda,anchor_term,theta_dist,alpha_mean,alpha_min_group,alpha_max_group,alpha_groups,test_loss,test_acc,test_acc_at_s1,test_acc_at_a0,test_loss_at_a0,ratio_mean,ratio_last_block,grad_norm_mean,grad_norm_total,linear_gap_mean,neg_frac_mean,dead_frac_mean
1,0,0.1,2.1363859390601134,0.23337339743589744,4.279947996139526,1166.369312081067,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.992835283279419,20.56545639038086,0.0001,0.0010282728195190431,4.641991142876005,1.0,1.0,1.0,[1.0],4.034445483398438,0.2851,0.2851,0.2087,2.1471306884765626,nan,nan,8.598138447993113,27.76682467314269,0.0,0.4999933593413409,0.0
1,1,0.09713580800847915,1.9766716254063141,0.2890625,4.261566877365112,1171.4001313729254,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,2.0144622325897217,39.507423400878906,0.0001,0.0019753711700439456,6.308597228105372,1.0,1.0,1.0,[1.0],1.9445665771484375,0.3055,0.3055,0.2487,2.1394649169921873,,,,,,,
1,2,0.08858834465170576,1.9647935445492084,0.28886217948717946,4.28437614440918,1165.1638025559967,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,2.007051467895508,51.17792510986328,0.0001,0.002558896255493164,7.175919443709227,1.0,1.0,1.0,[1.0],1.97868125,0.294,0.294,0.2339,2.1507957763671874,,,,,,,
1,3,0.0753865574266234,1.9511695641737719,0.30248397435897434,4.300656080245972,1160.7531285585821,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.9287629127502441,63.17481231689453,0.0001,0.0031587406158447265,7.968498426093979,1.0,1.0,1.0,[1.0],1.9277067626953126,0.3085,0.3085,0.2594,2.1033034912109376,,,,,,,
1,4,0.059562413718353115,1.934781673627022,0.30909455128205127,4.289757251739502,1163.7022113490775,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.8512449264526367,75.12126922607422,0.0001,0.003756063461303711,8.683812550934052,1.0,1.0,1.0,[1.0],1.895406787109375,0.3255,0.3255,0.2431,2.1191673828125,,,,,,,
1,5,0.04175865448469219,1.927969033901508,0.3189102564102564,4.292026996612549,1163.086812813596,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.959181785583496,84.84053802490234,0.0001,0.004242026901245117,9.221555849387245,1.0,1.0,1.0,[1.0],1.869629736328125,0.3514,0.3514,0.2374,2.1424675048828123,,,,,,,
1,6,0.025388560157630764,1.907748778661092,0.33313301282051283,4.286530256271362,1164.5782722976253,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.8579847812652588,91.52271270751953,0.0001,0.004576135635375977,9.573514246302233,1.0,1.0,1.0,[1.0],1.8565602294921875,0.3441,0.3441,0.2608,2.1022355224609375,,,,,,,
1,7,0.011986968701726492,1.911205374277555,0.328525641025641,4.283973693847656,1165.2732618711366,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.946424961090088,95.25489044189453,0.0001,0.004762744522094727,9.763025986242813,1.0,1.0,1.0,[1.0],1.8492195556640625,0.3504,0.3504,0.2659,2.092333740234375,,,,,,,
1,8,0.0033290021961708163,1.8980321761889336,0.3323317307692308,4.281888961791992,1165.840600852672,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.7474207878112793,96.70967102050781,0.0001,0.004835483551025391,9.83493617659501,1.0,1.0,1.0,[1.0],1.8395518676757812,0.3553,0.3553,0.2707,2.089197119140625,,,,,,,
1,9,8.010763592264382e-06,1.883709965608059,0.33513621794871795,4.283275842666626,1165.4631135995542,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.8874461650848389,96.9288558959961,0.0001,0.004846442794799805,9.845248006189586,1.0,1.0,1.0,[1.0],1.8380899169921876,0.3555,0.3555,0.2712,2.0860664794921875,,,,,,,
1,10,0.09743589743589744,1.891784166678404,0.3217147435897436,4.290151119232178,1163.595374909179,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,1.946408748626709,108.8210220336914,0.0001,0.004080788326263428,10.464622060913069,0.75,0.75,0.75,[0.75],1.8511067260742187,0.3461,0.3461,0.2462,2.076190466308594,nan,nan,0.5776659810232563,1.885173874293189,0.17610844840493967,0.502448930459864,0.0
1,11,0.09728320896389263,1.8357333006002965,0.3391426282051282,4.38520884513855,1138.3722363723086,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,1.7997751235961914,141.3464813232422,0.0001,0.005300493049621583,11.925587508536161,0.75,0.75,0.75,[0.75],1.8033894897460938,0.3489,0.3489,0.2691,2.057870422363281,,,,,,,
1,12,0.0888713758644883,1.7904291336353009,0.34935897435897434,4.307197332382202,1158.990316619427,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,1.8299895524978638,174.97593688964844,0.0001,0.006561597633361817,13.257780163826112,0.75,0.75,0.75,[0.75],1.8219568725585937,0.3559,0.3559,0.2794,2.0494428588867186,,,,,,,
1,13,0.0753865574266234,1.7447133308801897,0.37279647435897434,4.4276978969573975,1127.448194564127,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,1.7510712146759033,206.58688354492188,0.0001,0.007747008132934571,14.398516014659167,0.75,0.75,0.75,[0.75],1.7531464233398437,0.3732,0.3732,0.2701,2.1995899169921875,,,,,,,
1,14,0.05912277671020564,1.6869241824516883,0.39823717948717946,4.318392038345337,1155.985828908847,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,1.751230239868164,233.38926696777344,0.0001,0.008752097511291504,15.296935453480545,0.75,0.75,0.75,[0.75],1.6137829833984374,0.4155,0.4155,0.266,2.1599109619140626,,,,,,,
