seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,alpha_mean,alpha_min_group,alpha_max_group,alpha_groups,test_loss,test_acc,test_acc_at_s1,test_acc_at_a0,test_loss_at_a0,grad_norm_total,linear_gap_mean,neg_frac_mean,dead_frac_mean
0,0,0.09602631824082464,1.628761818164434,0.4491386217948718,19.069530487060547,2617.7886253609,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],1.2522549072265625,0.573,0.573,0.5712,1.2106687622070313,3.9859757707629684,0.0,0.5015801787376404,0.0
0,1,0.07507148792173826,1.0348673158731216,0.6334334935897435,16.146913290023804,3091.612564169929,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],0.9430566711425781,0.6724,0.6724,0.6526,1.0013612121582032,,,,
0,2,0.044067774270043214,0.846776133011549,0.7049679487179488,17.109227180480957,2917.723838336262,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],0.8036611511230469,0.7241,0.7241,0.7192,0.8390911376953125,,,,
0,3,0.015441751342134375,0.7085794146244343,0.7522435897435897,17.05686354637146,2926.681090241798,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],0.6225484680175781,0.7883,0.7883,0.7499,0.7315578857421875,,,,
0,4,0.0006669928476008558,0.5924684166908264,0.7941306089743589,16.243107318878174,3073.3035877920747,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],0.5666870910644531,0.8044,0.8044,0.7659,0.697658984375,,,,
0,5,0.0985728231719243,0.7212032229472429,0.7485576923076923,16.153995513916016,3090.2571414605095,1.0,1.0,1.0,[1.0],1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.8750737182617188,0.6938,0.6938,0.695,0.8949511657714844,2.6987243495341717,0.08276739062115118,0.529248908162117,0.0
0,6,0.08171567402214575,0.7828894381339734,0.7294070512820513,16.545264720916748,3017.1774729533618,1.0,1.0,1.0,[1.0],1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.7511385437011718,0.7435,0.7435,0.7399,0.7688596130371094,,,,
0,7,0.05214659054048997,0.6934345902540745,0.7595753205128205,16.831164121627808,2965.9267558239485,1.0,1.0,1.0,[1.0],1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.6480715637207031,0.7737,0.7737,0.7582,0.7042582153320313,,,,
0,8,0.02171713379452695,0.5947482069333394,0.7939903846153846,16.681143522262573,2992.60059320136,1.0,1.0,1.0,[1.0],1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.5448669799804687,0.8136,0.8136,0.7897,0.6224021911621094,,,,
0,9,0.0026237103824353404,0.4868955733684393,0.8317307692307693,16.443795442581177,3035.7954873807453,1.0,1.0,1.0,[1.0],1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.4843404357910156,0.8336,0.8336,0.8009,0.5804631713867188,,,,
0,10,0.09984293706792438,0.5287772862574993,0.8168870192307692,16.492182731628418,3026.888606094832,1.0,1.0,1.0,[1.0],2,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.8667124206542969,0.7048,0.7048,0.7366,0.7802162780761719,3.6641073933333943,0.17015595274352588,0.545139268040657,0.0
0,11,0.0874760462126353,0.7113119586920127,0.7538862179487179,16.59807252883911,3007.578133741982,1.0,1.0,1.0,[1.0],2,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.6935899475097657,0.759,0.759,0.757,0.7228413024902344,,,,
0,12,0.060088410783519036,0.6402717829514772,0.7783653846153846,16.64157223701477,2999.716570587374,1.0,1.0,1.0,[1.0],2,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.6301749816894531,0.784,0.784,0.7759,0.6452302917480469,,,,
0,13,0.02865724737188067,0.5504984741027539,0.8098557692307692,16.571142196655273,3012.465852237746,1.0,1.0,1.0,[1.0],2,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.5116544708251953,0.8263,0.8263,0.8026,0.5728334655761719,,,,
0,14,0.005780455835823767,0.4460000110742373,0.8454126602564103,16.543555736541748,3017.489153781836,1.0,1.0,1.0,[1.0],2,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.44896233825683596,0.8503,0.8503,0.8093,0.5434179016113281,,,,
0,15,0.06643835616438357,0.39402660930003874,0.8637019230769231,16.51850152015686,3022.065890122336,1.0,1.0,1.0,[1.0],3,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.6797206604003906,0.7744,0.7744,0.7773,0.6625169311523438,3.804610381762132,0.2601324840039298,0.5547156929969788,0.0
0,16,0.09231264240275384,0.6680432299772898,0.7688501602564103,16.504252433776855,3024.6750163513,1.0,1.0,1.0,[1.0],3,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.7417867980957031,0.7464,0.7464,0.7675,0.6831916625976563,,,,
0,17,0.06781935867180366,0.6124189363076137,0.7876402243589744,16.481167793273926,3028.9115811546244,1.0,1.0,1.0,[1.0],3,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.6257861877441406,0.787,0.787,0.7683,0.6897029357910156,,,,
0,18,0.03617665772898095,0.5227147060327041,0.8191506410256411,16.514022827148438,3022.8854908649746,1.0,1.0,1.0,[1.0],3,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.5304783416748047,0.8186,0.8186,0.7983,0.6040402526855468,,,,
0,19,0.010080107070141803,0.4194415703415871,0.8551282051282051,16.53553032875061,3018.9536717309416,1.0,1.0,1.0,[1.0],3,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.4304905975341797,0.8515,0.8515,0.8153,0.5423935546875,,,,
0,20,6.827715579027505e-08,0.34136332716697304,0.8840144230769231,16.569064617156982,3012.8435825103065,1.0,1.0,1.0,[1.0],3,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.4038346099853516,0.8612,0.8612,0.8194,0.5227600158691407,1.207736915924711,0.26179060198819226,0.563569039106369,0.0
0,21,0.09602631824082464,0.5697132110977784,0.8050480769230769,16.56212019920349,3014.1068534450537,1.0,1.0,1.0,[1.0],4,0.5555555555555556,0.5555555555555556,0.5555555555555556,[0.5555555555555556],0.6929526245117188,0.7672,0.7672,0.7792,0.6658317687988281,,,,
0,22,0.07507148792173826,0.5868851299469288,0.7970552884615385,16.57578682899475,3011.6217417008993,1.0,1.0,1.0,[1.0],4,0.5555555555555556,0.5555555555555556,0.5555555555555556,[0.5555555555555556],0.6448276550292968,0.7784,0.7784,0.7624,0.6913536987304687,,,,
0,23,0.044067774270043214,0.5074021292038453,0.8239383012820513,16.559121131896973,3014.6527465060753,1.0,1.0,1.0,[1.0],4,0.5555555555555556,0.5555555555555556,0.5555555555555556,[0.5555555555555556],0.5264068115234375,0.8218,0.8218,0.7952,0.6091358703613281,,,,
0,24,0.015441751342134375,0.4027139907081922,0.8607772435897436,16.573715686798096,3011.9980904320755,1.0,1.0,1.0,[1.0],4,0.5555555555555556,0.5555555555555556,0.5555555555555556,[0.5555555555555556],0.4193668212890625,0.8566,0.8566,0.8172,0.5443840515136719,,,,
0,25,0.0006669928476008558,0.30905397163751797,0.8939503205128205,16.5554678440094,3015.3179886162848,1.0,1.0,1.0,[1.0],4,0.5555555555555556,0.5555555555555556,0.5555555555555556,[0.5555555555555556],0.37213057861328125,0.8728,0.8728,0.8245,0.5287378570556641,0.9967786448916257,0.35317027228060105,0.5738769471645355,0.0
0,26,0.0985728231719243,0.4566655606413499,0.8432692307692308,16.559794425964355,3014.53017567233,1.0,1.0,1.0,[1.0],5,0.4444444444444444,0.4444444444444444,0.4444444444444444,[0.4444444444444444],0.6556820190429687,0.7847,0.7847,0.7728,0.663267041015625,,,,
0,27,0.08171567402214575,0.5699597250956755,0.8013822115384616,16.576248168945312,3011.5379240956568,1.0,1.0,1.0,[1.0],5,0.4444444444444444,0.4444444444444444,0.4444444444444444,[0.4444444444444444],0.6788986755371094,0.7728,0.7728,0.7765,0.6593431823730469,,,,
0,28,0.05214659054048997,0.493340240075038,0.8286458333333333,16.570242166519165,3012.629477489795,1.0,1.0,1.0,[1.0],5,0.4444444444444444,0.4444444444444444,0.4444444444444444,[0.4444444444444444],0.5139461395263671,0.8294,0.8294,0.8111,0.5822617370605468,,,,
0,29,0.02171713379452695,0.39255362317348136,0.8642027243589744,16.5903263092041,3008.982407555481,1.0,1.0,1.0,[1.0],5,0.4444444444444444,0.4444444444444444,0.4444444444444444,[0.4444444444444444],0.42377427673339846,0.8563,0.8563,0.8183,0.5420446624755859,,,,
0,30,0.0026237103824353404,0.2909844521146554,0.8995392628205128,16.58760952949524,3009.475229763204,1.0,1.0,1.0,[1.0],5,0.4444444444444444,0.4444444444444444,0.4444444444444444,[0.4444444444444444],0.3568908508300781,0.8785,0.8785,0.827,0.5119187896728515,1.2128753229826281,0.4477799172612963,0.5874399989843369,0.0
0,31,0.09984293706792438,0.34278301176352377,0.8818309294871794,16.589734077453613,3009.0898242813973,1.0,1.0,1.0,[1.0],6,0.33333333333333337,0.33333333333333337,0.33333333333333337,[0.33333333333333337],0.8734747924804688,0.7164,0.7164,0.7739,0.6686714050292969,,,,
0,32,0.0874760462126353,0.5489970800968317,0.8093149038461539,16.58865976333618,3009.284698835759,1.0,1.0,1.0,[1.0],6,0.33333333333333337,0.33333333333333337,0.33333333333333337,[0.33333333333333337],0.6047617980957031,0.7976,0.7976,0.78,0.6582481201171875,,,,
0,33,0.060088410783519036,0.4802877669151013,0.833613782051282,16.598021745681763,3007.587335700863,1.0,1.0,1.0,[1.0],6,0.33333333333333337,0.33333333333333337,0.33333333333333337,[0.33333333333333337],0.4919334899902344,0.8303,0.8303,0.8139,0.5527556884765625,,,,
0,34,0.02865724737188067,0.3827645201713611,0.8663261217948718,16.607285499572754,3005.909665446786,1.0,1.0,1.0,[1.0],6,0.33333333333333337,0.33333333333333337,0.33333333333333337,[0.33333333333333337],0.3836139038085937,0.8724,0.8724,0.8346,0.49645637817382815,,,,
0,35,0.005780455835823767,0.27997382630904516,0.9045072115384616,16.609272241592407,3005.5501092330787,1.0,1.0,1.0,[1.0],6,0.33333333333333337,0.33333333333333337,0.33333333333333337,[0.33333333333333337],0.33983216552734374,0.884,0.884,0.835,0.48633287658691404,1.1092780135991689,0.5463793316986766,0.6012548804283142,0.0
0,36,0.06643835616438357,0.23150591412797952,0.9221554487179487,16.600236892700195,3007.1860011800113,1.0,1.0,1.0,[1.0],7,0.2222222222222222,0.2222222222222222,0.2222222222222222,[0.2222222222222222],0.6021404479980469,0.8038,0.8038,0.8115,0.5715191284179687,,,,
0,37,0.09231264240275384,0.5361233963416173,0.8142227564102564,16.60066032409668,3007.109297184923,1.0,1.0,1.0,[1.0],7,0.2222222222222222,0.2222222222222222,0.2222222222222222,[0.2222222222222222],0.5716905883789063,0.8051,0.8051,0.797,0.5896069274902344,,,,
0,38,0.06781935867180366,0.4728129729246482,0.8360376602564102,16.601245641708374,3007.0032741749683,1.0,1.0,1.0,[1.0],7,0.2222222222222222,0.2222222222222222,0.2222222222222222,[0.2222222222222222],0.5174821594238281,0.8215,0.8215,0.816,0.5506306945800781,,,,
0,39,0.03617665772898095,0.38153520436623156,0.8681089743589744,16.59900975227356,3007.4083180270727,1.0,1.0,1.0,[1.0],7,0.2222222222222222,0.2222222222222222,0.2222222222222222,[0.2222222222222222],0.40977003173828125,0.8589,0.8589,0.8382,0.4862804473876953,,,,
0,40,0.010080107070141803,0.27165788469406277,0.9050280448717949,16.590967655181885,3008.8660913282174,1.0,1.0,1.0,[1.0],7,0.2222222222222222,0.2222222222222222,0.2222222222222222,[0.2222222222222222],0.3375562530517578,0.8821,0.8821,0.8562,0.43162184448242186,1.5841640802698567,0.6459093291494976,0.6174548715353012,0.0
0,41,6.827715579027505e-08,0.199026096593111,0.9330528846153846,16.59196376800537,3008.685451463062,1.0,1.0,1.0,[1.0],7,0.2222222222222222,0.2222222222222222,0.2222222222222222,[0.2222222222222222],0.31576323547363283,0.8929,0.8929,0.8636,0.42048865356445314,,,,
0,42,0.09602631824082464,0.4569876644091728,0.8428685897435897,16.606626987457275,3006.028860508747,1.0,1.0,1.0,[1.0],8,0.11111111111111116,0.11111111111111116,0.11111111111111116,[0.11111111111111116],0.6063722595214843,0.8038,0.8038,0.821,0.5325308135986329,,,,
0,43,0.07507148792173826,0.4667093870731501,0.8400641025641026,16.602524280548096,3006.7716906451046,1.0,1.0,1.0,[1.0],8,0.11111111111111116,0.11111111111111116,0.11111111111111116,[0.11111111111111116],0.4911367828369141,0.8294,0.8294,0.832,0.49491937561035154,,,,
0,44,0.044067774270043214,0.37632614156374566,0.8697716346153846,16.593592166900635,3008.390196522716,1.0,1.0,1.0,[1.0],8,0.11111111111111116,0.11111111111111116,0.11111111111111116,[0.11111111111111116],0.467158447265625,0.8398,0.8398,0.8381,0.47862928161621093,,,,
0,45,0.015441751342134375,0.27071697788360793,0.9055488782051282,16.573474407196045,3012.0419396385114,1.0,1.0,1.0,[1.0],8,0.11111111111111116,0.11111111111111116,0.11111111111111116,[0.11111111111111116],0.33931524047851563,0.8859,0.8859,0.8698,0.387118310546875,1.432915580060112,0.741242392830396,0.6260216683149338,0.0
0,46,0.0006669928476008558,0.1819119722988361,0.9384214743589744,16.559181213378906,3014.6418084770635,1.0,1.0,1.0,[1.0],8,0.11111111111111116,0.11111111111111116,0.11111111111111116,[0.11111111111111116],0.3051481781005859,0.8974,0.8974,0.8765,0.36428387145996094,,,,
0,47,0.04612954186413903,0.20286793834888017,0.9306490384615385,16.486485481262207,3027.934610850615,1.0,1.0,1.0,[1.0],9,0.0,0.0,0.0,[0.0],0.6126477661132812,0.8071,0.8071,0.8071,0.6126477661132812,,,,
0,48,0.0999916254573377,0.4380627025778477,0.849178685897436,16.417320013046265,3040.6911700771097,1.0,1.0,1.0,[1.0],9,0.0,0.0,0.0,[0.0],0.6158066711425781,0.8006,0.8006,0.8006,0.6158066711425781,,,,
