seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,alpha_mean,alpha_min_group,alpha_max_group,alpha_groups,test_loss,test_acc,test_acc_at_s1,test_acc_at_a0,test_loss_at_a0,grad_norm_total,linear_gap_mean,neg_frac_mean,dead_frac_mean
0,0,0.020000000000000004,1.4977404999427306,0.46490384615384617,18.139099836349487,2752.0660038467736,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],1.684415576171875,0.4952,0.4952,0.5025,1.4139465576171875,15.792488881061638,0.0,0.5000713169574738,0.0
0,1,0.04000000000000001,1.157837419020824,0.5978165064102564,15.162380933761597,3292.3589123687498,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],1.0606775756835938,0.6384,0.6384,0.612,1.1096468505859376,,,,
0,2,0.06,0.9953958052855272,0.6544471153846154,15.752418041229248,3169.037278552599,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],0.9588220153808594,0.6766,0.6766,0.68,0.9189180236816407,,,,
0,3,0.08000000000000002,0.8822665080046043,0.6943910256410256,15.833107948303223,3152.8869861175767,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],0.8780303833007812,0.7016,0.7016,0.6951,0.87185458984375,,,,
0,4,0.1,0.8239611883958181,0.7150841346153847,15.950835704803467,3129.6165871087865,1.0,1.0,1.0,[1.0],0,1.0,1.0,1.0,[1.0],0.8824598388671875,0.6923,0.6923,0.6896,0.9095888549804687,,,,
0,5,0.09994191032883207,0.7643829231078808,0.7334535256410256,15.761937379837036,3167.123355270945,1.0,1.0,1.0,[1.0],0,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.7821488342285157,0.7308,0.7308,0.7256,0.8102684631347656,2.151823031595619,0.08325621935345598,0.5299031585454941,0.0
0,6,0.09976717939597349,0.7210413345159629,0.7504206730769231,15.781944036483765,3163.1084158325425,1.0,1.0,1.0,[1.0],0,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.7355982666015625,0.7469,0.7469,0.749,0.7468377075195313,,,,
0,7,0.09947621490965608,0.7015788140205237,0.7574919871794872,15.77539849281311,3164.420855849844,1.0,1.0,1.0,[1.0],0,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.7235176513671875,0.7521,0.7521,0.7601,0.7147189331054687,,,,
0,8,0.09906969643091962,0.6852760485349557,0.7642427884615385,15.75496220588684,3168.525531679625,1.0,1.0,1.0,[1.0],0,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.6995072631835938,0.7643,0.7643,0.759,0.7134609985351562,,,,
0,9,0.09854857340250733,0.6688359664036677,0.7685296474358975,15.761027097702026,3167.3062732871254,1.0,1.0,1.0,[1.0],0,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],0.6602058654785157,0.7767,0.7767,0.7615,0.7031440673828125,,,,
