acc,asset_set,batch,imported,kernel,lr,method,optimizer,seed,source_branch,source_config_id,wall_seconds
74.58,r20bn-campaign-assets,unified_selected,True,,0.005,plain,sgd,0,benchmark-organized,plain,
75.66000000000001,r20bn-campaign-assets,unified_selected,True,,0.005,plain,sgd,1,benchmark-organized,plain,
76.05,r20bn-campaign-assets,unified_selected,True,,0.005,plain,sgd,2,benchmark-organized,plain,
79.97,r20bn-campaign-assets,unified_selected,True,,0.005,resolution_max_b1,sgd,0,benchmark-organized,shrink_b1,
80.06,r20bn-campaign-assets,unified_selected,True,,0.005,resolution_max_b1,sgd,1,benchmark-organized,shrink_b1,
81.07,r20bn-campaign-assets,unified_selected,True,,0.005,resolution_max_b1,sgd,2,benchmark-organized,shrink_b1,
80.06,r20bn-campaign-assets,unified_selected,True,,0.005,gaussian_postrelu,sgd,0,benchmark-organized,blur_relu,
80.06,r20bn-campaign-assets,unified_selected,True,,0.005,gaussian_postrelu,sgd,1,benchmark-organized,blur_relu,
79.60000000000001,r20bn-campaign-assets,unified_selected,True,,0.005,gaussian_postrelu,sgd,2,benchmark-organized,blur_relu,
81.3,r20bn-campaign-assets,unified_selected,True,,0.005,resolution_max_b1_gaussian_conv,sgd,0,benchmark-organized,shrink_b1_conv,
81.5,r20bn-campaign-assets,unified_selected,True,,0.005,resolution_max_b1_gaussian_conv,sgd,1,benchmark-organized,shrink_b1_conv,
81.73,r20bn-campaign-assets,unified_selected,True,,0.005,resolution_max_b1_gaussian_conv,sgd,2,benchmark-organized,shrink_b1_conv,
85.07000000000001,,grid,False,job-optbench-grid-0-20260914-123020,0.003,resolution_max_b1_gaussian_conv,adam,0,,,734.8658692959999
85.35000000000001,,grid,False,job-optbench-grid-0-20260914-123020,0.003,resolution_max_b1_gaussian_conv,radam,0,,,734.1401026230001
84.72,,grid,False,job-optbench-grid-0-20260914-123020,0.003,gaussian_postrelu,radam,0,,,623.416553363
83.56,,grid,False,job-optbench-grid-0-20260914-123020,0.02,plain,adamw,0,,,487.57457213199996
85.05,,grid,False,job-optbench-grid-0-20260914-123020,0.003,resolution_max_b1,adam,0,,,485.160459703
86.09,,grid,False,job-optbench-grid-0-20260914-123020,0.003,resolution_max_b1,radam,0,,,483.47511072399993
86.33,,grid,False,job-optbench-grid-0-20260914-123020,0.02,resolution_max_b1_gaussian_conv,adamw,0,,,725.4825603709999
84.03,,grid,False,job-optbench-grid-0-20260914-123020,0.003,gaussian_postrelu,adam,0,,,616.060299711
83.98,,grid,False,job-optbench-grid-0-20260914-123020,0.02,gaussian_postrelu,adamw,0,,,617.0022785870001
83.85000000000001,,grid,False,job-optbench-grid-0-20260914-123020,0.003,plain,adam,0,,,486.46161074300016
84.24000000000001,,grid,False,job-optbench-grid-0-20260914-123020,0.003,plain,radam,0,,,487.3670612820001
86.5,,grid,False,job-optbench-grid-0-20260914-123020,0.02,resolution_max_b1,adamw,0,,,484.44054722500005
85.19,,grid,False,job-optbench-grid-1-20260914-123021,0.003,resolution_max_b1_gaussian_conv,adam,1,,,743.8719381980001
85.34,,grid,False,job-optbench-grid-1-20260914-123021,0.003,resolution_max_b1_gaussian_conv,radam,1,,,748.4257719660001
84.57000000000001,,grid,False,job-optbench-grid-1-20260914-123021,0.003,gaussian_postrelu,radam,1,,,634.5689349630002
84.32,,grid,False,job-optbench-grid-1-20260914-123021,0.02,plain,adamw,1,,,499.3045867239998
85.3,,grid,False,job-optbench-grid-1-20260914-123021,0.003,resolution_max_b1,adam,1,,,491.07737482500033
85.47,,grid,False,job-optbench-grid-1-20260914-123021,0.003,resolution_max_b1,radam,1,,,485.517487395
85.88,,grid,False,job-optbench-grid-1-20260914-123021,0.02,resolution_max_b1_gaussian_conv,adamw,1,,,729.907060067
83.89,,grid,False,job-optbench-grid-1-20260914-123021,0.003,gaussian_postrelu,adam,1,,,623.0729514569999
83.41,,grid,False,job-optbench-grid-1-20260914-123021,0.02,gaussian_postrelu,adamw,1,,,618.6269379720002
83.73,,grid,False,job-optbench-grid-1-20260914-123021,0.003,plain,adam,1,,,491.53550680599983
84.41,,grid,False,job-optbench-grid-1-20260914-123021,0.003,plain,radam,1,,,489.7795199880002
86.06,,grid,False,job-optbench-grid-1-20260914-123021,0.02,resolution_max_b1,adamw,1,,,482.24774328700005
85.57000000000001,,grid,False,job-optbench-grid-2-20260914-144650,0.003,resolution_max_b1_gaussian_conv,adam,2,,,730.5671886900001
85.08,,grid,False,job-optbench-grid-2-20260914-144650,0.003,resolution_max_b1_gaussian_conv,radam,2,,,738.6230465200001
84.95,,grid,False,job-optbench-grid-2-20260914-144650,0.003,gaussian_postrelu,radam,2,,,625.1424587709998
84.48,,grid,False,job-optbench-grid-2-20260914-144650,0.02,plain,adamw,2,,,504.757760382
