study,method,n,acc,sd,delta,delta_sd,positive,negative,per_seed,train_ce,test_ce,train_ce_delta,test_ce_delta,higher_train,lower_test,train_acc,train_minutes,wall_minutes,train_ratio,wall_ratio
cifar10_5k/reference_updates,plain,3,50.77333333333334,0.9279188182881832,0.0,0.0,0,0,"[0.0, 0.0, 0.0]",0.0005889734824498001,2.454031567382813,0.0,0.0,0,0,100.0,7.168041823361117,7.440157795805557,1.0,1.0
cifar10_5k/reference_updates,resolution_max_b1,3,55.00333333333334,0.7902742140126664,4.23,0.20518284528683148,3,0,"[4.430000000000001, 4.020000000000001, 4.239999999999999]",0.0009797330896059336,2.0809978190104164,0.0003907596071561334,-0.37303374837239583,3,3,100.0,6.97506257933889,7.459765021727777,0.9733938864710666,1.0028872711888999
cifar10_5k/reference_updates,gaussian_postrelu,3,60.87666666666668,0.2400694344004139,10.103333333333333,0.865582655402318,3,0,"[11.099999999999998, 9.540000000000004, 9.670000000000002]",0.0022176556587219,1.6619798400878907,0.0016286821762720998,-0.7920517272949219,3,3,100.0,9.349447721116665,10.011959528683333,1.306499808442424,1.3475896203502955
cifar10_5k/reference_updates,resolution_max_b1_gaussian_conv,3,62.550000000000004,0.8712634503983266,11.776666666666669,0.056862407030777946,3,0,"[11.840000000000007, 11.760000000000003, 11.729999999999997]",0.0029608647028605,1.5384038614908855,0.0023718912204106998,-0.915627705891927,3,3,100.0,10.960980866988887,11.699457750155554,1.5297156882616847,1.572841574185297
cifar10_5k/stl_budget,plain,3,48.763333333333335,1.054340236040212,0.0,0.0,0,0,"[0.0, 0.0, 0.0]",0.2184802805582682,1.6881142354329428,0.0,0.0,0,0,96.26666666666667,1.471814702111111,1.6471154939777781,1.0,1.0
cifar10_5k/stl_budget,resolution_max_b1,3,55.04000000000001,0.5086255990411807,6.276666666666671,0.7778388864882814,3,0,"[7.090000000000002, 6.2000000000000055, 5.540000000000006]",0.43188864135742183,1.3292381306966146,0.21340836079915362,-0.35887610473632825,3,3,88.26666666666667,1.4297298548388861,1.7524864527111106,0.9716146751477424,1.064220199911275
cifar10_5k/stl_budget,gaussian_postrelu,3,57.403333333333336,0.379780638439262,8.640000000000002,1.221106056000049,3,0,"[9.129999999999999, 9.540000000000004, 7.250000000000006]",0.3615770670572916,1.2630793192545573,0.14309678649902344,-0.4250349161783855,3,3,90.53333333333335,1.8543017835999982,2.310927637988889,1.2604210797378361,1.403497486616576
cifar10_5k/stl_budget,resolution_max_b1_gaussian_conv,3,59.38666666666666,1.343961805012826,10.623333333333337,0.34990474894367307,3,0,"[10.23, 10.740000000000006, 10.900000000000004]",0.45698246256510416,1.1748276204427084,0.2385021820068359,-0.5132866149902344,3,3,87.0,2.2251765351333304,2.7167328222111116,1.5117122197965844,1.64928426331737
resnet20act_cifar10/gelu,plain,3,74.79666666666667,0.5877357682950194,0.0,0.0,0,0,"[0.0, 0.0, 0.0]",0.21995730082194007,0.7923091410319011,0.0,0.0,0,0,94.13333333333333,6.9643918999055545,7.228796576661111,1.0,1.0
resnet20act_cifar10/gelu,resolution_max_b1,3,80.79,0.4246174749112409,5.993333333333332,0.4789919971495726,3,0,"[5.469999999999997, 6.410000000000005, 6.099999999999994]",0.3070945332845052,0.5713086588541666,0.08713723246256515,-0.22100048217773438,3,3,90.93333333333334,7.081776149677775,7.577393994377777,1.0170165429367488,1.048476592081956
resnet20act_cifar10/gelu,gaussian_postrelu,3,80.27333333333333,0.3629508690351007,5.476666666666667,0.8500784277543686,3,0,"[4.769999999999996, 6.4200000000000035, 5.24]",0.25500395202636716,0.5902560958862305,0.0350466512044271,-0.20205304514567057,2,3,92.53333333333332,9.401999352616665,10.092036704200002,1.3510290154437825,1.3974429136463495
resnet20act_cifar10/gelu,resolution_max_b1_gaussian_conv,3,81.58,0.1252996408614197,6.783333333333334,0.4827352621606738,3,0,"[6.479999999999997, 7.340000000000002, 6.530000000000003]",0.32669170125325525,0.5392208180745443,0.10673440043131514,-0.2530883229573568,3,3,89.53333333333333,10.693884442672221,11.464548063744445,1.5359639450566265,1.5866128215084643
resnet20act_cifar10/silu,plain,3,76.54666666666668,0.6784049921199962,0.0,0.0,0,0,"[0.0, 0.0, 0.0]",0.25542722574869786,0.7278121988932291,0.0,0.0,0,0,91.53333333333333,7.498994925061111,7.776813491716666,1.0,1.0
resnet20act_cifar10/silu,resolution_max_b1,3,80.91,0.3260368077380199,4.363333333333334,0.9638118765263908,3,0,"[3.2700000000000062, 4.73, 5.0899999999999945]",0.3223137512207031,0.5569732630411784,0.0668865254720052,-0.17083893585205076,3,3,89.73333333333335,7.45184606027778,7.971630134050001,0.9996323156869428,1.030792404051178
resnet20act_cifar10/silu,gaussian_postrelu,3,80.44333333333333,0.7769384359994923,3.8966666666666665,1.1800141242092599,3,0,"[2.839999999999998, 5.170000000000008, 3.6799999999999944]",0.2937365112304687,0.5812861211140951,0.038309285481770816,-0.14652607777913415,3,3,90.66666666666667,9.143208346988887,9.849011432983334,1.2265266323281956,1.2735816250137928
resnet20act_cifar10/silu,resolution_max_b1_gaussian_conv,3,81.67666666666666,0.14189197769195308,5.130000000000002,0.7163099887618494,3,0,"[4.320000000000002, 5.680000000000007, 5.389999999999995]",0.3399781290690104,0.5320827901204427,0.0845509033203125,-0.19572940877278644,3,3,89.86666666666667,10.89398048203889,11.65902147653889,1.4610876132606183,1.507381919819955
resnet20gn_cifar10,plain,3,75.48,0.8778952101475437,0.0,0.0,0,0,"[0.0, 0.0, 0.0]",0.5139261576334636,0.7136364542643229,0.0,0.0,0,0,83.8,7.6213523235777725,7.959537074861111,1.0,1.0
resnet20gn_cifar10,resolution_max_b1,3,78.26666666666667,0.6806124692755283,2.7866666666666635,0.8007704623257135,3,0,"[3.3499999999999974, 1.869999999999994, 3.1399999999999983]",0.4788933715820312,0.6346788513183594,-0.035032786051432285,-0.0789576029459635,0,3,84.46666666666665,7.0933222416,7.687321942177777,0.9335794728951181,0.96878855050319
resnet20gn_cifar10,gaussian_postrelu,3,76.64,0.4348562981031763,1.1599999999999981,0.6298412498399877,3,0,"[1.8299999999999983, 1.0699999999999932, 0.5800000000000027]",0.49748784383138017,0.6743503122965495,-0.016438313802083365,-0.039286141967773434,1,3,83.33333333333334,9.459373502422222,10.3003619504,1.246914666955726,1.3000940288515868
