study,run_dir,source_branch,also_on_branches,dataset,arch,method,method_id,seed,validation_status,epochs,updates,n_train,n_test,final_state_is_target,final_views_present,final_target_test_acc,final_target_test_ce,final_target_train_probe_acc,final_target_train_probe_ce,final_current_test_acc,final_current_test_ce,final_current_train_probe_acc,final_current_train_probe_ce,test_n,wall_seconds,train_seconds,eval_seconds,transition_updates,config.assets.dir,config.budget.epochs,config.data.expected_mean,config.data.expected_std,config.data.name,config.evaluation.every_epochs,config.evaluation.paths,config.model.arch,config.model.options.activation,config.model.options.groups
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/gaussian_postrelu__cifar10_5k_reference_updates__seed0,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,gaussian_postrelu,gaussian_postrelu__transfer,0,unvalidated,293,11720,5000,10000,True,current;target,0.6082,1.6531401550292968,1.0,0.0023245458602905275,0.6082,1.6531401550292968,1.0,0.0023245458602905275,10000,564.9743945929999,525.737969237,39.236425355999984,"[1160, 2360, 3520, 4680, 5880, 7040, 8200]",assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current"", ""target""]",resnet20_bn_cifar,,
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/gaussian_postrelu__cifar10_5k_reference_updates__seed1,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,gaussian_postrelu,gaussian_postrelu__transfer,1,unvalidated,293,11720,5000,10000,True,current;target,0.6067,1.6800366271972655,1.0,0.0023232941627502443,0.6067,1.6800366271972655,1.0,0.0023232941627502443,10000,638.964658826,599.2680027059998,39.69665612000017,"[1160, 2360, 3520, 4680, 5880, 7040, 8200]",assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current"", ""target""]",resnet20_bn_cifar,,
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/gaussian_postrelu__cifar10_5k_reference_updates__seed2,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,gaussian_postrelu,gaussian_postrelu__transfer,2,unvalidated,293,11720,5000,10000,True,current;target,0.6114,1.6527627380371093,1.0,0.002005126953125,0.6114,1.6527627380371093,1.0,0.002005126953125,10000,598.2136617440001,557.8946178579997,40.319043886000316,"[1160, 2360, 3520, 4680, 5880, 7040, 8200]",assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current"", ""target""]",resnet20_bn_cifar,,
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/plain__cifar10_5k_reference_updates__seed0,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,plain,plain__transfer,0,unvalidated,293,11720,5000,10000,True,current,,,,,0.4972,2.4713173828125,1.0,0.0005917623043060303,10000,456.70414049199996,441.4247222260002,15.279418265999766,[],assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current""]",resnet20_bn_cifar,,
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/plain__cifar10_5k_reference_updates__seed1,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,plain,plain__transfer,1,unvalidated,293,11720,5000,10000,True,current,,,,,0.5113,2.5027320678710936,1.0,0.000551821231842041,10000,434.7507463520001,418.2620688380007,16.48867751399939,[],assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current""]",resnet20_bn_cifar,,
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/plain__cifar10_5k_reference_updates__seed2,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,plain,plain__transfer,2,unvalidated,293,11720,5000,10000,True,current,,,,,0.5147,2.3880452514648436,1.0,0.0006233369112014771,10000,447.77351640099994,430.560737141,17.212779259999905,[],assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current""]",resnet20_bn_cifar,,
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/resolution_max_b1__cifar10_5k_reference_updates__seed0,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,resolution_max_b1,resolution_max_b1__transfer,0,unvalidated,293,11720,5000,10000,True,current;target,0.5415,2.161167352294922,1.0,0.0009107416868209838,0.5415,2.161167352294922,1.0,0.0009107416868209838,10000,454.27503388599996,424.30348188900007,29.971551996999892,"[2360, 4680]",assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current"", ""target""]",resnet20_bn_cifar,,
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/resolution_max_b1__cifar10_5k_reference_updates__seed1,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,resolution_max_b1,resolution_max_b1__transfer,1,unvalidated,293,11720,5000,10000,True,current;target,0.5515,2.0814235229492186,1.0,0.0009300257563591004,0.5515,2.0814235229492186,1.0,0.0009300257563591004,10000,444.8236704379999,416.50199357400015,28.321676863999755,"[2360, 4680]",assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current"", ""target""]",resnet20_bn_cifar,,
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/resolution_max_b1__cifar10_5k_reference_updates__seed2,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,resolution_max_b1,resolution_max_b1__transfer,2,unvalidated,293,11720,5000,10000,True,current;target,0.5571,2.0004025817871094,1.0,0.0010984318256378174,0.5571,2.0004025817871094,1.0,0.0010984318256378174,10000,443.6589995869999,414.705788818,28.95321076899998,"[2360, 4680]",assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current"", ""target""]",resnet20_bn_cifar,,
cifar10_5k/reference_updates,results/cifar10_5k/reference_updates/resolution_max_b1_gaussian_conv__cifar10_5k_reference_updates__seed0,cifar10-subset,vgg11-transfer;groupnorm-transfer;activation-transfer,cifar10,resnet20_bn_cifar,resolution_max_b1_gaussian_conv,resolution_max_b1_gaussian_conv__transfer,0,unvalidated,293,11720,5000,10000,True,current;target,0.6156,1.554929412841797,1.0,0.003083585977554321,0.6156,1.554929412841797,1.0,0.003083585977554321,10000,677.166605271,632.2676858279999,44.89891944300007,"[1160, 2360, 3520, 4680, 5880, 7040, 8200]",assets/cifar10_5k_resnet20bn,293,"[0.4913996756076813, 0.4821584224700928, 0.44653090834617615]","[0.24703222513198853, 0.24348512291908264, 0.26158782839775085]",cifar10,10,"[""current"", ""target""]",resnet20_bn_cifar,,
