study,method,seed,epoch,update,lr_last_update,train_loss_epoch,state_used_resolution,state_used_sigma,current_train_probe_acc,current_train_probe_ce,current_test_acc,current_test_ce,target_train_probe_acc,target_train_probe_ce,target_test_acc,target_test_ce
cifar10_5k/reference_updates,gaussian_postrelu,0,0,0,8.333333333333333e-05,,,,0.086,2.7448740234375,0.1,2.7397414672851563,0.086,2.801917236328125,0.1,2.7896129272460937
cifar10_5k/reference_updates,gaussian_postrelu,0,10,400,0.004989578983014394,1.4589210792541505,,1.0,0.484,1.38629345703125,0.4597,1.4736537658691407,0.114,3.4102607421875,0.1218,3.3901687133789062
cifar10_5k/reference_updates,gaussian_postrelu,0,20,800,0.004950606903951322,1.1477674953460693,,1.0,0.588,1.0838975830078126,0.4885,1.426535772705078,0.1,5.2746845703125,0.1223,5.182966967773438
cifar10_5k/reference_updates,gaussian_postrelu,0,30,1200,0.004883198342358766,0.9505803602218628,,0.85,0.672,0.9178179931640625,0.5205,1.3865609313964844,0.11,4.5820556640625,0.1103,4.531622534179688
cifar10_5k/reference_updates,gaussian_postrelu,0,40,1600,0.004788135497283408,0.7691958141326904,,0.85,0.768,0.6659196166992187,0.5686,1.3091550842285156,0.152,4.4731162109375,0.1448,4.421521020507813
cifar10_5k/reference_updates,gaussian_postrelu,0,50,2000,0.0046665214640151656,0.6626809297561645,,0.85,0.804,0.5690206298828125,0.5436,1.45605654296875,0.122,6.32001708984375,0.1194,6.3708005615234375
cifar10_5k/reference_updates,gaussian_postrelu,0,60,2400,0.004519767433931488,0.5090724255561828,,0.7,0.888,0.3101808166503906,0.5805,1.4005578552246094,0.232,3.12936767578125,0.208,3.3254730834960937
cifar10_5k/reference_updates,gaussian_postrelu,0,70,2800,0.004349576319239909,0.35204814095497133,,0.7,0.956,0.17186892700195314,0.5786,1.4914960327148437,0.21,3.90244482421875,0.1913,4.127456091308594
cifar10_5k/reference_updates,gaussian_postrelu,0,80,3200,0.004157922992634942,0.17936948318481447,,0.7,0.946,0.19526589965820312,0.5786,1.6572707824707031,0.17,4.8857734375,0.1612,5.165791430664062
cifar10_5k/reference_updates,gaussian_postrelu,0,90,3600,0.0039470313711654345,0.14948417220115662,,0.6,0.998,0.0508123779296875,0.605,1.448589013671875,0.29,2.842083984375,0.2451,3.3037525146484374
cifar10_5k/reference_updates,gaussian_postrelu,0,100,4000,0.0037193486102278174,0.10905744079351425,,0.6,0.996,0.03852167510986328,0.6028,1.6098459106445313,0.33,2.77048388671875,0.2659,3.3497520385742185
cifar10_5k/reference_updates,gaussian_postrelu,0,110,4400,0.003477516707134358,0.08926202453374862,,0.6,0.998,0.027231258392333986,0.5996,1.63765869140625,0.34,2.82506640625,0.2784,3.424827868652344
cifar10_5k/reference_updates,gaussian_postrelu,0,120,4800,0.003224341843764452,0.07583970293998718,,0.5,1.0,0.02540258598327637,0.6046,1.517153350830078,0.614,1.191095947265625,0.4198,2.0291356628417967
cifar10_5k/reference_updates,gaussian_postrelu,0,130,5200,0.002962761824042309,0.0691962683916092,,0.5,1.0,0.014970149993896485,0.5926,1.6548552124023437,0.622,1.2222471923828124,0.414,2.2465749755859377
cifar10_5k/reference_updates,gaussian_postrelu,0,140,5600,0.0026958119840917666,0.06325093801915646,,0.5,0.998,0.009591986656188965,0.6129,1.6392199462890624,0.65,1.157585693359375,0.4335,2.209248046875
cifar10_5k/reference_updates,gaussian_postrelu,0,150,6000,0.0024265899706417916,0.07045150191783905,,0.4,1.0,0.017625999450683594,0.6029,1.528503790283203,0.93,0.247086181640625,0.5422,1.6174454833984375
cifar10_5k/reference_updates,gaussian_postrelu,0,160,6400,0.00215821979638886,0.05119213798046112,,0.4,1.0,0.00910721778869629,0.6079,1.5699873901367187,0.954,0.15902664184570312,0.5548,1.652033563232422
cifar10_5k/reference_updates,gaussian_postrelu,0,170,6800,0.0018938155894125412,0.02305470080077648,,0.4,1.0,0.00448141098022461,0.6161,1.5899068298339845,0.982,0.08812284851074219,0.5719,1.6010825073242188
cifar10_5k/reference_updates,gaussian_postrelu,0,180,7200,0.0016364454572907084,0.08904105969965458,,0.3,1.0,0.01720560073852539,0.5998,1.5701843505859374,1.0,0.022066339492797852,0.5949,1.5687816040039062
cifar10_5k/reference_updates,gaussian_postrelu,0,190,7600,0.0013890958852299032,0.034478175905346874,,0.3,1.0,0.007726630210876465,0.601,1.6102049255371094,1.0,0.009703733444213868,0.5978,1.6042563537597656
cifar10_5k/reference_updates,gaussian_postrelu,0,200,8000,0.0011546370813296928,0.025408919867873192,,0.3,1.0,0.004166634559631348,0.6055,1.6292448181152344,1.0,0.005276517868041992,0.6039,1.6229434020996094
cifar10_5k/reference_updates,gaussian_postrelu,0,210,8400,0.0009357896711095129,0.02812559967637062,,0.0,1.0,0.00506419849395752,0.6062,1.6199397766113282,1.0,0.00506419849395752,0.6062,1.6199397766113282
cifar10_5k/reference_updates,gaussian_postrelu,0,220,8800,0.0007350931277697843,0.020862909400463103,,0.0,1.0,0.003576068639755249,0.6045,1.6465858154296875,1.0,0.003576068639755249,0.6045,1.6465858154296875
cifar10_5k/reference_updates,gaussian_postrelu,0,230,9200,0.0005548763045179314,0.02397417924106121,,0.0,1.0,0.003608393907546997,0.603,1.6554765197753907,1.0,0.003608393907546997,0.603,1.6554765197753907
cifar10_5k/reference_updates,gaussian_postrelu,0,240,9600,0.00039723041089786835,0.020719940826296808,,0.0,1.0,0.003078784465789795,0.6042,1.6550977966308593,1.0,0.003078784465789795,0.6042,1.6550977966308593
cifar10_5k/reference_updates,gaussian_postrelu,0,250,10000,0.00026398474670163486,0.01593403165638447,,0.0,1.0,0.002808221101760864,0.5978,1.672665447998047,1.0,0.002808221101760864,0.5978,1.672665447998047
cifar10_5k/reference_updates,gaussian_postrelu,0,260,10400,0.00015668547504333054,0.01753774843364954,,0.0,1.0,0.002617230415344238,0.6056,1.6613313232421876,1.0,0.002617230415344238,0.6056,1.6613313232421876
cifar10_5k/reference_updates,gaussian_postrelu,0,270,10800,7.657768090946093e-05,0.01615282167941332,,0.0,1.0,0.0024851560592651367,0.6058,1.6537760314941405,1.0,0.0024851560592651367,0.6058,1.6537760314941405
cifar10_5k/reference_updates,gaussian_postrelu,0,280,11200,2.4590923375653608e-05,0.014038299463689327,,0.0,1.0,0.002294548749923706,0.6058,1.6551154479980468,1.0,0.002294548749923706,0.6058,1.6551154479980468
cifar10_5k/reference_updates,gaussian_postrelu,0,290,11600,1.3284491396925446e-06,0.012789027673006059,,0.0,1.0,0.002460381269454956,0.6058,1.6502382080078124,1.0,0.002460381269454956,0.6058,1.6502382080078124
cifar10_5k/reference_updates,gaussian_postrelu,0,293,11720,9.074290013844078e-11,0.015155533692240715,,0.0,1.0,0.0023245458602905275,0.6082,1.6531401550292968,1.0,0.0023245458602905275,0.6082,1.6531401550292968
cifar10_5k/reference_updates,gaussian_postrelu,1,0,0,8.333333333333333e-05,,,,0.104,2.429453125,0.1,2.458291809082031,0.104,2.511177734375,0.1,2.5560952514648436
cifar10_5k/reference_updates,gaussian_postrelu,1,10,400,0.004989578983014394,1.4597300479888915,,1.0,0.51,1.37449609375,0.4501,1.5000888916015624,0.12,3.473123046875,0.1071,3.5511514404296873
cifar10_5k/reference_updates,gaussian_postrelu,1,20,800,0.004950606903951322,1.2044640135765077,,1.0,0.612,1.054038818359375,0.5135,1.35413837890625,0.148,3.42219775390625,0.1207,3.5172808837890623
cifar10_5k/reference_updates,gaussian_postrelu,1,30,1200,0.004883198342358766,0.8962997573852539,,0.85,0.718,0.8039056396484375,0.5338,1.3500329467773438,0.196,3.151033203125,0.2134,3.223399963378906
cifar10_5k/reference_updates,gaussian_postrelu,1,40,1600,0.004788135497283408,0.6779748664855957,,0.85,0.792,0.634265625,0.5416,1.4794479919433594,0.228,3.187105712890625,0.199,3.4355805908203125
cifar10_5k/reference_updates,gaussian_postrelu,1,50,2000,0.0046665214640151656,0.560657961511612,,0.85,0.868,0.3998653564453125,0.5525,1.4279681030273437,0.242,3.0379990234375,0.2059,3.3193238891601564
cifar10_5k/reference_updates,gaussian_postrelu,1,60,2400,0.004519767433931488,0.4462338990688324,,0.7,0.866,0.42469680786132813,0.5669,1.5067842895507813,0.25,2.552259521484375,0.2368,2.7329413208007813
cifar10_5k/reference_updates,gaussian_postrelu,1,70,2800,0.004349576319239909,0.43396967163085937,,0.7,0.944,0.18426922607421875,0.5799,1.5048319580078124,0.284,2.724650390625,0.2518,2.956938269042969
cifar10_5k/reference_updates,gaussian_postrelu,1,80,3200,0.004157922992634942,0.17573822638988496,,0.7,0.964,0.12210482788085937,0.5885,1.6407579833984376,0.346,2.558119140625,0.2801,2.9657743774414063
cifar10_5k/reference_updates,gaussian_postrelu,1,90,3600,0.0039470313711654345,0.32534585671424865,,0.6,0.97,0.11401156616210938,0.5926,1.5144710388183593,0.39,1.913776123046875,0.3283,2.317376159667969
cifar10_5k/reference_updates,gaussian_postrelu,1,100,4000,0.0037193486102278174,0.1107906498670578,,0.6,0.994,0.0364297981262207,0.6016,1.613493896484375,0.442,1.8758095703125,0.3479,2.4309393310546876
cifar10_5k/reference_updates,gaussian_postrelu,1,110,4400,0.003477516707134358,0.05651061533391476,,0.6,1.0,0.010188597679138184,0.6105,1.60437158203125,0.448,1.9901944580078126,0.3385,2.639813415527344
cifar10_5k/reference_updates,gaussian_postrelu,1,120,4800,0.003224341843764452,0.07960394968688488,,0.5,0.998,0.022560619354248048,0.6083,1.5303879333496093,0.552,1.363471435546875,0.4169,2.1964853271484377
cifar10_5k/reference_updates,gaussian_postrelu,1,130,5200,0.002962761824042309,0.04672427041232586,,0.5,1.0,0.008420705795288086,0.6116,1.6127685424804687,0.606,1.224765869140625,0.4204,2.2522673461914064
cifar10_5k/reference_updates,gaussian_postrelu,1,140,5600,0.0026958119840917666,0.017838507905602454,,0.5,1.0,0.0035033016204833985,0.6199,1.6409302001953125,0.682,0.9710726928710938,0.4448,2.12553330078125
cifar10_5k/reference_updates,gaussian_postrelu,1,150,6000,0.0024265899706417916,0.0831047663450241,,0.4,1.0,0.021161880493164063,0.6132,1.5599127258300782,0.892,0.28904595947265627,0.5512,1.6491414123535155
cifar10_5k/reference_updates,gaussian_postrelu,1,160,6400,0.00215821979638886,0.07552835650444031,,0.4,0.998,0.016424928665161133,0.6021,1.64166201171875,0.928,0.23709400939941405,0.5388,1.7960603881835937
cifar10_5k/reference_updates,gaussian_postrelu,1,170,6800,0.0018938155894125412,0.147611960285902,,0.4,1.0,0.018382843017578126,0.6019,1.682324658203125,0.972,0.12007756042480469,0.5655,1.6669880859375
cifar10_5k/reference_updates,gaussian_postrelu,1,180,7200,0.0016364454572907084,0.05907786262631416,,0.3,1.0,0.014727407455444336,0.6068,1.5462343017578124,1.0,0.018969528198242186,0.6036,1.540136700439453
