cell,radius,energy_fraction
gaussian_postrelu__lr_low__seed0,0,0.0007301651073780184
gaussian_postrelu__lr_low__seed0,1,0.005031185117854077
gaussian_postrelu__lr_low__seed0,2,0.009172142525682755
gaussian_postrelu__lr_low__seed0,3,0.014942764886269052
gaussian_postrelu__lr_low__seed0,4,0.03563173722313072
gaussian_postrelu__lr_low__seed0,5,0.035280737174506506
gaussian_postrelu__lr_low__seed0,6,0.05368007941436469
gaussian_postrelu__lr_low__seed0,7,0.05446303067418126
gaussian_postrelu__lr_low__seed0,8,0.06462957559889648
gaussian_postrelu__lr_low__seed0,9,0.0844530064961958
gaussian_postrelu__lr_low__seed0,10,0.06397640472648111
gaussian_postrelu__lr_low__seed0,11,0.07754213947172689
gaussian_postrelu__lr_low__seed0,12,0.06549202671352915
gaussian_postrelu__lr_low__seed0,13,0.0801584523031256
gaussian_postrelu__lr_low__seed0,14,0.07606744782420344
gaussian_postrelu__lr_low__seed0,15,0.07118906274938674
gaussian_postrelu__lr_low__seed0,16,0.07988735707373228
gaussian_postrelu__lr_low__seed0,17,0.053392997564433005
gaussian_postrelu__lr_low__seed0,18,0.031649233557826964
gaussian_postrelu__lr_low__seed0,19,0.020236334809246935
gaussian_postrelu__lr_low__seed0,20,0.008730943907398628
gaussian_postrelu__lr_low__seed0,21,0.010377252754203013
gaussian_postrelu__lr_low__seed0,22,0.0023924350091587133
gaussian_postrelu__lr_low__seed0,23,0.0008934873170881731
gaussian_postrelu__wd_high__seed0,0,0.0005430386854101206
gaussian_postrelu__wd_high__seed0,1,0.0041470292585895005
gaussian_postrelu__wd_high__seed0,2,0.00847355939995538
gaussian_postrelu__wd_high__seed0,3,0.014905602760621387
gaussian_postrelu__wd_high__seed0,4,0.03663351194520086
gaussian_postrelu__wd_high__seed0,5,0.03637865370049826
gaussian_postrelu__wd_high__seed0,6,0.05407778855029114
gaussian_postrelu__wd_high__seed0,7,0.05531336250073317
gaussian_postrelu__wd_high__seed0,8,0.06606432196966765
gaussian_postrelu__wd_high__seed0,9,0.08919737013893095
gaussian_postrelu__wd_high__seed0,10,0.07004796552481955
gaussian_postrelu__wd_high__seed0,11,0.0845521159466177
gaussian_postrelu__wd_high__seed0,12,0.07490140985147416
gaussian_postrelu__wd_high__seed0,13,0.08919671748103558
gaussian_postrelu__wd_high__seed0,14,0.082847147118712
gaussian_postrelu__wd_high__seed0,15,0.07644515424224005
gaussian_postrelu__wd_high__seed0,16,0.07394679385932158
gaussian_postrelu__wd_high__seed0,17,0.04072762937020372
gaussian_postrelu__wd_high__seed0,18,0.019815424671279266
gaussian_postrelu__wd_high__seed0,19,0.011653846474890924
gaussian_postrelu__wd_high__seed0,20,0.004388243280999584
gaussian_postrelu__wd_high__seed0,21,0.004595300409038599
gaussian_postrelu__wd_high__seed0,22,0.0008880197196198522
gaussian_postrelu__wd_high__seed0,23,0.0002599931398490366
plain__reference__seed0,0,0.00025685623353485283
plain__reference__seed0,1,0.001980693361932276
plain__reference__seed0,2,0.0037739853729053083
plain__reference__seed0,3,0.006618264942301926
plain__reference__seed0,4,0.016989620016258603
plain__reference__seed0,5,0.018470636223571615
plain__reference__seed0,6,0.030071547833294313
plain__reference__seed0,7,0.0340266684708234
plain__reference__seed0,8,0.04529490315329052
plain__reference__seed0,9,0.06785824227665949
plain__reference__seed0,10,0.06022262493762024
plain__reference__seed0,11,0.08135922555002387
plain__reference__seed0,12,0.0822498138222588
plain__reference__seed0,13,0.10768988095228763
plain__reference__seed0,14,0.11320388820731815
plain__reference__seed0,15,0.11439192804769348
plain__reference__seed0,16,0.10995404965993122
plain__reference__seed0,17,0.051350687575270185
plain__reference__seed0,18,0.02547275554943643
plain__reference__seed0,19,0.0149788416304814
plain__reference__seed0,20,0.0058778187659087495
plain__reference__seed0,21,0.0062887722184181965
plain__reference__seed0,22,0.0012192629754797213
plain__reference__seed0,23,0.00039903222329964647
plain__wd_low__seed0,0,0.0002797249449386446
plain__wd_low__seed0,1,0.002108493365689542
plain__wd_low__seed0,2,0.0038889600972318956
plain__wd_low__seed0,3,0.006771292883504699
plain__wd_low__seed0,4,0.017526167261720883
plain__wd_low__seed0,5,0.01922040243092144
plain__wd_low__seed0,6,0.03081939751989959
plain__wd_low__seed0,7,0.03526134362950044
plain__wd_low__seed0,8,0.04570417834878659
plain__wd_low__seed0,9,0.06661369912941108
plain__wd_low__seed0,10,0.05833985126637485
plain__wd_low__seed0,11,0.07614119040192674
plain__wd_low__seed0,12,0.07681251367266288
plain__wd_low__seed0,13,0.10239487586207281
plain__wd_low__seed0,14,0.11009036005239153
plain__wd_low__seed0,15,0.11369479966964985
plain__wd_low__seed0,16,0.1131051787519204
plain__wd_low__seed0,17,0.0575952264614262
plain__wd_low__seed0,18,0.029289487178393244
