cell,method,recipe_variant,training_seed,validation_status,checkpoint,intervention_state,model_mode,train_set,train_n,train_ce_nats,train_error,test_n,test_ce_nats,test_error,gap_error,recorded_final_test_acc_training_log,probe_test_acc_minus_recorded,jac_images,jac_split,jac_frobenius_mean_logit_per_unit_intensity,jac_spectral_mean,jac_participation_mean,jac_freq_mean_radius_cycles_per_image,jac_freq_fraction_above_k8,S_logit_displacement_eps0.05,acc_under_perturbation_eps0.05,S_logit_displacement_eps0.1,acc_under_perturbation_eps0.1,S_logit_displacement_eps0.25,acc_under_perturbation_eps0.25,S_logit_displacement_eps0.5,acc_under_perturbation_eps0.5,S_logit_displacement_eps1,acc_under_perturbation_eps1,S_logit_displacement_eps2,acc_under_perturbation_eps2,S_logit_displacement_eps3,acc_under_perturbation_eps3,S_logit_displacement_eps6,acc_under_perturbation_eps6,S_logit_displacement_eps12,acc_under_perturbation_eps12,linearity_ratio_eps0.05,linearity_ratio_eps0.1,linearity_ratio_eps0.25,linearity_ratio_eps0.5,linearity_ratio_eps1,linearity_ratio_eps2,linearity_ratio_eps3,linearity_ratio_eps6,linearity_ratio_eps12,hess_images,hess_parameters,hess_objective,hutchinson_draws,trace_H_deflated_mean,trace_H_deflated_sd_over_draws,trace_H_deflated_sem_over_draws,trace_H_raw_mean,trace_H_raw_sem,top5_eigen_sum,top_share_of_trace,power_eig1,power_eig1_iters,power_eig1_converged_tol1e-4,power_eig2,power_eig2_iters,power_eig2_converged_tol1e-4,power_eig3,power_eig3_iters,power_eig3_converged_tol1e-4,power_eig4,power_eig4_iters,power_eig4_converged_tol1e-4,power_eig5,power_eig5_iters,power_eig5_converged_tol1e-4,trace_block_stem_mean,trace_block_stem_sem,trace_block_block0_mean,trace_block_block0_sem,trace_block_block1_mean,trace_block_block1_sem,trace_block_block2_mean,trace_block_block2_sem,trace_block_block3_mean,trace_block_block3_sem,trace_block_block4_mean,trace_block_block4_sem,trace_block_block5_mean,trace_block_block5_sem,trace_block_block6_mean,trace_block_block6_sem,trace_block_block7_mean,trace_block_block7_sem,trace_block_block8_mean,trace_block_block8_sem,trace_block_fc_mean,trace_block_fc_sem,source_probe_file,source_run_summary
gaussian_postrelu__lr_high__seed0,gaussian_postrelu,lr_high,0,"unvalidated (recipe variant, 1 seed)",epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.12433468505859376,0.028959999999999986,10000,0.5631901550292969,0.18069999999999997,0.15173999999999999,,,1000,train (first n images of the pinned subset order),81.6010356923397,42.442002975981204,6.132291619874771,11.390770275615411,0.8116106859674739,1.8886344134807587,0.9490000456571579,3.3846797347068787,0.8860000222921371,6.346736192703247,0.6810000240802765,8.72873830795288,0.5710000097751617,10.280107736587524,0.5080000162124634,10.538273334503174,0.4780000224709511,10.460300207138062,0.46800000965595245,11.335508346557617,0.3590000197291374,14.918107748031616,0.2550000138580799,0.8899836393440599,0.7974835062855864,0.598156142281503,0.41132546514794094,0.24221542377265387,0.12414910460831688,0.08215368010991186,0.04451371892514362,0.02929116343478982,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,7245.01862610872,791.6599048111832,98.9574881013979,7138.215373258579,227.92803775941545,3172.808356364877,0.43792963415319525,817.2365999247778,15,True,737.7655450636697,16,True,625.8817280055605,13,True,538.59099340162,11,True,453.3334899692492,39,True,222.46437097529852,19.75196751507835,283.7902585269042,26.50597652225301,297.56662281458244,25.834248203323682,222.93925081549935,25.11560143405404,602.04673632317,48.16849577713194,898.8075484359438,64.17879726436266,668.5860107561738,64.32887156455206,1487.7759798665318,112.43550485964921,2010.4261426077044,123.61655532324797,426.2900145172947,61.5460686522298,17.522437619476875,9.048108377145025,results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,
gaussian_postrelu__lr_low__seed0,gaussian_postrelu,lr_low,0,"unvalidated (recipe variant, 1 seed)",epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.5069876861572266,0.17168000000000005,10000,0.7056800354003906,0.24480000000000002,0.07311999999999996,,,1000,train (first n images of the pinned subset order),59.96384546604596,32.9347805393634,5.426200388225776,11.426821948464323,0.791068157876633,1.5065613687038422,0.8080000281333923,2.7723673582077026,0.7610000222921371,5.5409159660339355,0.6000000238418579,8.185555458068848,0.48900001496076584,10.380938291549683,0.4270000159740448,11.062856912612915,0.40300001204013824,10.639067649841309,0.3920000195503235,10.127801418304443,0.33900000900030136,12.66200041770935,0.2160000093281269,0.9148756081147779,0.8417749603323423,0.6729561728108647,0.4970766663093767,0.31519682601626764,0.16795097358232997,0.1076781391951848,0.051251803576868996,0.0320380668762815,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,11540.78780030318,1664.989999294975,208.12374991187187,10932.499936975248,453.5114630737306,5626.150478707222,0.48750142330486496,1512.2892211324577,17,True,1256.057855401647,13,True,1235.2014086786646,13,True,884.5907621732629,18,True,738.0112313211895,40,True,545.7782500889243,46.538576554350115,1073.6945160412904,98.88924026148091,628.962171689871,77.02964722446195,447.7015354305086,58.66320930961723,1101.480362164682,121.82433522504154,1984.5318250770254,128.78184006981695,1355.9503232140125,120.41346655153289,1825.73270961591,156.32209745032864,1643.3365614384882,158.4129654669746,304.59896191492857,61.139392839171556,20.73272029960731,19.870359194081782,results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,
gaussian_postrelu__reference__seed0,gaussian_postrelu,reference,0,reference,epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.27563772521972657,0.08516000000000001,10000,0.5970403564453125,0.2005,0.11534,,,1000,train (first n images of the pinned subset order),73.38404766760763,38.93965268934504,5.848466095988348,11.229580286930496,0.7902281130287299,1.7619645297527313,0.8930000364780426,3.2035767436027527,0.8200000375509262,6.234526634216309,0.6450000256299973,8.940763711929321,0.5040000230073929,10.940986156463623,0.43800001591444016,11.346003770828247,0.411000020802021,10.92034125328064,0.3840000107884407,10.652575016021729,0.3320000171661377,12.219196796417236,0.21700000762939453,0.904971877283771,0.8227029576150635,0.6404296087542914,0.45921127151582225,0.2809728747133222,0.145687018080837,0.09348089928109661,0.045594376084991665,0.026149858290340174,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,10649.65693033659,1382.9651857340568,172.8706482167571,10072.435023671704,439.06200473627524,5198.482481020452,0.4881361451383533,1252.1269534279058,16,True,1114.3888437590829,33,True,1039.1517160399771,40,False,960.270503604793,35,True,832.5444641886932,17,True,338.0198189900466,24.53688843628,537.1877302010881,50.46685387193606,555.027062804865,59.655893860265564,352.48792816061143,50.998011650480656,971.4744700887176,90.83531551558406,1702.2421152351903,154.7122853673118,1159.8658521996203,103.41700097540155,1834.2742860038431,169.01473969242718,2278.2256803338055,193.96817505500132,336.3807486398774,61.551317038716945,7.249331014038262,14.325385885762469,results/kaggle_outputs/cc-probe-s2-20260915-115507/probe_shard2.json,
gaussian_postrelu__reference__seed1,gaussian_postrelu,reference,1,reference,epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.2711308480834961,0.08501999999999998,10000,0.5991276245117187,0.20020000000000004,0.11518000000000006,,,1000,train (first n images of the pinned subset order),79.30152833471772,41.828081755275804,5.993199180362201,11.047735064525643,0.7702419608852213,1.8895276188850403,0.8840000331401825,3.433326780796051,0.8130000531673431,6.648051977157593,0.6080000251531601,9.45536208152771,0.502000018954277,11.467533111572266,0.44300002604722977,11.775285482406616,0.4100000187754631,11.408818483352661,0.3930000215768814,11.01470947265625,0.3320000171661377,12.721900463104248,0.2540000081062317,0.9034732359662718,0.8208186071939584,0.635750117928281,0.4521059386298583,0.2741587142022323,0.14075813410833013,0.09091833368550829,0.04388881428629766,0.025345612981442438,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,10236.157432623764,1055.2384341331267,131.90480426664084,10024.425661623789,378.42686382335813,4817.968745416276,0.47068138382288627,1343.954987642785,18,True,1076.3956032572596,26,True,872.6930851943257,12,True,851.299389050366,12,True,673.6256802715399,39,True,420.07852960948935,35.43364672423967,590.8325366726096,64.25857502927126,568.722590544036,60.05338561223248,474.2260329337634,72.9464981902409,979.5641959597422,90.30538830021415,1168.555929477363,90.69188995767287,1183.7554100783361,104.05711684234447,1821.675628499408,151.04468658135826,2277.116274471497,151.04717140824627,496.33857750382987,56.978219433098694,43.55995587371399,15.189970774523449,results/kaggle_outputs/cc-probe-s3-20260915-115519/probe_shard3.json,
gaussian_postrelu__reference__seed2,gaussian_postrelu,reference,2,reference,epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.2623527328491211,0.08052000000000004,10000,0.5881584838867188,0.20089999999999997,0.12037999999999993,,,1000,train (first n images of the pinned subset order),71.59683724789457,37.60900367382709,5.964351503313583,10.744040433980782,0.7724441683102512,1.719057559967041,0.8970000445842743,3.1542884707450867,0.851000040769577,6.242247581481934,0.6570000201463699,9.078551292419434,0.5350000411272049,11.23882532119751,0.4660000130534172,11.612029075622559,0.43300001323223114,11.077532291412354,0.4180000126361847,10.751509666442871,0.32600001245737076,12.837091445922852,0.19700000435113907,0.9141734117053305,0.8387056722112061,0.6639099121709567,0.48278605682592923,0.2988333702926262,0.15437831292116386,0.09818156300624935,0.04764599172265531,0.028444189316241795,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,10196.473025498184,1300.8046453263637,162.60058066579546,10356.798542185683,425.81818198956137,4807.534882772153,0.4714899819525844,1297.5860006018167,16,True,1017.7239026414679,22,True,914.0712523327136,23,True,792.1661056116272,30,True,785.9876215845275,14,True,453.60601365745924,36.561489575295006,592.4948321692237,68.81228029205936,557.8680462179163,55.580950607797185,507.01799091950454,50.06501026190869,865.2281777833542,79.99968147505987,1319.0537860365102,129.65064574947107,1044.125676843021,104.12994458332611,2130.918268389193,154.50971630912454,2514.002074913735,179.34921928771783,345.6821152185516,67.67986106139875,26.801560037214813,15.51988745754041,results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,
gaussian_postrelu__wd_high__seed0,gaussian_postrelu,wd_high,0,"unvalidated (recipe variant, 1 seed)",epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.1972993814086914,0.05186000000000002,10000,0.534988198852539,0.18089999999999995,0.12903999999999993,,,1000,train (first n images of the pinned subset order),63.22293976523918,34.59719931320176,5.550024000822974,11.096055576272498,0.7895274531987002,1.5601797997951508,0.9280000478029251,2.8204585313796997,0.8420000523328781,5.387206673622131,0.6370000243186951,7.55141544342041,0.5200000405311584,9.029144048690796,0.4740000218153,9.227168560028076,0.45100001990795135,8.936997413635254,0.4450000301003456,8.947795867919922,0.38600001484155655,10.296078205108643,0.26100001111626625,0.9019110394868349,0.8152274135968733,0.6228488756968782,0.4365333375721488,0.26097904535426986,0.13335138021572646,0.08610521074004038,0.04310462525649959,0.024799883635811665,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,16493.03848438237,1947.3224612064982,243.41530765081228,16238.401979227025,660.9364276859837,7857.821759561539,0.47643263350184306,1965.4613366620288,20,True,1688.3655056437694,38,True,1499.3894795258566,40,False,1465.833003989768,10,True,1238.7724337401164,23,True,489.4986478112655,34.63457530752,671.0331969053689,70.7555600302306,811.6507354205808,101.338684568425,565.8263383169204,69.82367217954156,1442.786609998244,142.77576628407866,2807.3613407657954,227.8158001340441,2052.503849721061,179.8058727857461,3371.184854202713,251.64751588817387,3838.5378261680953,254.618763365509,186.55472420087125,73.83481912726955,1.4638557161083554,12.454299250794866,results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,
gaussian_postrelu__wd_low__seed0,gaussian_postrelu,wd_low,0,"unvalidated (recipe variant, 1 seed)",epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.3097587384033203,0.09870000000000001,10000,0.6073628601074219,0.2046,0.1059,,,1000,train (first n images of the pinned subset order),73.54647038372394,38.922985226182284,5.920780621982972,11.299193028732052,0.7976436449987527,1.7649470269680023,0.8740000426769257,3.2211766242980957,0.822000041604042,6.3328012228012085,0.6550000458955765,9.184317350387573,0.523000031709671,11.35908055305481,0.44300002604722977,11.773816108703613,0.41700001806020737,11.230043411254883,0.40700002014636993,10.980731010437012,0.33900001645088196,13.353586196899414,0.18000000715255737,0.906891913203398,0.827576971699311,0.6508032398852419,0.47192255665989197,0.29183477287384185,0.1512450296436119,0.09617319385959106,0.04701905119656056,0.028589761121227478,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,9243.114260377244,1471.195701314929,183.89946266436613,8574.623088236776,354.2292694010593,4451.460800706459,0.4815975087302209,1120.6475465805813,17,True,931.188570703768,21,True,905.9397409882753,19,True,770.6450940538787,39,True,723.0398483799555,18,True,315.1919404251498,18.93631370310365,466.40978639294275,47.96488503986036,474.75961202032124,48.21460305939508,371.25519757549074,42.56477730521231,838.9025315627175,94.86250604336438,1477.5194714366785,134.12762821531553,1150.1014737619205,101.66882131043515,1412.1655852367155,125.3673263384119,1747.2841530237006,144.83739427369733,306.1066621289322,58.65217838983629,14.926674672206786,14.180056530623764,results/kaggle_outputs/cc-probe-s2-20260915-115507/probe_shard2.json,
plain__lr_high__seed0,plain,lr_high,0,"unvalidated (recipe variant, 1 seed)",epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.024349512329101562,0.0009200000000000319,10000,0.7899184020996094,0.21789999999999998,0.21697999999999995,,,1000,train (first n images of the pinned subset order),189.28582524431474,98.01082588545405,6.054821918222113,12.216552017219065,0.8807792587937087,4.045834839344025,0.919000044465065,6.796566486358643,0.7710000276565552,11.112938165664673,0.5970000177621841,13.4440336227417,0.5330000221729279,14.129363536834717,0.469000019133091,13.777593612670898,0.43300002068281174,13.637336015701294,0.3880000114440918,14.515619039535522,0.29600001871585846,20.37404489517212,0.14900000393390656,0.8255893780698105,0.6934505882341853,0.45353921121539953,0.27433772751703644,0.14416125371035854,0.07028608058446967,0.046380373094836634,0.024683700173591075,0.017322954472212597,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,4744.181323846183,539.5218715197153,67.44023393996441,4759.222966269981,181.36895957687653,2420.464474431952,0.5101964510221636,841.0265568617309,12,True,548.8291889574882,13,True,397.3867159501818,27,True,339.23494863164944,12,True,293.98706403090193,23,True,55.51765747265627,4.630710461059097,197.2336032805513,15.067576316298362,241.0161093867258,23.441059064258827,232.01039551833782,22.25431304223084,386.1073964354085,39.25381435488366,510.80279859444255,41.07804030752381,474.8990733682864,45.03381543689958,1276.188889138826,82.2024822690668,1214.8835561678334,74.80014882363525,168.0500848542173,37.21446617312641,2.513402052695742,3.599555456246008,results/kaggle_outputs/cc-probe-s3-20260915-115519/probe_shard3.json,
plain__lr_low__seed0,plain,lr_low,0,"unvalidated (recipe variant, 1 seed)",epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.5998631616210938,0.20945999999999998,10000,0.8158010131835938,0.28669999999999995,0.07723999999999998,,,1000,train (first n images of the pinned subset order),83.74404048805364,50.26003685956,4.308237815535861,12.576347929602427,0.8750651946504823,2.217142105102539,0.7620000541210175,3.9331360459327698,0.6990000307559967,7.1663103103637695,0.5480000376701355,9.421064615249634,0.44600001722574234,10.359266757965088,0.3880000188946724,10.17046308517456,0.3330000191926956,10.236058950424194,0.2850000113248825,12.348538637161255,0.22300000861287117,22.331146240234375,0.13300000503659248,0.8822683959814146,0.7825573341545699,0.5703386434346126,0.3748928653424831,0.2061133935677694,0.10117842843603117,0.06788732884688274,0.04094883134708124,0.03702601449642382,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,12308.06532672498,858.0672288141003,107.25840360176254,11400.5706646617,562.0288898666159,7888.559598616587,0.6409260423315963,2352.8498687109013,16,True,1911.2399973067693,13,True,1468.1857291347249,24,True,1306.306948605222,16,True,849.9770548589701,12,True,387.017512881348,41.64151521259164,1375.797177297945,121.92156368335172,1660.9695112398545,181.09175585907553,1046.3389070127016,114.24662668063428,1154.0634798380972,141.95856645123507,1867.2621423146024,191.04883468501936,1282.6686356264404,154.53309326818805,1463.3954359791082,139.60446823136988,921.5204184231712,124.62921280493114,219.96972043574016,61.78504221903118,21.567723612690997,25.033215626494446,results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,
plain__reference__seed0,plain,reference,0,reference,epoch_030.pt (last epoch),"target (full resolution, no filter)","eval, BatchNorm running statistics from checkpoint","pinned training subset = all 50,000 CIFAR-10 training images",50000,0.2278350390625,0.06540000000000001,10000,0.7692679504394532,0.25270000000000004,0.18730000000000002,,,1000,train (first n images of the pinned subset order),142.4697841753743,79.10737309144702,5.154318844773537,12.427227989129394,0.8878117275453777,3.32845538854599,0.852000042796135,5.677656650543213,0.7300000339746475,9.499918460845947,0.5410000085830688,11.686015129089355,0.435000017285347,12.376965284347534,0.3890000209212303,12.327831983566284,0.3500000163912773,12.463108539581299,0.3150000125169754,14.099869728088379,0.22700000926852226,21.204759120941162,0.15200000442564487,0.8415032021600166,0.7177152304096763,0.48035565280946313,0.29544692668736416,0.15645779654495587,0.07791835009687076,0.052515579153303106,0.02970618535516516,0.022337529246935425,5000,269722,"mean CE over first 5,000 training images, eval-mode BN (checkpoint running stats), no weight decay, all learnable params incl. BN affine and biases",64,14394.737326826951,1314.5612526996995,164.32015658746244,13260.267148151544,589.9325613272116,8092.081404104076,0.5621555447922733,2190.9823226949106,17,True,1776.9599528254978,34,True,1607.6775806132496,26,True,1330.0710609552368,17,True,1186.3904870151807,14,True,220.92537265859306,24.27506379327565,801.8005554880983,61.91593536656619,959.0753317616194,118.3477009063781,911.6632625662838,124.39479711600343,1130.4067610095815,111.56908675436995,1975.1210546056038,165.61744165310367,1482.1988792351647,147.7584712469993,2839.949435839571,234.40008308464544,2522.2406899279677,260.21519966100965,416.4304049448303,86.50124251058509,0.4554001142314519,17.623054936700377,results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,
