cell,test_accuracy_log,test_accuracy_probe,delta_accuracy,delta_ce
gaussian_postrelu__lr_high__seed0,0.8193,0.8193000000000001,1.1102230246251565e-16,3.0517578464284156e-09
gaussian_postrelu__lr_low__seed0,0.7552,0.7552,0.0,6.103515581834529e-09
gaussian_postrelu__reference__seed0,0.7995,0.7995,0.0,9.155273428262944e-09
gaussian_postrelu__reference__seed1,0.7998,0.7998000000000001,1.1102230246251565e-16,1.0681152295966001e-08
gaussian_postrelu__reference__seed2,0.7991,0.7991000000000001,1.1102230246251565e-16,6.103515692856831e-09
gaussian_postrelu__wd_high__seed0,0.8191,0.8191000000000002,1.1102230246251565e-16,0.0
gaussian_postrelu__wd_low__seed0,0.7954,0.7954,0.0,0.0
plain__lr_high__seed0,0.7821,0.7821000000000001,1.1102230246251565e-16,9.155273428262944e-09
plain__lr_low__seed0,0.7133,0.7133,0.0,1.220703127469136e-08
plain__reference__seed0,0.7473,0.7473000000000001,1.1102230246251565e-16,-1.831054685652589e-08
plain__reference__seed1,0.7651,0.7651,0.0,3.0517578464284156e-09
plain__reference__seed2,0.7656,0.7656000000000001,1.1102230246251565e-16,-3.0517578464284156e-09
plain__wd_high__seed0,0.7723,0.7723,0.0,3.051757735406113e-09
plain__wd_low__seed0,0.7358,0.7358,0.0,-3.051757735406113e-09
resolution_max_b1__lr_high__seed0,0.8295,0.8295000000000001,1.1102230246251565e-16,-6.103515692856831e-09
resolution_max_b1__lr_low__seed0,0.7408,0.7408,0.0,3.051757735406113e-09
resolution_max_b1__reference__seed0,0.8021,0.8021,0.0,6.103515692856831e-09
resolution_max_b1__reference__seed1,0.8022,0.8022000000000001,1.1102230246251565e-16,3.0517578464284156e-09
resolution_max_b1__reference__seed2,0.8022,0.8022000000000001,1.1102230246251565e-16,4.577636714131472e-09
resolution_max_b1__wd_high__seed0,0.8194,0.8194000000000001,1.1102230246251565e-16,-4.577636714131472e-09
resolution_max_b1__wd_low__seed0,0.8003,0.8003,0.0,0.0
resolution_max_b1_gaussian_conv__lr_high__seed0,0.8388,0.8388,0.0,0.0
resolution_max_b1_gaussian_conv__lr_low__seed0,0.7676,0.7676000000000001,1.1102230246251565e-16,0.0
resolution_max_b1_gaussian_conv__reference__seed0,0.813,0.813,0.0,-4.577636714131472e-09
resolution_max_b1_gaussian_conv__reference__seed1,0.813,0.813,0.0,1.5258789010097473e-08
resolution_max_b1_gaussian_conv__reference__seed2,0.8145,0.8145,0.0,-1.0681152295966001e-08
resolution_max_b1_gaussian_conv__wd_high__seed0,0.8318,0.8318,0.0,-4.577636714131472e-09
resolution_max_b1_gaussian_conv__wd_low__seed0,0.8072,0.8072000000000001,1.1102230246251565e-16,-9.155273428262944e-09
