A,B,seed,alpha,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
plain,resolution_max_b1_gaussian_conv,3,0.0,0.17704528045654297,0.952,0.7611475219726562,0.753
plain,resolution_max_b1_gaussian_conv,3,0.02,0.18845539093017577,0.95,0.7514594421386719,0.753
plain,resolution_max_b1_gaussian_conv,3,0.04,0.208427734375,0.935,0.7456417846679687,0.749
plain,resolution_max_b1_gaussian_conv,3,0.06,0.2365653076171875,0.922,0.746828857421875,0.745
plain,resolution_max_b1_gaussian_conv,3,0.08,0.27186737060546873,0.907,0.7534617309570313,0.737
plain,resolution_max_b1_gaussian_conv,3,0.1,0.31421690368652344,0.893,0.764260986328125,0.73
plain,resolution_max_b1_gaussian_conv,3,0.12,0.3613481140136719,0.871,0.7785256958007812,0.728
plain,resolution_max_b1_gaussian_conv,3,0.14,0.4140799560546875,0.849,0.7953666687011719,0.733
plain,resolution_max_b1_gaussian_conv,3,0.16,0.47074581909179686,0.828,0.8149445190429687,0.723
plain,resolution_max_b1_gaussian_conv,3,0.18,0.5294007110595703,0.815,0.8386104125976562,0.718
plain,resolution_max_b1_gaussian_conv,3,0.2,0.5894887084960938,0.787,0.8680279235839844,0.707
plain,resolution_max_b1_gaussian_conv,3,0.22,0.6505595703125,0.771,0.9006240234375,0.698
plain,resolution_max_b1_gaussian_conv,3,0.24,0.7151660766601563,0.743,0.9368214111328125,0.689
plain,resolution_max_b1_gaussian_conv,3,0.26,0.7805782470703125,0.721,0.9756768798828125,0.674
plain,resolution_max_b1_gaussian_conv,3,0.28,0.843640625,0.697,1.01696435546875,0.654
plain,resolution_max_b1_gaussian_conv,3,0.3,0.9064031677246094,0.675,1.0607702941894532,0.634
plain,resolution_max_b1_gaussian_conv,3,0.32,0.9670708618164062,0.657,1.1054285583496093,0.625
plain,resolution_max_b1_gaussian_conv,3,0.34,1.0236013793945313,0.641,1.14795166015625,0.613
plain,resolution_max_b1_gaussian_conv,3,0.36,1.07875,0.619,1.186515869140625,0.598
plain,resolution_max_b1_gaussian_conv,3,0.38,1.1311058959960938,0.603,1.2188833618164063,0.576
plain,resolution_max_b1_gaussian_conv,3,0.4,1.1779932250976564,0.588,1.2444487915039062,0.562
plain,resolution_max_b1_gaussian_conv,3,0.42,1.2168634643554688,0.582,1.264405517578125,0.551
plain,resolution_max_b1_gaussian_conv,3,0.44,1.246636474609375,0.559,1.2800950317382813,0.544
plain,resolution_max_b1_gaussian_conv,3,0.46,1.2663463134765625,0.553,1.2892069091796876,0.537
plain,resolution_max_b1_gaussian_conv,3,0.48,1.2759849243164063,0.546,1.291505615234375,0.534
plain,resolution_max_b1_gaussian_conv,3,0.5,1.2759515991210937,0.546,1.2876063232421875,0.532
plain,resolution_max_b1_gaussian_conv,3,0.52,1.2663817749023438,0.552,1.2764674072265625,0.537
plain,resolution_max_b1_gaussian_conv,3,0.54,1.2503878173828125,0.556,1.257519775390625,0.543
