method,seed,policy,split,centre_ce,centre_acc
plain,0,saved,train_probe,0.2235287322998047,0.941
plain,0,saved,test_probe,0.7621461791992188,0.739
plain,0,recalibrated,train_probe,0.22218031311035155,0.94
plain,0,recalibrated,test_probe,0.7570303955078125,0.737
plain,0,centre_frozen,train_probe,0.22218031311035155,0.94
plain,0,centre_frozen,test_probe,0.7570303955078125,0.737
plain,1,saved,train_probe,0.19680810546875,0.948
plain,1,saved,test_probe,0.7176654968261719,0.768
plain,1,recalibrated,train_probe,0.19905135345458985,0.949
plain,1,recalibrated,test_probe,0.7145313110351562,0.772
plain,1,centre_frozen,train_probe,0.19905135345458985,0.949
plain,1,centre_frozen,test_probe,0.7145313110351562,0.772
plain,2,saved,train_probe,0.19614462280273437,0.945
plain,2,saved,test_probe,0.738413818359375,0.782
plain,2,recalibrated,train_probe,0.19441744995117188,0.943
plain,2,recalibrated,test_probe,0.7352325439453125,0.784
plain,2,centre_frozen,train_probe,0.19441744995117188,0.943
plain,2,centre_frozen,test_probe,0.7352325439453125,0.784
plain,3,saved,train_probe,0.1793782958984375,0.953
plain,3,saved,test_probe,0.7676930236816406,0.752
plain,3,recalibrated,train_probe,0.17704528045654297,0.952
plain,3,recalibrated,test_probe,0.7611475219726562,0.753
plain,3,centre_frozen,train_probe,0.17704528045654297,0.952
plain,3,centre_frozen,test_probe,0.7611475219726562,0.753
plain,4,saved,train_probe,0.16967857360839844,0.963
plain,4,saved,test_probe,0.7400374145507812,0.768
plain,4,recalibrated,train_probe,0.16457229614257812,0.963
plain,4,recalibrated,test_probe,0.7361421203613281,0.769
plain,4,centre_frozen,train_probe,0.16457229614257812,0.963
plain,4,centre_frozen,test_probe,0.7361421203613281,0.769
resolution_max_b1,0,saved,train_probe,0.3205525207519531,0.896
resolution_max_b1,0,saved,test_probe,0.5638476867675781,0.809
resolution_max_b1,0,recalibrated,train_probe,0.31810240173339843,0.896
resolution_max_b1,0,recalibrated,test_probe,0.5604129028320313,0.811
resolution_max_b1,0,centre_frozen,train_probe,0.31810240173339843,0.896
resolution_max_b1,0,centre_frozen,test_probe,0.5604129028320313,0.811
resolution_max_b1,1,saved,train_probe,0.3033616485595703,0.909
resolution_max_b1,1,saved,test_probe,0.5634313049316406,0.798
resolution_max_b1,1,recalibrated,train_probe,0.30492636108398435,0.91
resolution_max_b1,1,recalibrated,test_probe,0.5631025390625,0.805
resolution_max_b1,1,centre_frozen,train_probe,0.30492636108398435,0.91
resolution_max_b1,1,centre_frozen,test_probe,0.5631025390625,0.805
resolution_max_b1,2,saved,train_probe,0.2905312194824219,0.894
resolution_max_b1,2,saved,test_probe,0.5576944885253906,0.811
resolution_max_b1,2,recalibrated,train_probe,0.2894099578857422,0.899
resolution_max_b1,2,recalibrated,test_probe,0.5525310974121094,0.812
resolution_max_b1,2,centre_frozen,train_probe,0.2894099578857422,0.899
resolution_max_b1,2,centre_frozen,test_probe,0.5525310974121094,0.812
resolution_max_b1,3,saved,train_probe,0.28469744873046876,0.91
resolution_max_b1,3,saved,test_probe,0.5767434997558594,0.802
