method,seed,policy,split,direction,amplitude,S_f32,S_f64,diff,L0_diff,suspicious,C_f32,C_f64
plain,0,saved,train_probe,0,0.005,0.00126082611083983,0.0012609180293579325,-9.191851810252949e-08,3.555520208808893e-08,False,100.86608886718639,100.8734423486346
plain,0,saved,train_probe,0,0.01,0.005564002990722655,0.005564047268659028,-4.4277936372960625e-08,3.555520208808893e-08,False,111.2800598144531,111.28094537318056
plain,0,saved,train_probe,0,0.02,0.022787452697753896,0.022787539984048227,-8.72862943313013e-08,3.555520208808893e-08,False,113.93726348876947,113.93769992024113
plain,0,saved,train_probe,0,0.05,0.1463892364501953,0.14638935820909152,-1.2175889621546254e-07,3.555520208808893e-08,False,117.11138916015622,117.11148656727319
plain,0,saved,train_probe,1,0.005,0.0018463058471679672,0.0018463533375260022,-4.749035803497392e-08,3.555520208808893e-08,False,147.70446777343736,147.70826700208016
plain,0,saved,train_probe,1,0.01,0.0073153419494629,0.00731537787772138,-3.5928258479422936e-08,3.555520208808893e-08,False,146.30683898925798,146.30755755442758
plain,0,saved,train_probe,1,0.02,0.02959946823120113,0.02959948021540046,-1.198419932735284e-08,3.555520208808893e-08,False,147.99734115600566,147.99740107700228
plain,0,saved,train_probe,1,0.05,0.19340144348144533,0.19340166717065502,-2.2368920968296457e-07,3.555520208808893e-08,False,154.72115478515624,154.72133373652397
plain,0,saved,test_probe,0,0.005,0.0006445922851562313,0.0006444969332026762,9.535195355514503e-08,-5.176315465149628e-08,False,51.56738281249851,51.559754656214096
plain,0,saved,test_probe,0,0.01,0.0027619476318359037,0.0027619705439503317,-2.2912114427953156e-08,-5.176315465149628e-08,False,55.238952636718075,55.239410879006634
plain,0,saved,test_probe,0,0.02,0.012769195556640578,0.012769218414808048,-2.2858167469941293e-08,-5.176315465149628e-08,False,63.84597778320288,63.846092074040236
plain,0,saved,test_probe,0,0.05,0.09104792785644533,0.09104781864033373,1.0921611159897537e-07,-5.176315465149628e-08,False,72.83834228515626,72.83825491226698
plain,0,saved,test_probe,1,0.005,0.0014009246826172106,0.00140075635031911,1.6833229810053751e-07,-5.176315465149628e-08,False,112.07397460937685,112.0605080255288
plain,0,saved,test_probe,1,0.01,0.005864837646484267,0.0058647792627524176,5.8383731849076526e-08,-5.176315465149628e-08,False,117.29675292968533,117.29558525504835
plain,0,saved,test_probe,1,0.02,0.025012939453124994,0.025012987243675733,-4.779055073900196e-08,-5.176315465149628e-08,False,125.06469726562496,125.06493621837866
plain,0,saved,test_probe,1,0.05,0.17479524230957022,0.17479543918590656,-1.9687633634468682e-07,-5.176315465149628e-08,False,139.83619384765615,139.83635134872523
plain,0,recalibrated,train_probe,0,0.005,0.0006072731018066657,0.0006073261096289639,-5.300782229822332e-08,3.378570309631179e-08,False,48.581848144533254,48.58608877031711
plain,0,recalibrated,train_probe,0,0.01,0.002302127838134771,0.0023022360753155446,-1.0823718077368483e-07,3.378570309631179e-08,False,46.04255676269542,46.04472150631089
plain,0,recalibrated,train_probe,0,0.02,0.009284996032714848,0.009285063417107442,-6.738439259357243e-08,3.378570309631179e-08,False,46.42498016357424,46.42531708553721
plain,0,recalibrated,train_probe,0,0.05,0.052697700500488304,0.05269774976065511,-4.926016680673051e-08,3.378570309631179e-08,False,42.158160400390635,42.15819980852408
plain,0,recalibrated,train_probe,1,0.005,0.0005387077331543144,0.0005387583729892231,-5.063983490871671e-08,3.378570309631179e-08,False,43.09661865234515,43.10066983913785
plain,0,recalibrated,train_probe,1,0.01,0.0020707244873046926,0.002070806536859815,-8.204955512236545e-08,3.378570309631179e-08,False,41.41448974609385,41.4161307371963
plain,0,recalibrated,train_probe,1,0.02,0.007557991027832028,0.00755806676205123,-7.573421920148427e-08,3.378570309631179e-08,False,37.78995513916014,37.79033381025615
plain,0,recalibrated,train_probe,1,0.05,0.041965011596679674,0.04196507850525011,-6.690857043412102e-08,3.378570309631179e-08,False,33.57200927734373,33.57206280420008
plain,0,recalibrated,test_probe,0,0.005,0.00024476623535163444,0.0002445840414860845,1.821938655499622e-07,-1.5381390383595317e-07,False,19.581298828130755,19.56672331888676
plain,0,recalibrated,test_probe,0,0.01,0.0008119354248047328,0.0008118156123495535,1.1981245517933559e-07,-1.5381390383595317e-07,False,16.238708496094656,16.23631224699107
plain,0,recalibrated,test_probe,0,0.02,0.0033381805419921973,0.003338009971275757,1.7057071644011046e-07,-1.5381390383595317e-07,False,16.690902709960987,16.690049856378785
plain,0,recalibrated,test_probe,0,0.05,0.01851388549804689,0.018513758333281838,1.2716476505136853e-07,-1.5381390383595317e-07,False,14.811108398437508,14.811006666625467
plain,0,recalibrated,test_probe,1,0.005,9.240722656256306e-05,9.233845327849544e-05,6.877328406762473e-08,-1.5381390383595317e-07,False,7.392578125005045,7.387076262279635
plain,0,recalibrated,test_probe,1,0.01,0.0004094696044921742,0.0004093503311349833,1.192733571908633e-07,-1.5381390383595317e-07,False,8.189392089843484,8.187006622699666
plain,0,recalibrated,test_probe,1,0.02,0.002250534057617215,0.0022504742957319968,5.976188521827908e-08,-1.5381390383595317e-07,False,11.252670288086074,11.252371478659983
plain,0,recalibrated,test_probe,1,0.05,0.016075866699218788,0.01607570691643223,1.59782786557372e-07,-1.5381390383595317e-07,False,12.860693359375029,12.860565533145783
plain,0,centre_frozen,train_probe,0,0.005,0.0014376258850097579,0.0014377087897886887,-8.29047789308035e-08,3.1476523415507884e-08,False,115.01007080078062,115.01670318309509
plain,0,centre_frozen,train_probe,0,0.01,0.005797817230224628,0.005797895410122378,-7.817989775005252e-08,3.1476523415507884e-08,False,115.95634460449256,115.95790820244756
plain,0,centre_frozen,train_probe,0,0.02,0.023336357116699236,0.02333640361935896,-4.650265972294676e-08,3.1476523415507884e-08,False,116.68178558349618,116.68201809679479
plain,0,centre_frozen,train_probe,0,0.05,0.14936006164550777,0.14936008089309977,-1.924759199245507e-08,3.1476523415507884e-08,False,119.48804931640619,119.48806471447979
plain,0,centre_frozen,train_probe,1,0.005,0.0019733695983886745,0.0019733906894990882,-2.1091110413706815e-08,3.1476523415507884e-08,False,157.86956787109395,157.87125515992705
plain,0,centre_frozen,train_probe,1,0.01,0.007642452239990244,0.007642483016241819,-3.0776251574993196e-08,3.1476523415507884e-08,False,152.84904479980486,152.84966032483638
plain,0,centre_frozen,train_probe,1,0.02,0.03028650283813475,0.030286498672567386,4.165567363267897e-09,3.1476523415507884e-08,False,151.43251419067374,151.4324933628369
plain,0,centre_frozen,train_probe,1,0.05,0.19796734619140624,0.1979674074884426,-6.129703636337247e-08,3.1476523415507884e-08,False,158.37387695312495,158.37392599075406
plain,0,centre_frozen,test_probe,0,0.005,0.0006252746582030566,0.0006252115645696277,6.309363342893448e-08,-7.705048399309078e-08,False,50.02197265624453,50.016925165570214
plain,0,centre_frozen,test_probe,0,0.01,0.002939743041992182,0.0029396307009258438,1.1234106633839502e-07,-7.705048399309078e-08,False,58.79486083984364,58.79261401851687
plain,0,centre_frozen,test_probe,0,0.02,0.013913223266601604,0.013913074509941281,1.4875666032310164e-07,-7.705048399309078e-08,False,69.56611633300801,69.5653725497064
plain,0,centre_frozen,test_probe,0,0.05,0.09464915466308599,0.09464903576994066,1.1889314532886885e-07,-7.705048399309078e-08,False,75.71932373046877,75.71922861595252
plain,0,centre_frozen,test_probe,1,0.005,0.001494934082031274,0.0014948387672034658,9.531482780822387e-08,-7.705048399309078e-08,False,119.59472656250192,119.58710137627726
plain,0,centre_frozen,test_probe,1,0.01,0.0060644531250000355,0.006064364859175941,8.826582409415806e-08,-7.705048399309078e-08,False,121.28906250000071,121.28729718351882
plain,0,centre_frozen,test_probe,1,0.02,0.025581314086913998,0.025581290841962923,2.3244951075085396e-08,-7.705048399309078e-08,False,127.90657043456999,127.90645420981461
plain,0,centre_frozen,test_probe,1,0.05,0.17948486328125002,0.17948478681235802,7.646889199630635e-08,-7.705048399309078e-08,False,143.587890625,143.58782944988639
plain,1,saved,train_probe,0,0.005,0.0014648361206054672,0.0014648257638406326,1.0356764834629217e-08,-5.0877603102739144e-08,False,117.18688964843737,117.1860611072506
plain,1,saved,train_probe,0,0.01,0.005685691833496098,0.0056856767601395075,1.507335659067799e-08,-5.0877603102739144e-08,False,113.71383666992196,113.71353520279014
plain,1,saved,train_probe,0,0.02,0.02171572494506835,0.021715702573335965,2.2371732383286158e-08,-5.0877603102739144e-08,False,108.57862472534174,108.57851286667982
plain,1,saved,train_probe,0,0.05,0.13153355407714845,0.13153350082742613,5.3249722326009774e-08,-5.0877603102739144e-08,False,105.22684326171874,105.22680066194089
plain,1,saved,train_probe,1,0.005,0.003382099151611334,0.0033820217897664595,7.736184487461273e-08,-5.0877603102739144e-08,False,270.5679321289067,270.56174318131673
plain,1,saved,train_probe,1,0.01,0.013071151733398456,0.013071105705753455,4.602764500094558e-08,-5.0877603102739144e-08,False,261.4230346679691,261.42211411506906
plain,1,saved,train_probe,1,0.02,0.05073875427246094,0.050738684523912114,6.974854882546566e-08,-5.0877603102739144e-08,False,253.6937713623047,253.69342261956055
plain,1,saved,train_probe,1,0.05,0.32911351013183593,0.3291135031200427,7.011793201616712e-09,-5.0877603102739144e-08,False,263.29080810546867,263.29080249603413
plain,1,saved,test_probe,0,0.005,0.0008652038574218368,0.0008650833416042891,1.2051581754768392e-07,5.579607886829763e-09,False,69.21630859374694,69.20666732834313
plain,1,saved,test_probe,0,0.01,0.0034735717773437536,0.0034735917111777814,-1.9933834027874298e-08,5.579607886829763e-09,False,69.47143554687507,69.47183422355563
