method,seed,epoch,update,state_label,state,produced_state,next_update_state,equals_final,policy,split,centre_ce,centre_acc,S_eps0.1,n_dirs_eps0.1,S_eps0.25,n_dirs_eps0.25
plain,0,3,1173,produced,plain,plain,plain,True,saved,train_probe,1.25984375,0.521,0.23664953613281253,10,2.2051307098388673,10
plain,0,3,1173,produced,plain,plain,plain,True,saved,test_probe,1.24831982421875,0.517,0.2339836975097655,10,2.2006961975097656,10
plain,0,3,1173,produced,plain,plain,plain,True,recalibrated,train_probe,1.199178466796875,0.552,0.05151402282714843,10,0.32696395568847664,10
plain,0,3,1173,produced,plain,plain,plain,True,recalibrated,test_probe,1.201076171875,0.56,0.04899457397460931,10,0.3188431884765624,10
plain,0,6,2346,produced,plain,plain,plain,True,saved,train_probe,0.9136605834960938,0.674,0.2304002349853515,10,2.072680688476562,10
plain,0,6,2346,produced,plain,plain,plain,True,saved,test_probe,0.9887532653808594,0.644,0.21179328308105463,10,1.9952578521728515,10
plain,0,6,2346,produced,plain,plain,plain,True,recalibrated,train_probe,0.8910115356445313,0.677,0.05786109466552729,10,0.37883678588867176,10
plain,0,6,2346,produced,plain,plain,plain,True,recalibrated,test_probe,0.9671197509765626,0.659,0.05198487091064443,10,0.3455968994140624,10
plain,0,9,3519,produced,plain,plain,plain,True,saved,train_probe,0.7382246704101563,0.742,0.2722843322753906,10,2.4676701934814456,10
plain,0,9,3519,produced,plain,plain,plain,True,saved,test_probe,0.8327672424316406,0.728,0.24027055816650397,10,2.3342743286132817,10
plain,0,9,3519,produced,plain,plain,plain,True,recalibrated,train_probe,0.7362914123535156,0.744,0.06760691375732426,10,0.42305146789550785,10
plain,0,9,3519,produced,plain,plain,plain,True,recalibrated,test_probe,0.8289398803710938,0.729,0.053747637939453106,10,0.3634147857666015,10
plain,0,12,4692,produced,plain,plain,plain,True,saved,train_probe,0.61487109375,0.778,0.2972762130737304,10,2.667027819824219,10
plain,0,12,4692,produced,plain,plain,plain,True,saved,test_probe,0.7768048400878906,0.725,0.2552165802001952,10,2.5183220092773437,10
plain,0,12,4692,produced,plain,plain,plain,True,recalibrated,train_probe,0.603173095703125,0.791,0.07821035156249996,10,0.4713121429443358,10
plain,0,12,4692,produced,plain,plain,plain,True,recalibrated,test_probe,0.7590120849609375,0.732,0.05169078826904293,10,0.38516498413085937,10
plain,0,18,7038,produced,plain,plain,plain,True,saved,train_probe,0.374126220703125,0.872,0.4519925079345703,10,3.816448892211914,10
plain,0,18,7038,produced,plain,plain,plain,True,saved,test_probe,0.7327154541015625,0.745,0.3738077545166016,10,3.515093893432617,10
plain,0,18,7038,produced,plain,plain,plain,True,recalibrated,train_probe,0.3748327789306641,0.872,0.11872143783569333,10,0.6663063613891602,10
plain,0,18,7038,produced,plain,plain,plain,True,recalibrated,test_probe,0.7308308715820313,0.743,0.06531678466796871,10,0.4753660888671874,10
plain,0,21,8211,produced,plain,plain,plain,True,saved,train_probe,0.3079678192138672,0.9,0.5359598007202149,10,4.447367556762695,10
plain,0,21,8211,produced,plain,plain,plain,True,saved,test_probe,0.737179931640625,0.74,0.44499601898193364,10,4.083452713012695,10
plain,0,21,8211,produced,plain,plain,plain,True,recalibrated,train_probe,0.3043950958251953,0.895,0.14217658920288087,10,0.7791636947631836,10
plain,0,21,8211,produced,plain,plain,plain,True,recalibrated,test_probe,0.7345509338378906,0.735,0.0768853256225586,10,0.5309677642822266,10
plain,0,30,11730,produced,plain,plain,-,True,saved,train_probe,0.2235287322998047,0.941,0.6425633743286132,10,5.073225827026368,10
plain,0,30,11730,produced,plain,plain,-,True,saved,test_probe,0.7621461791992188,0.739,0.5342881210327148,10,4.617334936523438,10
plain,0,30,11730,produced,plain,plain,-,True,recalibrated,train_probe,0.22218031311035155,0.94,0.1691744522094727,10,0.916592481994629,10
plain,0,30,11730,produced,plain,plain,-,True,recalibrated,test_probe,0.7570303955078125,0.737,0.08833992309570315,10,0.6066119354248047,10
plain,1,3,1173,produced,plain,plain,plain,True,saved,train_probe,1.22466845703125,0.551,0.33974181823730465,10,2.3001839599609375,10
plain,1,3,1173,produced,plain,plain,plain,True,saved,test_probe,1.280188232421875,0.536,0.30655708923339847,10,2.205457354736328,10
plain,1,3,1173,produced,plain,plain,plain,True,recalibrated,train_probe,1.1607578125,0.579,0.0813207672119141,10,0.4627181060791017,10
plain,1,3,1173,produced,plain,plain,plain,True,recalibrated,test_probe,1.1977290649414063,0.569,0.07256107177734368,10,0.4320027069091797,10
plain,1,6,2346,produced,plain,plain,plain,True,saved,train_probe,0.8947078247070313,0.671,0.3657916015625,10,2.84073480834961,10
plain,1,6,2346,produced,plain,plain,plain,True,saved,test_probe,0.9791507568359376,0.649,0.3522485900878905,10,2.7411686096191406,10
plain,1,6,2346,produced,plain,plain,plain,True,recalibrated,train_probe,0.8687386169433594,0.676,0.09039227752685544,10,0.5318010284423828,10
plain,1,6,2346,produced,plain,plain,plain,True,recalibrated,test_probe,0.9540114440917968,0.668,0.08011679840087896,10,0.48444212951660165,10
plain,1,9,3519,produced,plain,plain,plain,True,saved,train_probe,0.6661092529296875,0.78,0.3951300399780274,10,3.127982409667969,10
plain,1,9,3519,produced,plain,plain,plain,True,saved,test_probe,0.7945795288085937,0.716,0.3782071533203125,10,3.003525823974609,10
plain,1,9,3519,produced,plain,plain,plain,True,recalibrated,train_probe,0.6663093872070313,0.789,0.09367581634521484,10,0.570764421081543,10
plain,1,9,3519,produced,plain,plain,plain,True,recalibrated,test_probe,0.7874164123535157,0.725,0.0845309661865234,10,0.5198453247070313,10
plain,1,12,4692,produced,plain,plain,plain,True,saved,train_probe,0.5638680419921875,0.81,0.503499836730957,10,3.8389770141601565,10
plain,1,12,4692,produced,plain,plain,plain,True,saved,test_probe,0.7500217895507812,0.739,0.46263674926757803,10,3.64946669921875,10
plain,1,12,4692,produced,plain,plain,plain,True,recalibrated,train_probe,0.5486910705566406,0.813,0.10457675476074224,10,0.6550474090576172,10
plain,1,12,4692,produced,plain,plain,plain,True,recalibrated,test_probe,0.7339561157226563,0.751,0.08111526184082027,10,0.5486246292114256,10
