problem,method,seed,probe,policy,coords,vector,r2_frac_conv1,l2_frac_conv1,r2_frac_stage 1,l2_frac_stage 1,r2_frac_stage 2,l2_frac_stage 2,r2_frac_stage 3,l2_frac_stage 3,r2_frac_fc,l2_frac_fc
combined_s0_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,ordinary,top1,0.004753342560831821,0.005181100286761907,0.18254121019312414,0.19613492402930882,0.4176046242749812,0.41509076875455275,0.39390966592787924,0.38169177884710326,0.0011911570431836186,0.0019014280822731602
combined_s0_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,ordinary,top2,0.0014760294168058297,0.001789774377052548,0.1119751841173543,0.12426528700986321,0.46496958362723456,0.46210120010839356,0.4202009690061019,0.409582936803938,0.0013782338325033343,0.0022608017007527295
combined_s0_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,ordinary,min,0.0032135090178232965,0.0037543809075604216,0.062472026306443856,0.06673194611383361,0.4066691052887182,0.41211537699614886,0.5268769356687285,0.5160750093125616,0.0007684237182862156,0.0013232866698955814
combined_s0_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,relative,top1,0.005944343601099858,0.007096871464197238,0.21969659544711273,0.23660009509806165,0.41258691689808724,0.40770953607905797,0.35874447865317777,0.34366207550952127,0.003027665400522453,0.004931421849161903
combined_s0_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,relative,top2,0.0023905571613362328,0.0030039944135883353,0.138357153564436,0.15463593485890367,0.45876904402554025,0.4538473938106681,0.3967329784007936,0.3822734027114906,0.0037502668478939503,0.00623927420534934
combined_s0_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,relative,min,0.00400075289107851,0.0049883461393959065,0.07188215473096553,0.07735410943038819,0.4190980461404163,0.4244537870099498,0.5026866328966059,0.4891073147135843,0.002332413340933761,0.004096442706681715
combined_s0_test_saved_ord,resolution_max_b1_gaussian_conv,0,test_probe,saved,ordinary,top1,0.004932908198654318,0.005408438262124791,0.18430193225863187,0.19782191484069442,0.41602252599721257,0.4132853571361241,0.3935102375398428,0.38154250211041857,0.0012323960056584483,0.0019417876506380766
combined_s0_test_saved_ord,resolution_max_b1_gaussian_conv,0,test_probe,saved,ordinary,top2,0.0014720746910921814,0.001770025418793022,0.11705545386551182,0.1297270615466844,0.46442349078633555,0.46087338519892107,0.4157464356488831,0.40546248994846534,0.001302545008177313,0.002167037887136166
combined_s0_test_saved_ord,resolution_max_b1_gaussian_conv,0,test_probe,saved,ordinary,min,0.0026022572803423728,0.0029416497877623573,0.06996263721438495,0.07453230556027096,0.426487834146684,0.4328538769565855,0.5002812404499556,0.48853968107160983,0.0006660309086331523,0.0011324866237713209
combined_s0_test_saved_rel,resolution_max_b1_gaussian_conv,0,test_probe,saved,relative,top1,0.006260984974034142,0.007519563133870512,0.2212996801788396,0.23796975692266137,0.4101200090221664,0.40507831705268227,0.35926862597063436,0.3445300704636221,0.003050699854325489,0.0049022924271637115
