problem,method,seed,source_probe,source_policy,coords,vector,eval_policy,t,train_probe_ce,test_probe_ce,train_probe_acc,test_probe_acc
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.5,260703424348.16,260406148857.856,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.35,2513274798.08,2510804221.952,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.2,6109015.296,6106763.776,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.1,30321.074,30312.248,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.05,1153.4565625,1152.341625,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.02,112.88981640625,112.42303515625,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.01,39.522892578125,39.675328125,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.005,15.4542529296875,15.9223876953125,0.181,0.17
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.002,4.410944091796875,5.0973173828125,0.371,0.339
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.001,1.5004906005859375,2.1585389404296875,0.647,0.55
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,-0.0005,0.5723892822265625,1.1633026123046875,0.801,0.65
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.0,0.2235287322998047,0.7621461791992188,0.941,0.739
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.0005,0.6197507934570312,1.1733896484375,0.769,0.665
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.001,2.1780225830078126,2.7275321044921874,0.503,0.46
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.002,8.7331240234375,9.30887451171875,0.167,0.153
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.005,35.704455078125,35.94203125,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.01,89.85436328125,90.09952734375,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.02,305.73825,306.101,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.05,5056.5115,5054.82625,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.1,218529.144,218117.664,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.2,68704686.08,68373618.688,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.35,39035523301.376,38732650512.384,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,saved,0.5,4724455435665.408,4676907194908.672,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.5,679566966.784,675233988.608,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.35,13047716.352,12994653.696,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.2,100919.34,100686.676,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.1,1707.3509375,1704.365625,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.05,124.980890625,124.5974765625,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.02,16.6750234375,17.0325537109375,0.169,0.17
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.01,2.0671893310546876,2.5359627685546875,0.537,0.474
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.005,0.3463430480957031,0.8609400024414062,0.877,0.716
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.002,0.22776515197753905,0.7584333190917969,0.942,0.734
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.001,0.22415260314941407,0.7583712768554688,0.942,0.735
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,-0.0005,0.22362034606933595,0.7601259460449219,0.942,0.736
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.0,0.2235287322998047,0.7621461791992188,0.941,0.739
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.0005,0.22364585876464843,0.7633969421386719,0.939,0.742
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.001,0.2241888198852539,0.7643213500976562,0.939,0.74
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.002,0.2276515655517578,0.7664345092773438,0.94,0.743
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.005,0.3511938018798828,0.8721494750976563,0.87,0.724
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.01,2.45844775390625,2.9146866455078126,0.519,0.468
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.02,19.48044921875,19.7546025390625,0.177,0.167
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.05,121.36162890625,121.9160078125,0.164,0.161
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.1,1101.617375,1104.7638125,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.2,31900.754,31934.344,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.35,2038431.552,2046990.144,0.1,0.1
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,saved,0.5,70290628.608,70844317.696,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.5,437602574401.536,437143801430.016,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.35,3907211624.448,3903455232.0,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.2,8578157.568,8574368.768,0.1,0.1
