m,s,policy,probe,hvp_seconds_f32,hvp_repeat_bitwise,hvp_repeat_max_abs_diff,symmetry_rel,loss_f32,grad_norm_f32,hvp_seconds_f64,hvp_f32_vs_f64_rel,key,fd_err_all_masked_h0.01,fd_err_all_masked_h0.001,fd_err_all_masked_h0.0001,fd_err_fc_only_h0.01,fd_err_fc_only_h0.001,fd_err_fc_only_h0.0001
resolution_max_b1_gaussian_conv,3,saved,train_probe,1.0380287170410156,True,0.0,8.723082439892195e-07,0.30057623982429504,2.0342244521615593,4.106611728668213,0.0001584021167957479,hchecks|saved,0.10947090329493454,0.3018116687743336,0.8851780736634927,6.163572349632405e-05,6.165729305112045e-07,6.165928185719724e-09
resolution_max_b1_gaussian_conv,3,centre_frozen,train_probe,1.0746870040893555,True,0.0,3.0972796258524315e-07,0.30317582190036774,1.9133809565391962,4.157370090484619,0.00011191680526421412,hchecks|centre_frozen,0.10994569354678309,0.3207461586095238,0.9491180967527678,5.926928354270508e-05,5.928829153291281e-07,5.9290073914147904e-09
gaussian_postrelu,3,saved,train_probe,1.0125727653503418,True,0.0,1.4116152278766785e-06,0.25771790742874146,2.9094602482879264,4.080447435379028,0.00023168867014546437,hchecks|saved,0.24265444611452272,0.7938407567882012,2.37057391500576,3.8012615701695934e-05,3.801964548837557e-07,3.802057189454945e-09
gaussian_postrelu,3,centre_frozen,train_probe,1.0477244853973389,True,0.0,1.1861100430509027e-06,0.2561737596988678,2.517048171921544,4.125252723693848,0.00034857330444458003,hchecks|centre_frozen,0.26605005775567603,0.8042717696816197,2.733705186014447,3.8206444770189476e-05,3.8213689642505365e-07,3.821536914603715e-09
plain,3,saved,train_probe,1.5980079174041748,True,0.0,1.0701349997001514e-06,0.17937830090522766,4.42861092513591,4.061392307281494,0.0002090938236269175,hchecks|saved,0.13345145639547695,0.34380328862775034,0.9370108062361113,7.22255026557403e-05,7.223745774543076e-07,7.224241875515064e-09
plain,3,centre_frozen,train_probe,1.0726327896118164,True,0.0,4.505374143925137e-07,0.1770452857017517,3.899627744365763,4.1739842891693115,0.00015606600845964881,hchecks|centre_frozen,0.11825813766756597,0.33197168478675104,0.8864560209059722,6.778609710627986e-05,6.779516373602866e-07,6.77967676621728e-09
resolution_max_b1,3,saved,train_probe,1.580937385559082,True,0.0,1.252779283406773e-07,0.28469744324684143,2.626899773531119,4.063237190246582,0.00030863707447821516,hchecks|saved,0.25128556786916595,0.740292308987846,2.375814485985769,6.0848101704293036e-05,6.086665285179204e-07,6.086568749403964e-09
resolution_max_b1,3,centre_frozen,train_probe,1.0357441902160645,True,0.0,5.429557827389869e-07,0.28435562551021576,2.1132299401279884,4.143526315689087,0.00041398792425103247,hchecks|centre_frozen,0.23439753645095004,0.7330655383436219,2.3985682200025797,5.8130322385361564e-05,5.814221791376687e-07,5.814342492082067e-09
resolution_max_b1_gaussian_conv,4,saved,train_probe,1.0559239387512207,True,0.0,3.310363852349298e-07,0.29715514183044434,2.404302851304263,4.175875663757324,6.373160144988586e-05,hchecks|saved,0.09879817714685736,0.3266312472757498,0.9802538751393102,3.850490846192403e-05,3.851361876837251e-07,3.8513382970146915e-09
resolution_max_b1_gaussian_conv,4,centre_frozen,train_probe,1.015707015991211,True,0.0,6.426239457523928e-07,0.295181006193161,1.9191786448429107,4.128319025039673,0.0001322879817003869,hchecks|centre_frozen,0.10167882678570729,0.3353998388388646,0.96290355782029,4.949943012492e-05,4.95137506929576e-07,4.951582225868526e-09
