method,seed,probe,policy,direction,dHd,g_dot_d,L0,grad_norm
resolution_max_b1_gaussian_conv,3,train_probe,saved,0,140.0985654070436,-0.14878107427917073,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,1,47.584632867128796,-0.054182608505778614,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,2,47.842659310705194,-0.055296001386907295,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,3,79.61662071136587,-0.06951591968412096,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,4,59.98701230139398,0.0754760011252804,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,5,114.32281566112832,0.28946317512158115,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,6,72.88228952229346,0.02353529000714233,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,7,59.550738017313506,0.34783375372053404,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,8,55.35040124558655,0.02509390543579615,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,9,73.0880637031747,-0.09316343299501252,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,10,68.69961526853163,-0.009110693590582628,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,11,65.29195259172384,0.1864932397683597,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,12,72.75281034678608,0.3695464024354723,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,13,72.27813368866647,-0.03604207010085419,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,14,66.5644853481473,-0.11326394956987806,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,15,58.21306725716582,-0.017274538091931135,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,16,38.20497410499833,-0.07911967389054636,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,17,58.06191952185636,-0.43107121891284894,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,18,91.95986825517605,-0.15624846776036563,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,saved,19,84.07637044264823,0.04524740217228822,0.30057623982429504,2.0342244521615593
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,0,137.89784608179866,-0.09519121513508644,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,1,48.711777914421,0.05221674141260703,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,2,45.33192408148934,-0.1338869830719739,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,3,78.78375355053501,0.0020129573282269275,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,4,60.40702556489035,0.14720256762224931,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,5,115.57866636374065,0.18210064945355084,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,6,73.08531193962925,-0.17219865415227373,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,7,59.45085417073463,0.261164560794049,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,8,54.54133638546955,0.06564368726238978,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,9,72.28652693514168,-0.11469011737863863,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,10,67.52039781669161,0.1041888465688625,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,11,64.14350961392209,0.12628644461989239,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,12,70.38639399600306,0.2841352457308276,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,13,72.75750986782572,-0.16663489624953182,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,14,67.1845930786472,-0.16863345308619665,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,15,55.54127447303737,-0.09387814562142058,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,16,37.64225450124909,-0.08390158675917611,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,17,58.8888885875884,-0.5032301509224282,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,18,90.71208481094477,-0.10592589448853318,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,19,84.65834535584105,0.2585311721254764,0.30317582190036774,1.9133809565391962
resolution_max_b1_gaussian_conv,3,test_probe,saved,0,153.04313720319115,-0.1669929148383461,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,1,53.34668457578105,-0.6729918572896161,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,2,54.62878749014584,0.04353572762664136,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,3,85.2734603405096,0.06652501222376395,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,4,73.1360847852731,0.20726294678099472,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,5,122.59440995575594,0.6388654363513101,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,6,77.0868350246461,0.45284535147467464,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,7,65.904218811299,0.17033647901052157,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,8,59.96180990824553,0.24267147184007956,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,9,85.03128290144295,-0.6286692192274809,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,10,77.73978340309763,-0.14461176125398606,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,11,72.17002060204597,0.483257690858108,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,12,93.26137103135602,0.28533874573313966,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,13,75.42875209878275,0.1869929309065398,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,14,79.41503832907343,0.5035394328804501,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,15,64.1613089337047,0.14926401122979144,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,16,48.94401972744822,-0.12535218467489953,0.5388301908969879,3.517703163290466
resolution_max_b1_gaussian_conv,3,test_probe,saved,17,69.79329726006503,-0.12960243726563536,0.5388301908969879,3.517703163290466
