seed,split,barrier_plain_to_resolution,barrier_resolution_to_combined,resolution_to_combined_smaller
0,train_probe,0.9195955352783203,0.9901118927001953,False
0,test_probe,0.5268186035156249,0.8098944702148438,False
1,train_probe,0.8685969543457033,0.6028201599121095,True
1,test_probe,0.5933444824218751,0.4355127563476563,True
2,train_probe,0.8081568145751953,0.7950643157958985,True
2,test_probe,0.46493646240234376,0.5922003479003906,False
3,train_probe,0.8545150451660157,0.8897539215087891,False
3,test_probe,0.45641625976562494,0.6782144775390624,False
4,train_probe,0.8442785491943359,0.8293151702880859,True
4,test_probe,0.5421363220214843,0.6721886291503907,False
