A,B,seed,n_points,train_probe_barrier,train_probe_argmax_alpha,train_probe_n_interior_above_both_ends,test_probe_barrier,test_probe_argmax_alpha,test_probe_n_interior_above_both_ends
plain,resolution_max_b1,0,51,0.9195955352783203,0.52,45,0.5268186035156249,0.52,37
plain,gaussian_postrelu,0,51,1.5586876373291014,0.46,47,1.0978166503906248,0.46,39
plain,resolution_max_b1_gaussian_conv,0,51,1.1278155517578123,0.48,45,0.7528411254882813,0.5,38
resolution_max_b1,resolution_max_b1_gaussian_conv,0,51,0.9901118927001953,0.5,48,0.8098944702148438,0.5,45
plain,resolution_max_b1,1,51,0.8685969543457033,0.48,45,0.5933444824218751,0.48,39
plain,gaussian_postrelu,1,51,1.3527325286865235,0.5,46,0.9699630737304689,0.48,40
plain,resolution_max_b1_gaussian_conv,1,51,1.221931365966797,0.48,46,0.8358394165039064,0.46,41
resolution_max_b1,resolution_max_b1_gaussian_conv,1,51,0.6028201599121095,0.5,48,0.4355127563476563,0.5,48
plain,resolution_max_b1,2,51,0.8081568145751953,0.5,44,0.46493646240234376,0.5,39
plain,gaussian_postrelu,2,51,1.2307425384521484,0.48,46,0.8135241699218752,0.48,41
plain,resolution_max_b1_gaussian_conv,2,51,0.9147537078857422,0.5,45,0.5556488647460938,0.48,39
resolution_max_b1,resolution_max_b1_gaussian_conv,2,51,0.7950643157958985,0.5,49,0.5922003479003906,0.5,47
plain,resolution_max_b1,3,51,0.8545150451660157,0.5,45,0.45641625976562494,0.5,36
plain,gaussian_postrelu,3,51,1.3109885253906248,0.5,46,0.8268226318359375,0.48,39
plain,resolution_max_b1_gaussian_conv,3,51,0.9728090972900392,0.48,45,0.5303580932617187,0.48,34
resolution_max_b1,resolution_max_b1_gaussian_conv,3,51,0.8897539215087891,0.48,48,0.6782144775390624,0.48,46
plain,resolution_max_b1,4,51,0.8442785491943359,0.48,44,0.5421363220214843,0.48,36
plain,gaussian_postrelu,4,51,1.2660766296386718,0.46,46,0.8758215026855469,0.48,42
plain,resolution_max_b1_gaussian_conv,4,51,0.9115422515869142,0.5,44,0.5799156188964845,0.5,34
resolution_max_b1,resolution_max_b1_gaussian_conv,4,51,0.8293151702880859,0.48,48,0.6721886291503907,0.48,43
