method,seed,a,b,train_ce,test_ce,source,policy
gaussian_postrelu,0,-0.5,-0.5,4.235244873046875,4.112440673828125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.475,4.142726806640625,4.00549072265625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.45,4.046219604492188,3.901080322265625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.425,3.950439453125,3.8014910888671873,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.4,3.858342895507812,3.703338623046875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.375,3.7669720458984375,3.609058349609375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.35,3.6885133056640624,3.5248828125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.325,3.618927734375,3.457049560546875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.3,3.5551668701171875,3.3993404541015626,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.275,3.5023115234375,3.352961181640625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.25,3.4633248291015626,3.317092529296875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.225,3.433005859375,3.2849378662109374,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.2,3.4055364990234374,3.2581749267578126,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.175,3.3903031005859376,3.2390634765625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.15,3.3914068603515624,3.2253375244140625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.125,3.397189453125,3.2190230712890626,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.1,3.4098848876953123,3.221097900390625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.075,3.4348663330078124,3.235455810546875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.05,3.4627003173828124,3.2571192626953125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,-0.025,3.4852960205078123,3.282321166992188,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.0,3.5081240234375,3.3081318359375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.025,3.5286751708984374,3.335486083984375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.05,3.544418334960937,3.3613858642578127,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
