experiment,config_id,cell_id,seed,group,acc_from_record,ce_from_record,valid,wall_seconds,index_final_acc,index_valid,record
exp0_input_gaussian,level_0,level_0__seed0,0,results/exp0_gaussian,0.8464,0.6752853454589843,True,,0.8464,True,8d353f2086:results/exp0_gaussian/level_0__seed_0/summary.json
exp0_input_gaussian,level_0,level_0__seed1,1,results/exp0_gaussian,0.8422,0.6533213714599609,True,,0.8422,True,8d353f2086:results/exp0_gaussian/level_0__seed_1/summary.json
exp0_input_gaussian,level_0,level_0__seed2,2,results/exp0_gaussian,0.8346,0.6979821899414063,True,,0.8346,True,8d353f2086:results/exp0_gaussian/level_0__seed_2/summary.json
exp0_input_gaussian,level_0p5,level_0p5__seed0,0,results/exp0_gaussian,0.8258,0.7433518249511719,True,,0.8258,True,8d353f2086:results/exp0_gaussian/level_0p5__seed_0/summary.json
exp0_input_gaussian,level_0p5,level_0p5__seed1,1,results/exp0_gaussian,0.8248,0.7512602172851562,True,,0.8248,True,8d353f2086:results/exp0_gaussian/level_0p5__seed_1/summary.json
exp0_input_gaussian,level_0p5,level_0p5__seed2,2,results/exp0_gaussian,0.8258,0.7461347717285156,True,,0.8258,True,8d353f2086:results/exp0_gaussian/level_0p5__seed_2/summary.json
exp0_input_gaussian,level_1,level_1__seed0,0,results/exp0_gaussian,0.736,1.1976968139648438,True,,0.736,True,8d353f2086:results/exp0_gaussian/level_1__seed_0/summary.json
exp0_input_gaussian,level_1,level_1__seed1,1,results/exp0_gaussian,0.6886,1.5167744262695313,True,,0.6886,True,8d353f2086:results/exp0_gaussian/level_1__seed_1/summary.json
exp0_input_gaussian,level_1,level_1__seed2,2,results/exp0_gaussian,0.7152,1.2853700073242187,True,,0.7152,True,8d353f2086:results/exp0_gaussian/level_1__seed_2/summary.json
exp0_input_gaussian,level_2,level_2__seed0,0,results/exp0_gaussian,0.449,2.573298193359375,True,,0.449,True,8d353f2086:results/exp0_gaussian/level_2__seed_0/summary.json
exp0_input_gaussian,level_2,level_2__seed1,1,results/exp0_gaussian,0.4998,2.296445166015625,True,,0.4998,True,8d353f2086:results/exp0_gaussian/level_2__seed_1/summary.json
exp0_input_gaussian,level_2,level_2__seed2,2,results/exp0_gaussian,0.5008,2.2278421142578124,True,,0.5008,True,8d353f2086:results/exp0_gaussian/level_2__seed_2/summary.json
exp0_input_gaussian,level_3,level_3__seed0,0,results/exp0_gaussian,0.3884,2.5276265380859373,True,,0.3884,True,8d353f2086:results/exp0_gaussian/level_3__seed_0/summary.json
exp0_input_gaussian,level_3,level_3__seed1,1,results/exp0_gaussian,0.4072,2.6521902099609376,True,,0.4072,True,8d353f2086:results/exp0_gaussian/level_3__seed_1/summary.json
exp0_input_gaussian,level_3,level_3__seed2,2,results/exp0_gaussian,0.37,2.738123876953125,True,,0.37,True,8d353f2086:results/exp0_gaussian/level_3__seed_2/summary.json
exp1_input_warmstart,arm_P,arm_P__seed0,0,results/exp1_gaussian_warmstart,0.826,0.7400187194824219,True,,0.826,True,8d353f2086:results/exp1_gaussian_warmstart/arm_P__seed_0/summary.json
exp1_input_warmstart,arm_P,arm_P__seed1,1,results/exp1_gaussian_warmstart,0.8352,0.6833358520507813,True,,0.8352,True,8d353f2086:results/exp1_gaussian_warmstart/arm_P__seed_1/summary.json
exp1_input_warmstart,arm_P,arm_P__seed2,2,results/exp1_gaussian_warmstart,0.8346,0.7114352844238281,True,,0.8346,True,8d353f2086:results/exp1_gaussian_warmstart/arm_P__seed_2/summary.json
exp1_input_warmstart,arm_W,arm_W__seed0,0,results/exp1_gaussian_warmstart,0.8286,0.7005807373046875,True,,0.8286,True,8d353f2086:results/exp1_gaussian_warmstart/arm_W__seed_0/summary.json
exp1_input_warmstart,arm_W,arm_W__seed1,1,results/exp1_gaussian_warmstart,0.8306,0.6931599060058594,True,,0.8306,True,8d353f2086:results/exp1_gaussian_warmstart/arm_W__seed_1/summary.json
exp1_input_warmstart,arm_W,arm_W__seed2,2,results/exp1_gaussian_warmstart,0.8288,0.7400725341796875,True,,0.8288,True,8d353f2086:results/exp1_gaussian_warmstart/arm_W__seed_2/summary.json
exp1_input_warmstart,prefix_sigma_warm,prefix_sigma_warm__seed0,0,results/exp1_gaussian_warmstart,0.5768,1.2319680419921875,True,,0.5768,True,8d353f2086:results/exp1_gaussian_warmstart/prefix_sigma_warm__seed_0/summary.json
exp1_input_warmstart,prefix_sigma_warm,prefix_sigma_warm__seed1,1,results/exp1_gaussian_warmstart,0.5348,1.2444580444335938,True,,0.5348,True,8d353f2086:results/exp1_gaussian_warmstart/prefix_sigma_warm__seed_1/summary.json
exp1_input_warmstart,prefix_sigma_warm,prefix_sigma_warm__seed2,2,results/exp1_gaussian_warmstart,0.5554,1.2146522338867187,True,,0.5554,True,8d353f2086:results/exp1_gaussian_warmstart/prefix_sigma_warm__seed_2/summary.json
pilot_internal_gaussian,gaussian,gaussian__seed0,0,results/kaggle_outputs/pilot-continuation-20260908-122558,0.2026,2.0905648254394533,True,32.546860350999964,0.2026,True,8d353f2086:results/kaggle_outputs/pilot-continuation-20260908-122558/pilot_continuation_seed0_20260908-122612/gaussian/summary.json
pilot_internal_gaussian,plain,plain__seed0,0,results/kaggle_outputs/pilot-continuation-20260908-122558,0.141,2.297201989746094,True,24.28642441699992,0.141,True,8d353f2086:results/kaggle_outputs/pilot-continuation-20260908-122558/pilot_continuation_seed0_20260908-122612/plain/summary.json
pilot_internal_gaussian,db2,db2__seed0,0,results/kaggle_outputs/pilot-manual,0.2334,1.9896815002441406,True,648.095081294,0.2334,True,8d353f2086:results/kaggle_outputs/pilot-manual/pilot_continuation_seed0_20260908-120836/db2/summary.json
pilot_internal_gaussian,gaussian,gaussian__seed0,0,results/kaggle_outputs/pilot-manual,0.2062,2.077787353515625,True,31.23686779899998,0.2062,True,8d353f2086:results/kaggle_outputs/pilot-manual/pilot_continuation_seed0_20260908-120836/gaussian/summary.json
pilot_internal_gaussian,plain,plain__seed0,0,results/kaggle_outputs/pilot-manual,0.1412,2.2970833740234373,True,23.051964886000007,0.1412,True,8d353f2086:results/kaggle_outputs/pilot-manual/pilot_continuation_seed0_20260908-120836/plain/summary.json
gn_lr_audit,plain_lr0p005,plain_lr0p005__seed0,0,results/kaggle_outputs/lr-diagnostic-20260908-132240,0.4178,1.6479502685546874,True,25.476598978,0.4178,True,8d353f2086:results/kaggle_outputs/lr-diagnostic-20260908-132240/lr_diagnostic_20260908-132254/plain_lr0p005/summary.json
gn_lr_audit,plain_lr0p02,plain_lr0p02__seed0,0,results/kaggle_outputs/lr-diagnostic-20260908-132240,0.3474,1.820477587890625,True,26.250710773999998,0.3474,True,8d353f2086:results/kaggle_outputs/lr-diagnostic-20260908-132240/lr_diagnostic_20260908-132254/plain_lr0p02/summary.json
gn_lr_audit,gaussian_seed0_lr0p02,gaussian_seed0_lr0p02__seed0,0,results/kaggle_outputs/lr-control-002-20260908-140604,0.4794,1.43511298828125,True,66.43294875599997,0.4794,True,8d353f2086:results/kaggle_outputs/lr-control-002-20260908-140604/lr_control_002_20260908-140616/gaussian_seed0_lr0p02/summary.json
gn_lr_audit,plain_seed0_lr0p02,plain_seed0_lr0p02__seed0,0,results/kaggle_outputs/lr-control-002-20260908-140604,0.5072,1.3696902709960936,True,48.73158394400002,0.5072,True,8d353f2086:results/kaggle_outputs/lr-control-002-20260908-140604/lr_control_002_20260908-140616/plain_seed0_lr0p02/summary.json
gn_lr_audit,plain,plain__seed0,0,results/kaggle_outputs/plain-study-20260908-132611,0.4986,1.3854298461914063,True,47.928659436000004,0.4986,True,8d353f2086:results/kaggle_outputs/plain-study-20260908-132611/plain_study_20260908-132624/plain_seed0/summary.json
gn_lr_audit,plain,plain__seed1,1,results/kaggle_outputs/plain-study-20260908-132611,0.509,1.3574946533203125,True,48.18086461499999,0.509,True,8d353f2086:results/kaggle_outputs/plain-study-20260908-132611/plain_study_20260908-132624/plain_seed1/summary.json
