cell,method,recipe_variant,training_seed,train_n,train_ce,train_error,test_n,test_ce,test_error,jac_images,jac_frobenius,jac_spectral,jac_participation,freq_mean_radius,hess_images,hess_parameters,hutchinson_draws,trace_deflated,trace_raw,top5_sum,top_eig1,top5_converged,record,logit_displacement_eps0.05,logit_displacement_eps0.1,logit_displacement_eps0.25,logit_displacement_eps0.5,logit_displacement_eps1,logit_displacement_eps2,logit_displacement_eps3,logit_displacement_eps6,logit_displacement_eps12,linearity_ratio_eps0.05,linearity_ratio_eps0.1,linearity_ratio_eps0.25,linearity_ratio_eps0.5,linearity_ratio_eps1,linearity_ratio_eps2,linearity_ratio_eps3,linearity_ratio_eps6,linearity_ratio_eps12
gaussian_postrelu__lr_high__seed0,gaussian_postrelu,lr_high,0,50000,0.12433468505859376,0.028959999999999986,10000,0.5631901550292969,0.18069999999999997,1000,81.6010356923397,42.442002975981204,6.132291619874771,11.390770275615411,5000,269722,64,7245.01862610872,7138.215373258579,3172.808356364877,817.2365999247778,5,4179584:results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,1.8886344134807587,3.3846797347068787,6.346736192703247,8.72873830795288,10.280107736587524,10.538273334503174,10.460300207138062,11.335508346557617,14.918107748031616,0.8899836393440599,0.7974835062855864,0.598156142281503,0.41132546514794094,0.24221542377265387,0.12414910460831688,0.08215368010991186,0.04451371892514362,0.02929116343478982
gaussian_postrelu__reference__seed2,gaussian_postrelu,reference,2,50000,0.2623527328491211,0.08052000000000004,10000,0.5881584838867188,0.20089999999999997,1000,71.59683724789457,37.60900367382709,5.964351503313583,10.744040433980782,5000,269722,64,10196.473025498184,10356.798542185683,4807.534882772153,1297.5860006018167,5,4179584:results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,1.719057559967041,3.1542884707450867,6.242247581481934,9.078551292419434,11.23882532119751,11.612029075622559,11.077532291412354,10.751509666442871,12.837091445922852,0.9141734117053305,0.8387056722112061,0.6639099121709567,0.48278605682592923,0.2988333702926262,0.15437831292116386,0.09818156300624935,0.04764599172265531,0.028444189316241795
plain__lr_low__seed0,plain,lr_low,0,50000,0.5998631616210938,0.20945999999999998,10000,0.8158010131835938,0.28669999999999995,1000,83.74404048805364,50.26003685956,4.308237815535861,12.576347929602427,5000,269722,64,12308.06532672498,11400.5706646617,7888.559598616587,2352.8498687109013,5,4179584:results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,2.217142105102539,3.9331360459327698,7.1663103103637695,9.421064615249634,10.359266757965088,10.17046308517456,10.236058950424194,12.348538637161255,22.331146240234375,0.8822683959814146,0.7825573341545699,0.5703386434346126,0.3748928653424831,0.2061133935677694,0.10117842843603117,0.06788732884688274,0.04094883134708124,0.03702601449642382
plain__wd_high__seed0,plain,wd_high,0,50000,0.14649345794677734,0.030340000000000034,10000,0.6970271423339843,0.2277,1000,132.23349278197696,75.3865676131351,5.005891235225314,12.586087150718457,5000,269722,64,22647.916662436735,20651.18708130019,12242.09412285438,3385.896129050994,5,4179584:results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,3.1181328892707825,5.231667637825012,8.483091115951538,10.148488759994507,10.448085308074951,10.185956001281738,10.162089109420776,11.235164880752563,16.29376482963562,0.8272383232175408,0.6939787555619475,0.45011154557319166,0.26923864771437794,0.13859346086284094,0.06755816270581187,0.044933243994562624,0.024839006993059656,0.01801134842444249
resolution_max_b1__reference__seed0,resolution_max_b1,reference,0,50000,0.3092252258300781,0.09963999999999995,10000,0.580770166015625,0.19789999999999996,1000,96.63043068571537,51.80498948070107,5.6818022140801965,12.591795059810874,5000,269722,64,9934.692677900768,9865.097519153858,5046.488190447997,1349.873147814144,5,4179584:results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,2.246166169643402,3.924191415309906,6.938193202018738,8.990829467773438,10.045677185058594,10.41656756401062,10.665935277938843,11.729123830795288,16.18068218231201,0.867162098538855,0.7574929470397415,0.5357162135591921,0.347102839239946,0.19391331386720798,0.10053633509462546,0.06862875168881966,0.03773485896619007,0.026028191403487316
resolution_max_b1__wd_low__seed0,resolution_max_b1,wd_low,0,50000,0.3317924725341797,0.10792000000000002,10000,0.5904032653808594,0.1997,1000,102.62076233070769,54.951498444151206,5.706334144451849,12.748075990499466,5000,269722,64,8700.988775521524,8295.735757985085,4438.320246893457,1290.4326974739301,5,4179584:results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,2.3667004704475403,4.122102379798889,7.219862699508667,9.299242973327637,10.40863847732544,10.92363953590393,11.332879304885864,12.750693321228027,17.70016050338745,0.86137795599983,0.7501346635685104,0.525544373050822,0.3384527533049431,0.18941500727053037,0.09939346373789917,0.06874473930499395,0.038672567877249445,0.026842095612395107
resolution_max_b1_gaussian_conv__reference__seed1,resolution_max_b1_gaussian_conv,reference,1,50000,0.31146599975585937,0.10148000000000001,10000,0.5586176025390625,0.18700000000000006,1000,77.6716903454281,41.01147570963901,5.904200337544427,11.547922039422792,5000,269722,64,8700.864913048368,8640.978697242484,4291.311374390178,1162.5910600038258,5,4179584:results/kaggle_outputs/cc-probe-s0-20260915-115443/probe_shard0.json,1.8570422530174255,3.377329409122467,6.4903929233551025,9.056257486343384,10.610871076583862,10.790238857269287,10.704627990722656,11.623215198516846,15.576103925704956,0.905620790710031,0.8235083841005717,0.6330318830082627,0.4416450434732771,0.25872931644081193,0.13155145810484986,0.08700514352382209,0.04723562123932147,0.031649889159446644
gaussian_postrelu__lr_low__seed0,gaussian_postrelu,lr_low,0,50000,0.5069876861572266,0.17168000000000005,10000,0.7056800354003906,0.24480000000000002,1000,59.96384546604596,32.9347805393634,5.426200388225776,11.426821948464323,5000,269722,64,11540.78780030318,10932.499936975248,5626.150478707222,1512.2892211324577,5,4179584:results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,1.5065613687038422,2.7723673582077026,5.5409159660339355,8.185555458068848,10.380938291549683,11.062856912612915,10.639067649841309,10.127801418304443,12.66200041770935,0.9148756081147779,0.8417749603323423,0.6729561728108647,0.4970766663093767,0.31519682601626764,0.16795097358232997,0.1076781391951848,0.051251803576868996,0.0320380668762815
gaussian_postrelu__wd_high__seed0,gaussian_postrelu,wd_high,0,50000,0.1972993814086914,0.05186000000000002,10000,0.534988198852539,0.18089999999999995,1000,63.22293976523918,34.59719931320176,5.550024000822974,11.096055576272498,5000,269722,64,16493.03848438237,16238.401979227025,7857.821759561539,1965.4613366620288,4,4179584:results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,1.5601797997951508,2.8204585313796997,5.387206673622131,7.55141544342041,9.029144048690796,9.227168560028076,8.936997413635254,8.947795867919922,10.296078205108643,0.9019110394868349,0.8152274135968733,0.6228488756968782,0.4365333375721488,0.26097904535426986,0.13335138021572646,0.08610521074004038,0.04310462525649959,0.024799883635811665
plain__reference__seed0,plain,reference,0,50000,0.2278350390625,0.06540000000000001,10000,0.7692679504394532,0.25270000000000004,1000,142.4697841753743,79.10737309144702,5.154318844773537,12.427227989129394,5000,269722,64,14394.737326826951,13260.267148151544,8092.081404104076,2190.9823226949106,5,4179584:results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,3.32845538854599,5.677656650543213,9.499918460845947,11.686015129089355,12.376965284347534,12.327831983566284,12.463108539581299,14.099869728088379,21.204759120941162,0.8415032021600166,0.7177152304096763,0.48035565280946313,0.29544692668736416,0.15645779654495587,0.07791835009687076,0.052515579153303106,0.02970618535516516,0.022337529246935425
plain__wd_low__seed0,plain,wd_low,0,50000,0.25604540588378905,0.07562000000000002,10000,0.7928233764648438,0.2642,1000,147.58822908037806,81.41332194901685,5.272866865779904,12.510809678476456,5000,269722,64,12535.704784975074,11677.060120904947,6978.271615190515,1899.707706245317,5,4179584:results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,3.4525891542434692,5.927121520042419,9.996681690216064,12.247208833694458,12.842051982879639,12.551521062850952,12.551647901535034,14.178792715072632,22.307581901550293,0.8481631928508141,0.7280284575237131,0.491157046581455,0.30086498230262565,0.15773895076928157,0.07708517944219892,0.05139063894807128,0.0290263566527678,0.02283367284320688
resolution_max_b1__reference__seed1,resolution_max_b1,reference,1,50000,0.29465602783203126,0.09426000000000001,10000,0.578819287109375,0.19779999999999998,1000,103.73352769231256,55.787130445276276,5.701094872653419,12.490093716707776,5000,269722,64,10313.489045832926,9767.244234931068,5200.2832507647345,1351.4985126898173,5,4179584:results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,2.466131031513214,4.375785708427429,7.974141597747803,10.487260103225708,11.581705808639526,11.324872255325317,10.978293418884277,11.34587836265564,16.702791690826416,0.8841218438121086,0.7843718924958515,0.5717549215455663,0.37597417252041887,0.20760533327664996,0.10150075980726699,0.06559633217230572,0.03389634333252196,0.02495018647596931
resolution_max_b1_gaussian_conv__lr_high__seed0,resolution_max_b1_gaussian_conv,lr_high,0,50000,0.1582950961303711,0.04349999999999998,10000,0.4865122589111328,0.1612,1000,100.10778567244404,51.515737920438426,6.261050838769107,12.044895163612189,5000,269722,64,6525.2345892743515,6436.163229620894,3130.353470114806,804.6675429514713,5,4179584:results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,2.236684560775757,3.895821690559387,6.836363077163696,8.910130500793457,10.181870460510254,10.569761991500854,10.679283857345581,11.745504379272461,15.167553186416626,0.868350003732887,0.7562391315399858,0.530817443610872,0.34591877591094117,0.19764582381087634,0.10258769861576021,0.06910046190699241,0.03799972867001139,0.02453546851035696
resolution_max_b1_gaussian_conv__reference__seed2,resolution_max_b1_gaussian_conv,reference,2,50000,0.30886663024902344,0.09997999999999996,10000,0.5443607971191406,0.1855,1000,77.07090974052934,41.20349148349582,5.774752277541471,11.245030420550608,5000,269722,64,9021.957220913882,9036.814099827412,4562.008379926364,1280.7108942339469,4,4179584:results/kaggle_outputs/cc-probe-s1-20260915-115455/probe_shard1.json,1.8565368950366974,3.356156647205353,6.4204312562942505,8.97231912612915,10.586446523666382,10.600693941116333,10.194734573364258,10.288800477981567,12.944732189178467,0.9011551342828987,0.8145321006472647,0.6232900198630957,0.4355125647409293,0.256930811989727,0.12863829689484535,0.08247468200963656,0.04161783426412936,0.026180492079503178
gaussian_postrelu__reference__seed0,gaussian_postrelu,reference,0,50000,0.27563772521972657,0.08516000000000001,10000,0.5970403564453125,0.2005,1000,73.38404766760763,38.93965268934504,5.848466095988348,11.229580286930496,5000,269722,64,10649.65693033659,10072.435023671704,5198.482481020452,1252.1269534279058,4,4179584:results/kaggle_outputs/cc-probe-s2-20260915-115507/probe_shard2.json,1.7619645297527313,3.2035767436027527,6.234526634216309,8.940763711929321,10.940986156463623,11.346003770828247,10.92034125328064,10.652575016021729,12.219196796417236,0.904971877283771,0.8227029576150635,0.6404296087542914,0.45921127151582225,0.2809728747133222,0.145687018080837,0.09348089928109661,0.045594376084991665,0.026149858290340174
gaussian_postrelu__wd_low__seed0,gaussian_postrelu,wd_low,0,50000,0.3097587384033203,0.09870000000000001,10000,0.6073628601074219,0.2046,1000,73.54647038372394,38.922985226182284,5.920780621982972,11.299193028732052,5000,269722,64,9243.114260377244,8574.623088236776,4451.460800706459,1120.6475465805813,5,4179584:results/kaggle_outputs/cc-probe-s2-20260915-115507/probe_shard2.json,1.7649470269680023,3.2211766242980957,6.3328012228012085,9.184317350387573,11.35908055305481,11.773816108703613,11.230043411254883,10.980731010437012,13.353586196899414,0.906891913203398,0.827576971699311,0.6508032398852419,0.47192255665989197,0.29183477287384185,0.1512450296436119,0.09617319385959106,0.04701905119656056,0.028589761121227478
plain__reference__seed1,plain,reference,1,50000,0.21322293853759766,0.05879999999999996,10000,0.7440108459472656,0.2349,1000,145.2502404707389,80.7190239556664,5.32281326376063,12.029982956732935,5000,269722,64,14701.080228814482,14994.957418007358,8207.238361935775,2171.580171717221,5,4179584:results/kaggle_outputs/cc-probe-s2-20260915-115507/probe_shard2.json,3.4530327320098877,5.962764501571655,10.290233850479126,13.065435886383057,14.11588191986084,13.587845087051392,13.011678457260132,12.918662786483765,17.769208431243896,0.8555685048685447,0.7387062193475735,0.5099285569226342,0.3237263100098691,0.17487676669150207,0.08416755072827871,0.05373239095163234,0.026674138993510642,0.018344713509960326
resolution_max_b1__lr_high__seed0,resolution_max_b1,lr_high,0,50000,0.09241971984863281,0.016680000000000028,10000,0.54591806640625,0.17049999999999998,1000,135.5660221517128,69.1027277715932,6.286574772410685,12.80394273391967,5000,269722,64,7355.761062852306,7116.518891446289,3743.0325079272675,1054.6142226784198,5,4179584:results/kaggle_outputs/cc-probe-s2-20260915-115507/probe_shard2.json,2.886535406112671,4.875533103942871,8.07976484298706,9.949401378631592,10.764641761779785,11.05767822265625,11.357248067855835,12.364974021911621,15.278972864151001,0.8354331295440612,0.7055485740097092,0.46769585534703,0.2879597289275634,0.1557773782441758,0.08000898502303298,0.05478436927215186,0.029822686746370442,0.01842543383942447
resolution_max_b1__reference__seed2,resolution_max_b1,reference,2,50000,0.29615408599853515,0.09394000000000002,10000,0.5721982604980469,0.19779999999999998,1000,99.55892657337995,53.160231663327785,5.721110250171183,12.816555820896033,5000,269722,64,10076.5320662779,9389.55915090573,5155.707542497349,1403.48888918346,5,4179584:results/kaggle_outputs/cc-probe-s2-20260915-115507/probe_shard2.json,2.309214234352112,4.0368510484695435,7.081399440765381,9.07260775566101,10.031440019607544,10.29238772392273,10.368424654006958,10.822597742080688,13.973053693771362,0.8687750832151121,0.7593742393817174,0.5328343552460802,0.34133063276019115,0.1887019620820739,0.09680533174785674,0.06501366610333731,0.033930745482268036,0.021903989217392394
resolution_max_b1_gaussian_conv__lr_low__seed0,resolution_max_b1_gaussian_conv,lr_low,0,50000,0.5327144055175781,0.18216,10000,0.6681428833007812,0.23240000000000005,1000,63.82675541121968,35.817319099566674,5.172327234329858,11.710106076625667,5000,269722,64,9472.707762826558,8964.66114399951,5367.7398868964865,1616.2731919656649,5,4179584:results/kaggle_outputs/cc-probe-s2-20260915-115507/probe_shard2.json,1.615554392337799,2.9310242533683777,5.631587624549866,7.954810738563538,9.742284536361694,10.525943994522095,10.760768175125122,12.178242921829224,17.858256340026855,0.9021079371389046,0.8183259738733035,0.6289234109225107,0.44418794809574547,0.2719992668708574,0.14693930560885335,0.10014492472400321,0.056668315905942825,0.041549397491158845
resolution_max_b1_gaussian_conv__wd_high__seed0,resolution_max_b1_gaussian_conv,wd_high,0,50000,0.23258842315673828,0.06681999999999999,10000,0.4886528839111328,0.16820000000000002,1000,71.98579943074525,39.15142914062466,5.6160928996691215,11.606617254379238,5000,269722,64,14604.221653818377,14266.152968923594,7628.708905733236,2124.022068295426,4,4179584:results/kaggle_outputs/cc-probe-s2-20260915-115507/probe_shard2.json,1.7419054806232452,3.104535758495331,5.681194186210632,7.524155020713806,8.533741235733032,8.724994659423828,8.742717742919922,9.906875133514404,14.328338384628296,0.8898298319413294,0.7929559218245686,0.5804328793010175,0.384361704584956,0.2179675537534382,0.1114262601766754,0.07443506690835137,0.04217332270694704,0.030497691270229173
gaussian_postrelu__reference__seed1,gaussian_postrelu,reference,1,50000,0.2711308480834961,0.08501999999999998,10000,0.5991276245117187,0.20020000000000004,1000,79.30152833471772,41.828081755275804,5.993199180362201,11.047735064525643,5000,269722,64,10236.157432623764,10024.425661623789,4817.968745416276,1343.954987642785,5,4179584:results/kaggle_outputs/cc-probe-s3-20260915-115519/probe_shard3.json,1.8895276188850403,3.433326780796051,6.648051977157593,9.45536208152771,11.467533111572266,11.775285482406616,11.408818483352661,11.01470947265625,12.721900463104248,0.9034732359662718,0.8208186071939584,0.635750117928281,0.4521059386298583,0.2741587142022323,0.14075813410833013,0.09091833368550829,0.04388881428629766,0.025345612981442438
plain__lr_high__seed0,plain,lr_high,0,50000,0.024349512329101562,0.0009200000000000319,10000,0.7899184020996094,0.21789999999999998,1000,189.28582524431474,98.01082588545405,6.054821918222113,12.216552017219065,5000,269722,64,4744.181323846183,4759.222966269981,2420.464474431952,841.0265568617309,5,4179584:results/kaggle_outputs/cc-probe-s3-20260915-115519/probe_shard3.json,4.045834839344025,6.796566486358643,11.112938165664673,13.4440336227417,14.129363536834717,13.777593612670898,13.637336015701294,14.515619039535522,20.37404489517212,0.8255893780698105,0.6934505882341853,0.45353921121539953,0.27433772751703644,0.14416125371035854,0.07028608058446967,0.046380373094836634,0.024683700173591075,0.017322954472212597
plain__reference__seed2,plain,reference,2,50000,0.18521403228759767,0.04735999999999996,10000,0.7507784790039063,0.23440000000000005,1000,141.9803396732969,76.26012519382162,5.525581129573275,11.767981382269456,5000,269722,64,15095.763124974335,15669.003890291811,8704.284722165608,2404.478665826048,5,4179584:results/kaggle_outputs/cc-probe-s3-20260915-115519/probe_shard3.json,3.29138046503067,5.728490710258484,10.062703609466553,12.943013191223145,14.132052183151245,13.534960508346558,12.885035991668701,12.735345125198364,16.984500885009766,0.8631982852546716,0.7511777217384623,0.5278094460973586,0.3394437960422271,0.18531378157632744,0.08874205539229249,0.0563205474198575,0.02783312400119634,0.018559831499797792
resolution_max_b1__lr_low__seed0,resolution_max_b1,lr_low,0,50000,0.6062364221191406,0.21075999999999995,10000,0.740841796875,0.2592,1000,69.88010984396098,41.384995551453805,4.67502523670412,12.627662803870823,5000,269722,64,9863.427402697545,9744.03772375184,5712.85446665018,1717.5888536595185,5,4179584:results/kaggle_outputs/cc-probe-s3-20260915-115519/probe_shard3.json,1.8310499489307404,3.261981785297394,6.009863615036011,8.051550149917603,9.217705488204956,9.665510654449463,10.061895608901978,11.990631341934204,17.584020137786865,0.884885898636477,0.7882039714712025,0.5808736751042025,0.3891047971677146,0.22273061445046233,0.1167755429915701,0.08104302436851428,0.0482889639194085,0.035407398066779866
resolution_max_b1__wd_high__seed0,resolution_max_b1,wd_high,0,50000,0.2133996810913086,0.058699999999999974,10000,0.5374179138183593,0.18059999999999998,1000,91.19823420225185,49.870559763087485,5.49852914806927,12.614051890145664,5000,269722,64,17583.571475917037,17113.618535362046,9126.445414962298,2434.40004446335,5,4179584:results/kaggle_outputs/cc-probe-s3-20260915-115519/probe_shard3.json,2.13406503200531,3.6771554946899414,6.278247594833374,7.859228491783142,8.554898500442505,8.855869054794312,9.22645354270935,10.774933099746704,15.307321310043335,0.8558416196422456,0.7373399280373926,0.5035634349931899,0.31518509233178005,0.17154205890374935,0.08878854675849386,0.06166934016475229,0.03600966565890293,0.025578419717567354
resolution_max_b1_gaussian_conv__reference__seed0,resolution_max_b1_gaussian_conv,reference,0,50000,0.3131214483642578,0.10162000000000004,10000,0.552578857421875,0.18700000000000006,1000,79.6994129750449,42.5493600529798,5.810528091728661,11.576847711454345,5000,269722,64,8559.604735288263,8726.426317797219,4459.152507275006,1253.4978728848678,4,4179584:results/kaggle_outputs/cc-probe-s3-20260915-115519/probe_shard3.json,1.906926542520523,3.4349716901779175,6.476103663444519,8.844534158706665,10.250691652297974,10.411251068115234,10.337192058563232,11.462972640991211,17.637741088867188,0.8963361799783297,0.8072910346714746,0.6088085607286108,0.41573053731919846,0.24091294533065724,0.12234321568117354,0.08098196264050354,0.044900685645715296,0.03454368656956254
resolution_max_b1_gaussian_conv__wd_low__seed0,resolution_max_b1_gaussian_conv,wd_low,0,50000,0.3432319836425781,0.11272000000000004,10000,0.5679783874511719,0.19279999999999997,1000,79.28132872612925,42.40201961981099,5.815433065522091,11.588803958300492,5000,269722,64,7534.47719449308,7518.950408619242,3905.12216406608,1065.655697530368,5,4179584:results/kaggle_outputs/cc-probe-s3-20260915-115519/probe_shard3.json,1.9113431572914124,3.46812504529953,6.665522933006287,9.326703548431396,11.063512563705444,11.427105903625488,11.303670406341553,12.240742683410645,17.699032306671143,0.9015340186288665,0.817915060743748,0.628792967200273,0.43991789221633165,0.2609194718295062,0.13474718900283864,0.08886110070301363,0.04811383511589288,0.034784177077267164
