method,seed,policy,train_full_n,train_full_ce,train_full_acc,test_full_n,test_full_ce,test_full_acc,training_log_test_acc,training_log_test_ce,wall_seconds
plain,0,saved,50000,0.22737498168945314,0.93454,10000,0.7731327758789063,0.7453,0.7453,0.7731327758789063,506.91532473100006
plain,1,saved,50000,0.20364039474487305,0.94324,10000,0.7512493560791016,0.7565,0.7565,0.7512493560791016,500.14887245299997
plain,2,saved,50000,0.1843990788269043,0.95142,10000,0.751594076538086,0.7624,0.7624,0.751594076538086,503.9403368609999
plain,3,saved,50000,0.19075177291870118,0.9489,10000,0.7673122619628906,0.7535,0.7535,0.7673122619628906,488.13176418600005
plain,4,saved,50000,0.17981473510742188,0.9522,10000,0.753387744140625,0.765,0.765,0.753387744140625,491.57033390299966
resolution_max_b1,0,saved,50000,0.31381853973388674,0.9005,10000,0.5855790832519531,0.8031,0.8031,0.5855790832519531,490.4998488939998
resolution_max_b1,1,saved,50000,0.2977865965270996,0.90552,10000,0.5798480804443359,0.8002,0.8002,0.5798480804443359,476.3251591139999
resolution_max_b1,2,saved,50000,0.2926352249145508,0.9067,10000,0.5689506484985352,0.8081,0.8081,0.5689506484985352,501.8602713480002
resolution_max_b1,3,saved,50000,0.30474475341796875,0.90396,10000,0.5919819396972656,0.8,0.8,0.5919819396972656,483.06553246500005
resolution_max_b1,4,saved,50000,0.3068421499633789,0.90126,10000,0.5932301376342773,0.7993,0.7993,0.5932301376342773,481.0672632300002
gaussian_postrelu,0,saved,50000,0.2791657766723633,0.91352,10000,0.5883055130004883,0.7983,0.7983,0.5883055130004883,628.822424724
gaussian_postrelu,1,saved,50000,0.2763461392211914,0.91422,10000,0.5938298919677735,0.8008,0.8008,0.5938298919677735,620.689122756
gaussian_postrelu,2,saved,50000,0.2698087467956543,0.9169,10000,0.5934026245117188,0.7987,0.7987,0.5934026245117188,655.8380917259999
gaussian_postrelu,3,saved,50000,0.2645291459655762,0.91832,10000,0.5513179992675781,0.8098,0.8098,0.5513179992675781,622.5181880959999
gaussian_postrelu,4,saved,50000,0.2761806066894531,0.91396,10000,0.6086985260009765,0.7984,0.7984,0.6086985260009765,627.3203671479998
resolution_max_b1_gaussian_conv,0,saved,50000,0.31984349670410156,0.89756,10000,0.5434872039794922,0.8134,0.8134,0.5434872039794922,760.093912689
resolution_max_b1_gaussian_conv,1,saved,50000,0.31365088287353515,0.8984,10000,0.5493452041625977,0.8124,0.8124,0.5493452041625977,745.0839569300001
resolution_max_b1_gaussian_conv,2,saved,50000,0.3123751907348633,0.89904,10000,0.5403551956176758,0.8187,0.8187,0.5403551956176758,768.175565085
resolution_max_b1_gaussian_conv,3,saved,50000,0.30555482513427734,0.9012,10000,0.5436371322631836,0.8153,0.8153,0.5436371322631836,745.523786355
resolution_max_b1_gaussian_conv,4,saved,50000,0.3064778115844727,0.89964,10000,0.5350250259399414,0.819,0.819,0.5350250259399414,721.4319319270003
