method,seed,policy,split,direction,amplitude,S_f32,S_f64,abs_diff
plain,0,saved,train_probe,0,0.005,0.00126082611083983,0.0012609180293579325,9.191851810252949e-08
plain,0,saved,train_probe,0,0.01,0.005564002990722655,0.005564047268659028,4.4277936372960625e-08
plain,0,saved,train_probe,0,0.02,0.022787452697753896,0.022787539984048227,8.72862943313013e-08
plain,0,saved,train_probe,0,0.05,0.1463892364501953,0.14638935820909152,1.2175889621546254e-07
plain,0,saved,train_probe,1,0.005,0.0018463058471679672,0.0018463533375260022,4.749035803497392e-08
plain,0,saved,train_probe,1,0.01,0.0073153419494629,0.00731537787772138,3.5928258479422936e-08
plain,0,saved,train_probe,1,0.02,0.02959946823120113,0.02959948021540046,1.198419932735284e-08
plain,0,saved,train_probe,1,0.05,0.19340144348144533,0.19340166717065502,2.2368920968296457e-07
plain,0,saved,test_probe,0,0.005,0.0006445922851562313,0.0006444969332026762,9.535195355514503e-08
plain,0,saved,test_probe,0,0.01,0.0027619476318359037,0.0027619705439503317,2.2912114427953156e-08
plain,0,saved,test_probe,0,0.02,0.012769195556640578,0.012769218414808048,2.2858167469941293e-08
plain,0,saved,test_probe,0,0.05,0.09104792785644533,0.09104781864033373,1.0921611159897537e-07
plain,0,saved,test_probe,1,0.005,0.0014009246826172106,0.00140075635031911,1.6833229810053751e-07
plain,0,saved,test_probe,1,0.01,0.005864837646484267,0.0058647792627524176,5.8383731849076526e-08
plain,0,saved,test_probe,1,0.02,0.025012939453124994,0.025012987243675733,4.779055073900196e-08
plain,0,saved,test_probe,1,0.05,0.17479524230957022,0.17479543918590656,1.9687633634468682e-07
plain,0,recalibrated,train_probe,0,0.005,0.0006072731018066657,0.0006073261096289639,5.300782229822332e-08
plain,0,recalibrated,train_probe,0,0.01,0.002302127838134771,0.0023022360753155446,1.0823718077368483e-07
plain,0,recalibrated,train_probe,0,0.02,0.009284996032714848,0.009285063417107442,6.738439259357243e-08
plain,0,recalibrated,train_probe,0,0.05,0.052697700500488304,0.05269774976065511,4.926016680673051e-08
plain,0,recalibrated,train_probe,1,0.005,0.0005387077331543144,0.0005387583729892231,5.063983490871671e-08
plain,0,recalibrated,train_probe,1,0.01,0.0020707244873046926,0.002070806536859815,8.204955512236545e-08
plain,0,recalibrated,train_probe,1,0.02,0.007557991027832028,0.00755806676205123,7.573421920148427e-08
plain,0,recalibrated,train_probe,1,0.05,0.041965011596679674,0.04196507850525011,6.690857043412102e-08
plain,0,recalibrated,test_probe,0,0.005,0.00024476623535163444,0.0002445840414860845,1.821938655499622e-07
plain,0,recalibrated,test_probe,0,0.01,0.0008119354248047328,0.0008118156123495535,1.1981245517933559e-07
plain,0,recalibrated,test_probe,0,0.02,0.0033381805419921973,0.003338009971275757,1.7057071644011046e-07
plain,0,recalibrated,test_probe,0,0.05,0.01851388549804689,0.018513758333281838,1.2716476505136853e-07
plain,0,recalibrated,test_probe,1,0.005,9.240722656256306e-05,9.233845327849544e-05,6.877328406762473e-08
plain,0,recalibrated,test_probe,1,0.01,0.0004094696044921742,0.0004093503311349833,1.192733571908633e-07
plain,0,recalibrated,test_probe,1,0.02,0.002250534057617215,0.0022504742957319968,5.976188521827908e-08
plain,0,recalibrated,test_probe,1,0.05,0.016075866699218788,0.01607570691643223,1.59782786557372e-07
plain,0,centre_frozen,train_probe,0,0.005,0.0014376258850097579,0.0014377087897886887,8.29047789308035e-08
plain,0,centre_frozen,train_probe,0,0.01,0.005797817230224628,0.005797895410122378,7.817989775005252e-08
plain,0,centre_frozen,train_probe,0,0.02,0.023336357116699236,0.02333640361935896,4.650265972294676e-08
plain,0,centre_frozen,train_probe,0,0.05,0.14936006164550777,0.14936008089309977,1.924759199245507e-08
plain,0,centre_frozen,train_probe,1,0.005,0.0019733695983886745,0.0019733906894990882,2.1091110413706815e-08
plain,0,centre_frozen,train_probe,1,0.01,0.007642452239990244,0.007642483016241819,3.0776251574993196e-08
