problem,method,seed,probe,policy,coords,loss,grad_norm,n_params,n_blocks,top1,top2,min,top1_rel_resid,top2_rel_resid,min_rel_resid,top1_start1,min_start1,converged_start0,converged_start1,iterations_start0,iterations_start1,min_rayleigh_f64,source
combined_s3_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,3,test_probe,centre_frozen,ordinary,0.5367680490016937,3.472546075106538,268336,698,1150.7266317348092,978.1335614877623,-4.886732378160389,4.736354187939165e-07,5.209819323467367e-07,0.0002707440744184851,1150.7266380931621,-4.886733484000348,True,True,60,70,-4.886733953339222,maximemonstrenikez
combined_s3_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,3,test_probe,centre_frozen,relative,0.5367680490016937,3.472546075106538,268336,698,1877.2710196360458,1599.6260208137915,-7.851156264406258,4.715775818476525e-07,4.755447573682334e-07,7.337243299348781e-05,1877.2710389394617,-7.851155163787212,True,True,70,60,-7.851163904269789,maximemonstrenikez
combined_s3_test_saved_ord,resolution_max_b1_gaussian_conv,3,test_probe,saved,ordinary,0.5388301908969879,3.517703163290466,268336,698,1204.4584256838862,976.5276397533323,-4.477918924892423,4.970917508924537e-07,5.182998967237347e-07,0.0004960113176780029,1204.4584194161457,-4.477920995410401,True,True,80,70,-4.478140326160659,maximemonstrenikez
combined_s3_test_saved_rel,resolution_max_b1_gaussian_conv,3,test_probe,saved,relative,0.5388301908969879,3.517703163290466,268336,698,1960.8388705952443,1594.0932096879535,-7.175704225706886,4.837989511265374e-07,5.013248120666894e-07,0.0007494072574729186,1960.8388672035421,-7.175680680654522,True,True,80,60,-7.176027247651013,maximemonstrenikez
combined_s3_train_centre_frozen_ord,resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,ordinary,0.30317582190036774,1.9133809565391962,268336,698,1029.9447256705278,931.8520554671354,-2.2272364192399863,4.6832756633938654e-07,5.200137552851997e-07,0.0005115302319272531,1029.9447049700802,-2.227252307655963,True,True,80,80,-2.227108306732596,maximemonstrenikez
combined_s3_train_centre_frozen_rel,resolution_max_b1_gaussian_conv,3,train_probe,centre_frozen,relative,0.30317582190036774,1.9133809565391962,268336,698,1683.9574061319756,1505.239253704975,-3.539092353454582,4.5563682791480723e-07,4.758147294039045e-07,0.000323324297909388,1683.9574649592641,-3.5390767319371617,True,True,90,90,-3.5389019131080435,maximemonstrenikez
combined_s3_train_saved_ord,resolution_max_b1_gaussian_conv,3,train_probe,saved,ordinary,0.30057623982429504,2.0342244521615593,268336,698,1062.7390716160278,928.1427801505691,-2.376358937092321,4.864553613685677e-07,4.992474169174914e-07,0.0006121785262712258,1062.7390583244505,-2.3763765616418064,True,True,70,70,-2.3766032773618133,maximemonstrenikez
combined_s3_train_saved_rel,resolution_max_b1_gaussian_conv,3,train_probe,saved,relative,0.30057623982429504,2.0342244521615593,268336,698,1733.3898979268577,1496.7656235999634,-3.814498567584612,4.7586599788269766e-07,5.087832820444492e-07,0.00054618955056464,1733.3898915334398,-3.8145147853106884,True,True,70,80,-3.8149015043668624,maximemonstrenikez
gaussian_s3_test_centre_frozen_ord,gaussian_postrelu,3,test_probe,centre_frozen,ordinary,0.5582676231861115,4.368155570886236,268336,698,1431.2875810921907,1088.8777068266174,-6.24825696617747,5.167787806427986e-07,5.334993086673926e-07,0.0002832700810931853,1431.2876234098271,-6.248258475379058,True,True,70,60,-6.248289017819473,maximemonstrenikez
gaussian_s3_test_centre_frozen_rel,gaussian_postrelu,3,test_probe,centre_frozen,relative,0.5582676231861115,4.368155570886236,268336,698,2336.894042201622,1802.665129826312,-10.102822264092866,5.116904059126618e-07,4.856696392115612e-07,0.00018124602066970085,2336.8940740063504,-10.102788853414607,True,True,70,60,-10.102839697696968,maximemonstrenikez
gaussian_s3_test_saved_ord,gaussian_postrelu,3,test_probe,saved,ordinary,0.564039945602417,4.603852234101029,268336,698,1480.7814343108423,1084.8340522262224,-6.680338967010526,5.696444805756501e-07,4.874390029836565e-07,5.788182045228059e-05,1480.781460753216,-6.6803376974673805,True,True,70,60,-6.679393240655069,maximemonstrenikez
gaussian_s3_test_saved_rel,gaussian_postrelu,3,test_probe,saved,relative,0.564039945602417,4.603852234101029,268336,698,2411.239187316354,1797.2109419039166,-10.780344513778058,5.378664747950863e-07,4.785362649268425e-07,0.00014023179756421407,2411.239267464253,-10.780331305887703,True,True,70,60,-10.778819867257734,maximemonstrenikez
gaussian_s3_train_centre_frozen_ord,gaussian_postrelu,3,train_probe,centre_frozen,ordinary,0.2561737596988678,2.517048171921544,268336,698,1141.9548541818695,966.6651240559364,-3.666691415379243,5.221467326325952e-07,4.863847963778411e-07,0.0005126762628642185,1141.9548475043339,-3.6666950603259134,True,True,70,70,-3.6665904155636615,maximemonstrenikez
gaussian_s3_train_centre_frozen_rel,gaussian_postrelu,3,train_probe,centre_frozen,relative,0.2561737596988678,2.517048171921544,268336,698,1861.7013194909355,1610.9548800407345,-5.899383885738257,5.164472036818876e-07,4.3574332190971687e-07,0.00013027726408993803,1861.7013266319664,-5.899368952931613,True,True,70,70,-5.899213490080258,maximemonstrenikez
gaussian_s3_train_saved_ord,gaussian_postrelu,3,train_probe,saved,ordinary,0.25771790742874146,2.9094602482879264,268336,698,1171.7825097721775,983.7878719252953,-4.0760593387811195,5.33332518815513e-07,4.6152769805532707e-07,0.00019443837934403314,1171.7825312453854,-4.07606117833319,True,True,70,70,-4.075883455935341,maximemonstrenikez
gaussian_s3_train_saved_rel,gaussian_postrelu,3,train_probe,saved,relative,0.25771790742874146,2.9094602482879264,268336,698,1908.7705448633162,1640.1183137540575,-6.572761765973017,5.366814027433619e-07,4.363686034821975e-07,0.000606653218232027,1908.7705857482088,-6.572697685924647,True,True,70,60,-6.572487553954716,maximemonstrenikez
plain_s3_test_centre_frozen_ord,plain,3,test_probe,centre_frozen,ordinary,0.761147528886795,7.372191152821192,268336,698,3539.047014743923,3225.841589842531,-10.546056155165742,4.861653846064521e-07,5.671100347574076e-07,0.00016901296308646346,3539.0470077067644,-10.546010738857063,True,True,60,50,-10.54599308191118,maximemonstrenikez
