method,policy,evaluation_set,amplitude,mean_delta,sd_delta,n_seeds,n_seeds_below_plain
gaussian_postrelu,recalibrated,test_full,0.1,0.1104731961975098,0.0428307526395383,5,0
gaussian_postrelu,recalibrated,test_full,0.25,0.37938164103698735,0.13011540633145396,5,0
gaussian_postrelu,recalibrated,train_large,0.1,0.09112383674240113,0.04708561644683916,5,0
gaussian_postrelu,recalibrated,train_large,0.25,0.2636259507293701,0.12621393712428183,5,0
gaussian_postrelu,saved,test_full,0.1,0.008057623748779386,0.10803219256299781,5,2
gaussian_postrelu,saved,test_full,0.25,-0.6959711472778323,0.4120191994506437,5,5
gaussian_postrelu,saved,train_large,0.1,-0.006460533744812013,0.11127143960983413,5,3
gaussian_postrelu,saved,train_large,0.25,-0.8461611472778323,0.40365052928909134,5,5
resolution_max_b1,recalibrated,test_full,0.1,-0.013288493453979469,0.008487639320015929,5,5
resolution_max_b1,recalibrated,test_full,0.25,-0.08442743817138673,0.05652220793289767,5,5
resolution_max_b1,recalibrated,train_large,0.1,-0.05665563112258913,0.013503326004354476,5,5
resolution_max_b1,recalibrated,train_large,0.25,-0.2503490403137208,0.05880180834862936,5,5
resolution_max_b1,saved,test_full,0.1,-0.21845846525573723,0.04060639011494476,5,5
resolution_max_b1,saved,test_full,0.25,-1.2503279510498047,0.24558731481151672,5,5
resolution_max_b1,saved,train_large,0.1,-0.2642885722122193,0.04508782326477732,5,5
resolution_max_b1,saved,train_large,0.25,-1.453823153686523,0.23655289168797514,5,5
resolution_max_b1_gaussian_conv,recalibrated,test_full,0.1,-0.010503467323303196,0.021312060734496173,5,4
resolution_max_b1_gaussian_conv,recalibrated,test_full,0.25,-0.09310840567016605,0.10186048390583534,5,4
resolution_max_b1_gaussian_conv,recalibrated,train_large,0.1,-0.0640229054222107,0.023851539772522592,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_large,0.25,-0.29095712875366225,0.09898046292308561,5,5
resolution_max_b1_gaussian_conv,saved,test_full,0.1,-0.23934494442749013,0.04272863931628167,5,5
resolution_max_b1_gaussian_conv,saved,test_full,0.25,-1.4956216874694828,0.35535197210431846,5,5
resolution_max_b1_gaussian_conv,saved,train_large,0.1,-0.3009085087356568,0.04470913470095441,5,5
resolution_max_b1_gaussian_conv,saved,train_large,0.25,-1.7409530921020508,0.3545669761940464,5,5
