method,seed,policy,evaluation_set,n_images,amplitude,n_directions,S,centre_ce,centre_acc
plain,0,saved,train_large,10000,0.1,20,0.6827884761047363,0.22793353652954101,0.9336
plain,0,saved,train_large,10000,0.25,20,5.255398459320069,0.22793353652954101,0.9336
plain,0,saved,test_full,10000,0.1,20,0.5817055474090576,0.7731327758789063,0.7453
plain,0,saved,test_full,10000,0.25,20,4.869714967651368,0.7731327758789063,0.7453
plain,0,recalibrated,train_large,10000,0.1,20,0.17475809803009035,0.22584878845214842,0.9347
plain,0,recalibrated,train_large,10000,0.25,20,0.9333790061187746,0.22584878845214842,0.9347
plain,0,recalibrated,test_full,10000,0.1,20,0.088976706161499,0.7732207214355469,0.7439
plain,0,recalibrated,test_full,10000,0.25,20,0.6241888696289062,0.7732207214355469,0.7439
plain,1,saved,train_large,10000,0.1,20,0.8190186040496826,0.20496909637451172,0.9429
plain,1,saved,train_large,10000,0.25,20,5.814517506713867,0.20496909637451172,0.9429
plain,1,saved,test_full,10000,0.1,20,0.7022832064819335,0.7512493560791016,0.7565
plain,1,saved,test_full,10000,0.25,20,5.410564710693359,0.7512493560791016,0.7565
plain,1,recalibrated,train_large,10000,0.1,20,0.20998347675323487,0.2060380271911621,0.9449
plain,1,recalibrated,train_large,10000,0.25,20,1.1015253743743896,0.2060380271911621,0.9449
plain,1,recalibrated,test_full,10000,0.1,20,0.11006583900451657,0.7475237548828125,0.7569
plain,1,recalibrated,test_full,10000,0.25,20,0.776061408996582,0.7475237548828125,0.7569
plain,2,saved,train_large,10000,0.1,20,0.7546572930908204,0.18270442199707032,0.9502
plain,2,saved,train_large,10000,0.25,20,5.324197725524902,0.18270442199707032,0.9502
plain,2,saved,test_full,10000,0.1,20,0.6501574485015867,0.751594076538086,0.7624
plain,2,saved,test_full,10000,0.25,20,4.92025626586914,0.751594076538086,0.7624
plain,2,recalibrated,train_large,10000,0.1,20,0.19925229774475098,0.1808285987854004,0.9521
plain,2,recalibrated,train_large,10000,0.25,20,1.0678793998718263,0.1808285987854004,0.9521
plain,2,recalibrated,test_full,10000,0.1,20,0.11082141471862794,0.7472573608398437,0.7625
plain,2,recalibrated,test_full,10000,0.25,20,0.7465291070556641,0.7472573608398437,0.7625
plain,3,saved,train_large,10000,0.1,20,0.734902073173523,0.18941541290283204,0.9489
plain,3,saved,train_large,10000,0.25,20,5.1035727050781245,0.18941541290283204,0.9489
plain,3,saved,test_full,10000,0.1,20,0.6214255585479737,0.7673122619628906,0.7535
plain,3,saved,test_full,10000,0.25,20,4.701734398803711,0.7673122619628906,0.7535
plain,3,recalibrated,train_large,10000,0.1,20,0.19589559535980225,0.18737774505615234,0.9495
plain,3,recalibrated,train_large,10000,0.25,20,1.01568497505188,0.18737774505615234,0.9495
plain,3,recalibrated,test_full,10000,0.1,20,0.10327053497314456,0.7622901733398437,0.7532
plain,3,recalibrated,test_full,10000,0.25,20,0.6881644987487794,0.7622901733398437,0.7532
plain,4,saved,train_large,10000,0.1,20,0.6698702337646485,0.17087768096923828,0.9557
plain,4,saved,train_large,10000,0.25,20,4.846041201477051,0.17087768096923828,0.9557
plain,4,saved,test_full,10000,0.1,20,0.5697618294525145,0.753387744140625,0.765
plain,4,saved,test_full,10000,0.25,20,4.426960958251954,0.753387744140625,0.765
plain,4,recalibrated,train_large,10000,0.1,20,0.17894129602432252,0.16674314193725587,0.9596
plain,4,recalibrated,train_large,10000,0.25,20,0.9796068672943117,0.16674314193725587,0.9596
plain,4,recalibrated,test_full,10000,0.1,20,0.09744688796997061,0.7467377197265626,0.7645
plain,4,recalibrated,test_full,10000,0.25,20,0.6655135464477538,0.7467377197265626,0.7645
resolution_max_b1,0,saved,train_large,10000,0.1,20,0.43077582973480233,0.3111688293457031,0.9
resolution_max_b1,0,saved,train_large,10000,0.25,20,3.4789903454589846,0.3111688293457031,0.9
resolution_max_b1,0,saved,test_full,10000,0.1,20,0.3681374089813233,0.5855790832519531,0.8031
resolution_max_b1,0,saved,test_full,10000,0.25,20,3.2898298039245604,0.5855790832519531,0.8031
resolution_max_b1,0,recalibrated,train_large,10000,0.1,20,0.1300179975891113,0.3079953659057617,0.9005
