method,seed,grid,a,b,train_probe_ce,test_probe_ce,source
plain,0,41,-0.5,-0.5,4.40173828125,4.42411962890625,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.475,4.2941240234375,4.336025146484375,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.45,4.1980849609375,4.24391015625,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.425,4.10614794921875,4.150648193359375,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.4,4.021299560546875,4.058937255859375,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.375,3.9341092529296877,3.96916943359375,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.35,3.848834228515625,3.87525927734375,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.325,3.7699493408203124,3.7852119140625,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.3,3.6894676513671874,3.700752685546875,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.275,3.61162939453125,3.6136326904296876,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.25,3.5340234375,3.53106494140625,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.225,3.4587781982421877,3.4585506591796875,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.2,3.3916263427734377,3.3934219970703126,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.175,3.3322813720703124,3.33033935546875,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.15,3.2849158935546874,3.2681202392578124,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.125,3.247050537109375,3.20747900390625,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.1,3.214790771484375,3.1498883056640623,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.075,3.1865992431640624,3.0952208251953124,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.05,3.1552384033203125,3.0482098388671877,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
plain,0,41,-0.5,-0.025,3.1290111083984375,3.007224609375,maxmonstre/grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl
