method,policy,split,amplitude,mean_delta,sd_delta,n_seeds,n_seeds_below_plain
gaussian_postrelu,centre_frozen,test_probe,0.005,-5.668052673340859e-05,0.00024860494704172345,5,2
gaussian_postrelu,centre_frozen,test_probe,0.01,-0.0005137886047363366,0.000821815015617459,5,4
gaussian_postrelu,centre_frozen,test_probe,0.02,-0.0024101482391357494,0.003317293205330701,5,4
gaussian_postrelu,centre_frozen,test_probe,0.025,-0.0034466145324707183,0.005469650650538393,5,3
gaussian_postrelu,centre_frozen,test_probe,0.05,-0.003606767730712901,0.026125456693295187,5,3
gaussian_postrelu,centre_frozen,test_probe,0.1,0.006740700683593737,0.11006654119604477,5,2
gaussian_postrelu,centre_frozen,test_probe,0.2,-0.314364684753418,0.368130265945681,5,4
gaussian_postrelu,centre_frozen,test_probe,0.25,-0.7033857067871094,0.4231466431120748,5,5
gaussian_postrelu,centre_frozen,test_probe,0.35,-1.7091033386230479,0.45026156017730895,5,5
gaussian_postrelu,centre_frozen,test_probe,0.5,-4.038598980102537,1.331510080335178,5,5
gaussian_postrelu,centre_frozen,train_probe,0.005,-0.0002211304092407189,0.0002307905295933917,5,4
gaussian_postrelu,centre_frozen,train_probe,0.01,-0.0006296940231323214,0.0008336709309032359,5,4
gaussian_postrelu,centre_frozen,train_probe,0.02,-0.0018546372985839797,0.003439640421614937,5,3
gaussian_postrelu,centre_frozen,train_probe,0.025,-0.0024938029861450175,0.005577711593020083,5,3
gaussian_postrelu,centre_frozen,train_probe,0.05,-0.004058301544189458,0.02567047129155151,5,2
gaussian_postrelu,centre_frozen,train_probe,0.1,-0.025633215332031268,0.1092020989600917,5,2
gaussian_postrelu,centre_frozen,train_probe,0.2,-0.4644121749877931,0.35172385436996834,5,5
gaussian_postrelu,centre_frozen,train_probe,0.25,-0.9000442996215821,0.4168953622451879,5,5
gaussian_postrelu,centre_frozen,train_probe,0.35,-1.944743115844727,0.49257909704888314,5,5
gaussian_postrelu,centre_frozen,train_probe,0.5,-4.320099135131837,1.378921722283544,5,5
gaussian_postrelu,recalibrated,test_probe,0.005,0.0002663230133056538,0.00012016915997180155,5,0
gaussian_postrelu,recalibrated,test_probe,0.01,0.0008295471954345629,0.0003355669091398375,5,0
gaussian_postrelu,recalibrated,test_probe,0.02,0.0030092107391357327,0.0013339507502276725,5,0
gaussian_postrelu,recalibrated,test_probe,0.025,0.004821086196899401,0.0023248020867076263,5,0
gaussian_postrelu,recalibrated,test_probe,0.05,0.0244005199432373,0.012439639432766337,5,0
gaussian_postrelu,recalibrated,test_probe,0.1,0.11137903579711914,0.04085613657475978,5,0
gaussian_postrelu,recalibrated,test_probe,0.2,0.3164838716125488,0.09073508261102614,5,0
gaussian_postrelu,recalibrated,test_probe,0.25,0.3827144195556641,0.11728527250484226,5,0
gaussian_postrelu,recalibrated,test_probe,0.35,0.3972074435424805,0.1571539548761359,5,0
gaussian_postrelu,recalibrated,test_probe,0.5,0.20813206237792992,0.17642606008806477,5,0
gaussian_postrelu,recalibrated,train_probe,0.005,1.9668655395511935e-05,0.00011220837612561069,5,1
gaussian_postrelu,recalibrated,train_probe,0.01,0.00026932212829590266,0.0003665987026321502,5,1
gaussian_postrelu,recalibrated,train_probe,0.02,0.0017459954452514674,0.001554307602855995,5,1
gaussian_postrelu,recalibrated,train_probe,0.025,0.003190920066833498,0.0026895404312518778,5,1
gaussian_postrelu,recalibrated,train_probe,0.05,0.019199610595703125,0.012838023117500479,5,0
gaussian_postrelu,recalibrated,train_probe,0.1,0.08351630653381348,0.042863960542204,5,0
gaussian_postrelu,recalibrated,train_probe,0.2,0.21293277481079106,0.09454803546313902,5,0
gaussian_postrelu,recalibrated,train_probe,0.25,0.24048544845581063,0.11573789969887284,5,0
gaussian_postrelu,recalibrated,train_probe,0.35,0.18943683380126944,0.13979355881860078,5,0
gaussian_postrelu,recalibrated,train_probe,0.5,-0.041430741577148565,0.14525648836249017,5,3
gaussian_postrelu,saved,test_probe,0.005,-0.00011205192565916237,0.00019936263279726494,5,4
gaussian_postrelu,saved,test_probe,0.01,-0.0006205134582519378,0.0008206406919532126,5,4
gaussian_postrelu,saved,test_probe,0.02,-0.002361223068237285,0.0031284450541172013,5,4
gaussian_postrelu,saved,test_probe,0.025,-0.0032865566253661924,0.005100957057133102,5,4
gaussian_postrelu,saved,test_probe,0.05,-0.002573032531738273,0.02471762925402443,5,3
gaussian_postrelu,saved,test_probe,0.1,0.009706398010253947,0.10905420053546903,5,2
gaussian_postrelu,saved,test_probe,0.2,-0.3098649154663085,0.3653354671769869,5,4
gaussian_postrelu,saved,test_probe,0.25,-0.697912664794922,0.41404460448508473,5,5
gaussian_postrelu,saved,test_probe,0.35,-1.6948784857177734,0.40166174405002303,5,5
gaussian_postrelu,saved,test_probe,0.5,-4.014744534301758,1.3013165881002786,5,5
gaussian_postrelu,saved,train_probe,0.005,-0.00022985507965088596,0.0002471208324389619,5,4
gaussian_postrelu,saved,train_probe,0.01,-0.0006659327316284238,0.0008660312364043511,5,4
gaussian_postrelu,saved,train_probe,0.02,-0.0020181475448608453,0.0034047586912509045,5,3
gaussian_postrelu,saved,train_probe,0.025,-0.002700222434997568,0.005432774823741924,5,3
gaussian_postrelu,saved,train_probe,0.05,-0.004304347496032724,0.024982331481077105,5,3
gaussian_postrelu,saved,train_probe,0.1,-0.024414371643066413,0.10774593705655423,5,2
gaussian_postrelu,saved,train_probe,0.2,-0.4623636242675782,0.3481945248256394,5,5
gaussian_postrelu,saved,train_probe,0.25,-0.8969434378051755,0.4059171691073141,5,5
gaussian_postrelu,saved,train_probe,0.35,-1.9323958584594727,0.44619735606807354,5,5
gaussian_postrelu,saved,train_probe,0.5,-4.298778645935059,1.3527485731739277,5,5
resolution_max_b1,centre_frozen,test_probe,0.005,-0.0003198776245117535,0.00014816035825492124,5,5
resolution_max_b1,centre_frozen,test_probe,0.01,-0.0015014477539062817,0.0004576789448314893,5,5
resolution_max_b1,centre_frozen,test_probe,0.02,-0.007050218811035187,0.0012498548136538874,5,5
resolution_max_b1,centre_frozen,test_probe,0.025,-0.011399806671142609,0.0018073642871207626,5,5
resolution_max_b1,centre_frozen,test_probe,0.05,-0.048385300292968794,0.006470052758273063,5,5
resolution_max_b1,centre_frozen,test_probe,0.1,-0.21228406478881837,0.03693200580263837,5,5
resolution_max_b1,centre_frozen,test_probe,0.2,-0.8722482556152343,0.15463402714021804,5,5
resolution_max_b1,centre_frozen,test_probe,0.25,-1.2360704373168947,0.24037617439738831,5,5
resolution_max_b1,centre_frozen,test_probe,0.35,-1.8331529821777353,0.7102214797239148,5,5
resolution_max_b1,centre_frozen,test_probe,0.5,-2.8916290588378915,1.9702573298506034,5,5
resolution_max_b1,centre_frozen,train_probe,0.005,-0.0006256404495239222,0.00023600611657484413,5,5
resolution_max_b1,centre_frozen,train_probe,0.01,-0.002310013885498041,0.0007063190871118437,5,5
resolution_max_b1,centre_frozen,train_probe,0.02,-0.00891055030822753,0.002331305392776886,5,5
resolution_max_b1,centre_frozen,train_probe,0.025,-0.013981828689575187,0.0034198717034764976,5,5
resolution_max_b1,centre_frozen,train_probe,0.05,-0.05972382614135742,0.011052717887921176,5,5
resolution_max_b1,centre_frozen,train_probe,0.1,-0.268273930053711,0.03790528626208517,5,5
resolution_max_b1,centre_frozen,train_probe,0.2,-1.0536984335327149,0.16354339661770012,5,5
resolution_max_b1,centre_frozen,train_probe,0.25,-1.4621869482421874,0.27964335313555544,5,5
resolution_max_b1,centre_frozen,train_probe,0.35,-2.0862051464843754,0.7692609800550246,5,5
resolution_max_b1,centre_frozen,train_probe,0.5,-3.1409285284423847,2.014210831807242,5,5
resolution_max_b1,recalibrated,test_probe,0.005,7.222793579098496e-05,9.89577396723054e-05,5,1
resolution_max_b1,recalibrated,test_probe,0.01,0.00015394180297848445,0.00027067003362583826,5,1
resolution_max_b1,recalibrated,test_probe,0.02,2.3628387451136643e-05,0.0006570671616683031,5,3
resolution_max_b1,recalibrated,test_probe,0.025,-0.000233488845825228,0.0008299229544796589,5,3
resolution_max_b1,recalibrated,test_probe,0.05,-0.002512059478759795,0.0019519135229002455,5,5
resolution_max_b1,recalibrated,test_probe,0.1,-0.009573359985351595,0.006292635688012361,5,5
resolution_max_b1,recalibrated,test_probe,0.2,-0.046543954010009804,0.04324272352337433,5,4
resolution_max_b1,recalibrated,test_probe,0.25,-0.07645219741821292,0.06533882111258749,5,5
resolution_max_b1,recalibrated,test_probe,0.35,-0.1327531591796875,0.09900577264416102,5,5
resolution_max_b1,recalibrated,test_probe,0.5,-0.1778003817749024,0.10603143594003786,5,5
resolution_max_b1,recalibrated,train_probe,0.005,-0.0002732780075073183,0.00015358844072930008,5,5
resolution_max_b1,recalibrated,train_probe,0.01,-0.0009601545715331982,0.0004333112540225697,5,5
resolution_max_b1,recalibrated,train_probe,0.02,-0.0033302820205688435,0.0012770088570892419,5,5
resolution_max_b1,recalibrated,train_probe,0.025,-0.005001470069885248,0.0018638099330155619,5,5
resolution_max_b1,recalibrated,train_probe,0.05,-0.01749800884246826,0.005822603916663717,5,5
resolution_max_b1,recalibrated,train_probe,0.1,-0.061254870834350585,0.01680985275171016,5,5
resolution_max_b1,recalibrated,train_probe,0.2,-0.18969011001586913,0.0436939595761567,5,5
resolution_max_b1,recalibrated,train_probe,0.25,-0.2570071975708007,0.054719998547914775,5,5
resolution_max_b1,recalibrated,train_probe,0.35,-0.3722227249145508,0.06839424145592267,5,5
resolution_max_b1,recalibrated,train_probe,0.5,-0.45613568939209,0.06046874070781086,5,5
resolution_max_b1,saved,test_probe,0.005,-0.0003738566589355519,0.00019566130738211414,5,5
resolution_max_b1,saved,test_probe,0.01,-0.0016371939086914141,0.0006793981448660828,5,5
resolution_max_b1,saved,test_probe,0.02,-0.007140357208251952,0.0019115278184146571,5,5
resolution_max_b1,saved,test_probe,0.025,-0.011457700195312498,0.0026370791112160703,5,5
resolution_max_b1,saved,test_probe,0.05,-0.04826394454956055,0.008700085805336617,5,5
resolution_max_b1,saved,test_probe,0.1,-0.2122417070007324,0.04101722558632049,5,5
resolution_max_b1,saved,test_probe,0.2,-0.874925307922363,0.15103088037131468,5,5
resolution_max_b1,saved,test_probe,0.25,-1.2429372933959963,0.2136473412736049,5,5
resolution_max_b1,saved,test_probe,0.35,-1.8525768054199219,0.6551984624294178,5,5
resolution_max_b1,saved,test_probe,0.5,-2.9371307629394527,1.9424334120445619,5,5
resolution_max_b1,saved,train_probe,0.005,-0.0005807171249389689,0.00026237028715859627,5,5
resolution_max_b1,saved,train_probe,0.01,-0.0022355852890014695,0.0008071188277132712,5,5
resolution_max_b1,saved,train_probe,0.02,-0.008925029869079597,0.0024647932733125213,5,5
resolution_max_b1,saved,train_probe,0.025,-0.014055639495849615,0.0035416029442743796,5,5
resolution_max_b1,saved,train_probe,0.05,-0.05997340679168702,0.011375132605113112,5,5
resolution_max_b1,saved,train_probe,0.1,-0.268175668258667,0.04046020844699762,5,5
resolution_max_b1,saved,train_probe,0.2,-1.0575729684448243,0.1535744232672069,5,5
resolution_max_b1,saved,train_probe,0.25,-1.4700988858032227,0.24699844428790055,5,5
resolution_max_b1,saved,train_probe,0.35,-2.1062776153564458,0.7155323085170106,5,5
resolution_max_b1,saved,train_probe,0.5,-3.1854545794677755,1.9903762905621816,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.005,-0.0004773489379883133,0.0001208099831311035,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.01,-0.002055533370971715,0.0004632934763797802,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.02,-0.008813440856933627,0.0017985598069297814,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.025,-0.01400102050781254,0.002651267874918852,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.05,-0.05765314483642582,0.00844190297767212,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.1,-0.24765725662231447,0.045546510634473854,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.2,-1.0388669564819337,0.24311919043026609,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.25,-1.5114304458618162,0.4061996187558204,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.35,-2.422386825561524,1.0074133660161129,5,5
resolution_max_b1_gaussian_conv,centre_frozen,test_probe,0.5,-4.290313942871093,2.559289869233689,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.005,-0.0007221467208862271,0.0002467292655231857,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.01,-0.002691259689331052,0.0007642905750975656,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.02,-0.010446756820678707,0.002366116929972872,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.025,-0.016432191390991207,0.003334307504608477,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.05,-0.07016492141723632,0.009823983400488467,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.1,-0.31445875152587893,0.03988265511072827,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.2,-1.2430201478576661,0.25960645309294417,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.25,-1.764704639892578,0.4530519902839515,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.35,-2.7067671551513675,1.0701424359317608,5,5
resolution_max_b1_gaussian_conv,centre_frozen,train_probe,0.5,-4.600644903564456,2.5930436161024524,5,5
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.005,1.7921447753871672e-05,3.149165975771956e-05,5,1
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.01,-5.880828857425279e-05,0.00010570614148599438,5,3
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.02,-0.0005024957275390951,0.0005481997944415823,5,4
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.025,-0.0009242411804199571,0.0008831477533597061,5,4
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.05,-0.004027152404785189,0.003663256165561013,5,4
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.1,-0.013439123077392609,0.015705576979627142,5,4
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.2,-0.06316860275268557,0.07240183661918938,5,4
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.25,-0.10474246444702151,0.10213627909773279,5,4
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.35,-0.18715736267089844,0.12837734063992806,5,4
resolution_max_b1_gaussian_conv,recalibrated,test_probe,0.5,-0.2640015429687498,0.12329304332589734,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.005,-0.00028231288909911915,0.00016775113979135414,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.01,-0.0009853330993652325,0.0005211836852777279,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.02,-0.0035011814498901333,0.0015993341964203802,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.025,-0.0053066003036498985,0.0023116770111035845,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.05,-0.019092202873229977,0.007415561262223085,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.1,-0.06796291053771972,0.024992097117535295,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.2,-0.21969688034057616,0.07521094083391469,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.25,-0.3028653343200683,0.09770341289647619,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.35,-0.44662242553710935,0.11272795133234643,5,5
resolution_max_b1_gaussian_conv,recalibrated,train_probe,0.5,-0.5616446762084962,0.09632803617257393,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.005,-0.0004615402984619243,0.00018060419593612966,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.01,-0.0020233128356933723,0.0006984785946615701,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.02,-0.008601452178955086,0.0022423850188147154,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.025,-0.013682074432373062,0.003150544283381818,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.05,-0.05659840209960939,0.009687837758436327,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.1,-0.24459994827270504,0.04593254597188196,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.2,-1.0359162149047851,0.20808844982752803,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.25,-1.5098223880004884,0.3362579689411408,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.35,-2.4270132537841795,0.8934775793536424,5,5
resolution_max_b1_gaussian_conv,saved,test_probe,0.5,-4.320460350341799,2.421369637152677,5,5
resolution_max_b1_gaussian_conv,saved,train_probe,0.005,-0.0006549267959594765,0.0002591518224510274,5,5
resolution_max_b1_gaussian_conv,saved,train_probe,0.01,-0.0025856811904907263,0.0007939824338769671,5,5
resolution_max_b1_gaussian_conv,saved,train_probe,0.02,-0.010425568275451663,0.0022809453106514364,5,5
resolution_max_b1_gaussian_conv,saved,train_probe,0.025,-0.01642867767333985,0.0031556384415924337,5,5
resolution_max_b1_gaussian_conv,saved,train_probe,0.05,-0.0699087376022339,0.009204550208649685,5,5
resolution_max_b1_gaussian_conv,saved,train_probe,0.1,-0.31227576095581056,0.03444568100648408,5,5
resolution_max_b1_gaussian_conv,saved,train_probe,0.2,-1.2409119941711426,0.21450709431542414,5,5
resolution_max_b1_gaussian_conv,saved,train_probe,0.25,-1.7633243170166015,0.37896472616795107,5,5
resolution_max_b1_gaussian_conv,saved,train_probe,0.35,-2.7117334545898437,0.9568126436927494,5,5
