method,epoch,state_label,state,seed,policy,split,centre_ce
resolution_max_b1,6,before,r16_G-,0,saved,train_probe,0.83456396484375
resolution_max_b1,6,before,r16_G-,0,saved,test_probe,0.9431787109375
resolution_max_b1,6,before,r16_G-,0,recalibrated,train_probe,0.8184943237304687
resolution_max_b1,6,before,r16_G-,0,recalibrated,test_probe,0.9242914123535156
resolution_max_b1,6,before,r16_G-,1,saved,train_probe,0.795326416015625
resolution_max_b1,6,before,r16_G-,1,saved,test_probe,0.9194975280761719
resolution_max_b1,6,before,r16_G-,1,recalibrated,train_probe,0.7794854431152344
resolution_max_b1,6,before,r16_G-,1,recalibrated,test_probe,0.89855078125
resolution_max_b1,6,before,r16_G-,2,saved,train_probe,0.7674596557617187
resolution_max_b1,6,before,r16_G-,2,saved,test_probe,0.9331883544921875
resolution_max_b1,6,before,r16_G-,2,recalibrated,train_probe,0.752070556640625
resolution_max_b1,6,before,r16_G-,2,recalibrated,test_probe,0.8985945434570313
resolution_max_b1,6,before,r16_G-,3,saved,train_probe,0.7944664611816407
resolution_max_b1,6,before,r16_G-,3,saved,test_probe,0.9377419738769531
resolution_max_b1,6,before,r16_G-,3,recalibrated,train_probe,0.7852612609863281
resolution_max_b1,6,before,r16_G-,3,recalibrated,test_probe,0.9351083374023438
resolution_max_b1,6,before,r16_G-,4,saved,train_probe,0.8358128356933594
resolution_max_b1,6,before,r16_G-,4,saved,test_probe,0.9866314086914062
resolution_max_b1,6,before,r16_G-,4,recalibrated,train_probe,0.8219534606933594
resolution_max_b1,6,before,r16_G-,4,recalibrated,test_probe,0.9610070190429687
resolution_max_b1,6,after,r24_G-,0,saved,train_probe,1.0730078735351563
resolution_max_b1,6,after,r24_G-,0,saved,test_probe,1.0931363525390625
resolution_max_b1,6,after,r24_G-,0,recalibrated,train_probe,1.04701171875
resolution_max_b1,6,after,r24_G-,0,recalibrated,test_probe,1.0596719360351563
resolution_max_b1,6,after,r24_G-,1,saved,train_probe,1.1230718383789062
resolution_max_b1,6,after,r24_G-,1,saved,test_probe,1.1266748657226562
resolution_max_b1,6,after,r24_G-,1,recalibrated,train_probe,1.046666015625
resolution_max_b1,6,after,r24_G-,1,recalibrated,test_probe,1.0577495727539064
resolution_max_b1,6,after,r24_G-,2,saved,train_probe,1.0683145751953125
resolution_max_b1,6,after,r24_G-,2,saved,test_probe,1.0900490112304688
resolution_max_b1,6,after,r24_G-,2,recalibrated,train_probe,0.9953250427246094
resolution_max_b1,6,after,r24_G-,2,recalibrated,test_probe,1.0336102905273437
resolution_max_b1,6,after,r24_G-,3,saved,train_probe,1.1603134765625
resolution_max_b1,6,after,r24_G-,3,saved,test_probe,1.1635038452148438
resolution_max_b1,6,after,r24_G-,3,recalibrated,train_probe,1.0025051879882811
resolution_max_b1,6,after,r24_G-,3,recalibrated,test_probe,1.0346102294921875
resolution_max_b1,6,after,r24_G-,4,saved,train_probe,1.1800250854492187
resolution_max_b1,6,after,r24_G-,4,saved,test_probe,1.2327152099609375
resolution_max_b1,6,after,r24_G-,4,recalibrated,train_probe,1.0790322265625
resolution_max_b1,6,after,r24_G-,4,recalibrated,test_probe,1.1355589599609375
resolution_max_b1,6,final,r32_G-,0,saved,train_probe,4.102716674804688
resolution_max_b1,6,final,r32_G-,0,saved,test_probe,4.1056923828125
resolution_max_b1,6,final,r32_G-,0,recalibrated,train_probe,1.715031005859375
resolution_max_b1,6,final,r32_G-,0,recalibrated,test_probe,1.7683689575195312
resolution_max_b1,6,final,r32_G-,1,saved,train_probe,4.25028515625
resolution_max_b1,6,final,r32_G-,1,saved,test_probe,4.2547586669921875
resolution_max_b1,6,final,r32_G-,1,recalibrated,train_probe,1.5019767456054687
resolution_max_b1,6,final,r32_G-,1,recalibrated,test_probe,1.526615234375
resolution_max_b1,6,final,r32_G-,2,saved,train_probe,4.3150263671875
resolution_max_b1,6,final,r32_G-,2,saved,test_probe,4.2557265625
resolution_max_b1,6,final,r32_G-,2,recalibrated,train_probe,1.5392723388671874
resolution_max_b1,6,final,r32_G-,2,recalibrated,test_probe,1.5741436157226563
resolution_max_b1,6,final,r32_G-,3,saved,train_probe,4.449870849609375
resolution_max_b1,6,final,r32_G-,3,saved,test_probe,4.466350830078125
resolution_max_b1,6,final,r32_G-,3,recalibrated,train_probe,1.4672276000976563
resolution_max_b1,6,final,r32_G-,3,recalibrated,test_probe,1.5562683715820314
resolution_max_b1,6,final,r32_G-,4,saved,train_probe,3.23225048828125
resolution_max_b1,6,final,r32_G-,4,saved,test_probe,3.3200411376953123
resolution_max_b1,6,final,r32_G-,4,recalibrated,train_probe,1.663835693359375
resolution_max_b1,6,final,r32_G-,4,recalibrated,test_probe,1.7710031127929688
resolution_max_b1,12,before,r24_G-,0,saved,train_probe,0.5678358764648438
resolution_max_b1,12,before,r24_G-,0,saved,test_probe,0.6980221252441406
resolution_max_b1,12,before,r24_G-,0,recalibrated,train_probe,0.573742919921875
resolution_max_b1,12,before,r24_G-,0,recalibrated,test_probe,0.6934968566894532
resolution_max_b1,12,before,r24_G-,1,saved,train_probe,0.5121796569824218
resolution_max_b1,12,before,r24_G-,1,saved,test_probe,0.6943160095214844
resolution_max_b1,12,before,r24_G-,1,recalibrated,train_probe,0.5021781463623047
resolution_max_b1,12,before,r24_G-,1,recalibrated,test_probe,0.6875833129882812
resolution_max_b1,12,before,r24_G-,2,saved,train_probe,0.5121905212402343
resolution_max_b1,12,before,r24_G-,2,saved,test_probe,0.6945444641113281
resolution_max_b1,12,before,r24_G-,2,recalibrated,train_probe,0.5013813781738281
resolution_max_b1,12,before,r24_G-,2,recalibrated,test_probe,0.6715369567871093
resolution_max_b1,12,before,r24_G-,3,saved,train_probe,0.5234846038818359
resolution_max_b1,12,before,r24_G-,3,saved,test_probe,0.7369509582519531
resolution_max_b1,12,before,r24_G-,3,recalibrated,train_probe,0.513119384765625
