nom,id,famille,precision_finale_pct,ecart_type_pct,precision_par_graine_pct,ce_test,ce_sonde_entrainement,temps_s,temps_entrainement_s
"Résolution 16→24→32, Gaussian par paliers",Rprog__Gplateau__input_bilinear__all19,Grille principale — résolution × calendrier gaussien,80.71,0.65,"[80.15, 80.57, 81.42]",0.5682,0.3386,700,677
"Résolution 16→24→32, Gaussian par paliers, Max sur l'image",Rprog__Gplateau__input_max__all19,Opérateur et emplacement de la réduction,80.34,0.76,"[79.69, 80.16, 81.17]",0.572,0.3404,738,715
"Résolution 16→24→32, sans filtre, Max après la première convolution",Rprog__Gnone__stem_max__all19,Opérateur et emplacement de la réduction,79.97,0.58,"[79.62, 79.64, 80.64]",0.5894,0.3625,491,476
"Résolution 16→24→32, Gaussian géométrique",Rprog__Ggeo__input_bilinear__all19,Grille principale — résolution × calendrier gaussien,79.91,0.92,"[79.06, 79.77, 80.89]",0.5918,0.3215,709,687
"Résolution 16→24→32, Gaussian par paliers, Max après la première convolution",Rprog__Gplateau__stem_max__all19,Opérateur et emplacement de la réduction,79.81,0.79,"[79.05, 79.76, 80.62]",0.5959,0.366,747,724
"Résolution 16→24→32, sans filtre, Max sur l'image",Rprog__Gnone__input_max__all19,Opérateur et emplacement de la réduction,79.8,0.5,"[79.31, 79.77, 80.31]",0.5969,0.3416,489,475
"Résolution 24→32, Gaussian par paliers",Rgentle__Gplateau__input_bilinear__all19,Grille principale — résolution × calendrier gaussien,79.77,0.72,"[79.27, 79.44, 80.6]",0.5898,0.3599,694,670
"Résolution 24→32, Gaussian géométrique",Rgentle__Ggeo__input_bilinear__all19,Grille principale — résolution × calendrier gaussien,79.68,0.57,"[79.03, 80.01, 80.01]",0.597,0.3045,704,681
"Résolution 16→24→32, Mélange identité–Gaussian",Rprog__Gmix__input_bilinear__all19,Mélange identité–Gaussian,79.51,0.8,"[78.75, 79.44, 80.34]",0.5953,0.4197,783,759
"Résolution 16→24→32, sans filtre",Rprog__Gnone__input_bilinear__all19,Grille principale — résolution × calendrier gaussien,79.48,0.54,"[79.2, 79.14, 80.11]",0.5989,0.3413,492,478
"Ordre inversé 24→16→32, Gaussian par paliers",Rreverse__Gplateau__input_bilinear__all19,Ordre des résolutions,79.33,0.38,"[79.0, 79.24, 79.74]",0.596,0.4259,757,735
"Résolution 16→24→32, Gaussian par paliers, Bilinéaire après la première convolution",Rprog__Gplateau__stem_bilinear__all19,Opérateur et emplacement de la réduction,79.3,0.62,"[78.66, 79.34, 79.89]",0.6062,0.3747,750,728
"Résolution 16→24→32, Gaussian par paliers, Gaussian — 7 insertions",Rprog__Gplateau__input_bilinear__early7,Nombre d'insertions du filtre,79.27,0.57,"[78.7, 79.84, 79.27]",0.6139,0.3572,596,578
"Ordre inversé 24→16→32, sans filtre",Rreverse__Gnone__input_bilinear__all19,Ordre des résolutions,79.23,0.4,"[78.78, 79.56, 79.34]",0.6069,0.3815,467,451
"Résolution 16→24→32, sans filtre, Bilinéaire après la première convolution",Rprog__Gnone__stem_bilinear__all19,Opérateur et emplacement de la réduction,78.91,0.37,"[78.48, 79.1, 79.14]",0.6221,0.3655,484,469
"32 constant, Gaussian par paliers",R32__Gplateau__input_bilinear__all19,Grille principale — résolution × calendrier gaussien,78.69,0.68,"[77.91, 79.07, 79.1]",0.621,0.3784,696,669
"Résolution 24→32, sans filtre",Rgentle__Gnone__input_bilinear__all19,Grille principale — résolution × calendrier gaussien,78.56,0.34,"[78.17, 78.76, 78.76]",0.6265,0.3183,486,470
"32 constant, Gaussian géométrique",R32__Ggeo__input_bilinear__all19,Grille principale — résolution × calendrier gaussien,78.28,0.5,"[77.84, 78.83, 78.18]",0.6575,0.2441,703,676
"32 constant, Mélange identité–Gaussian",R32__Gmix__input_bilinear__all19,Mélange identité–Gaussian,78.18,0.36,"[77.77, 78.44, 78.34]",0.6306,0.4719,789,760
"Témoin — 32 constant, sans filtre",R32__Gnone__input_bilinear__all19,Grille principale — résolution × calendrier gaussien,75.62,0.49,"[75.13, 75.62, 76.1]",0.7552,0.2101,489,472
"32 constant, Gaussian par paliers, Gaussian — 7 insertions",R32__Gplateau__input_bilinear__early7,Nombre d'insertions du filtre,75.24,0.74,"[75.43, 74.42, 75.86]",0.7381,0.3279,593,570
