seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,alpha_mean,alpha_min_group,alpha_max_group,alpha_groups,test_loss,test_acc,test_acc_at_s1,test_acc_at_a0,test_loss_at_a0,ratio_mean,ratio_last_block,grad_norm_mean,grad_norm_total,linear_gap_mean,neg_frac_mean,dead_frac_mean
1,0,0.020000000000000004,2.0790787629592113,0.22916666666666666,4.198712110519409,1188.936004326921,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.961025641025641,0.961025641025641,0.961025641025641,[0.961025641025641],2.2591948974609375,0.2779,0.2779,0.1921,2.18373427734375,nan,nan,3.4988189145239668,12.08940776762371,0.027496680636729276,0.4997672964544857,0.0
1,1,0.04000000000000001,1.9616830073870146,0.30068108974358976,4.167525768280029,1197.8330255316544,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.921025641025641,0.921025641025641,0.921025641025641,[0.921025641025641],1.9913197387695312,0.2953,0.2953,0.1924,2.1449992431640625,,,,,,,
1,2,0.06,1.9302815535129645,0.297275641025641,4.15833306312561,1200.4810399308813,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.8810256410256411,0.8810256410256411,0.8810256410256411,[0.8810256410256411],1.9046237548828124,0.3309,0.3309,0.199,2.154612890625,,,,,,,
1,3,0.08000000000000002,1.8798839373466296,0.31790865384615385,4.156474828720093,1201.0177387594554,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.841025641025641,0.841025641025641,0.841025641025641,[0.841025641025641],1.9518357177734376,0.3273,0.3273,0.2306,2.1214189208984373,,,,,,,
1,4,0.1,1.809901937460288,0.34375,4.151637077331543,1202.4172409618711,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.801025641025641,0.801025641025641,0.801025641025641,[0.801025641025641],2.04562958984375,0.3063,0.3063,0.257,2.1655192138671877,,,,,,,
1,5,0.09988436608295112,1.7706346389574883,0.35096153846153844,4.203346014022827,1187.6252831306622,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.7610256410256411,0.7610256410256411,0.7610256410256411,[0.7610256410256411],1.827038916015625,0.3303,0.3303,0.228,2.148210400390625,,,,,,,
1,6,0.09952578065845874,1.6883314358882415,0.3886217948717949,4.159761905670166,1200.068684987814,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.721025641025641,0.721025641025641,0.721025641025641,[0.721025641025641],1.9700725219726563,0.3256,0.3256,0.2428,2.1860841796875,,,,,,,
1,7,0.09892591060891241,1.6627633174260457,0.3870192307692308,4.163316965103149,1199.0439454509126,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.681025641025641,0.681025641025641,0.681025641025641,[0.681025641025641],1.6100737915039063,0.4126,0.4126,0.3005,2.0887429565429687,,,,,,,
1,8,0.0980876784408948,1.6072353827647674,0.4238782051282051,4.16483211517334,1198.6077378276827,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.641025641025641,0.641025641025641,0.641025641025641,[0.641025641025641],1.6671402221679688,0.394,0.394,0.3113,2.010155383300781,,,,,,,
1,9,0.09701516793726968,1.5638138300333269,0.43369391025641024,4.161667108535767,1199.5192959478145,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.601025641025641,0.601025641025641,0.601025641025641,[0.601025641025641],1.62336748046875,0.4174,0.4174,0.3136,1.994009228515625,,,,,,,
1,10,0.09571360426140235,1.5219537325394459,0.43669871794871795,4.170636892318726,1196.9394912307089,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.561025641025641,0.561025641025641,0.561025641025641,[0.561025641025641],1.5752200439453126,0.4251,0.4251,0.3083,2.058588330078125,nan,nan,0.835238566402218,2.765623083363786,0.3056819038576063,0.49822064708260927,0.0
1,11,0.0941893285006889,1.4932380884121625,0.4557291666666667,4.159764051437378,1200.0680659459636,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.5210256410256411,0.5210256410256411,0.5210256410256411,[0.5210256410256411],1.4907020263671875,0.4459,0.4459,0.3615,1.82251484375,,,,,,,
1,12,0.09244976677341583,1.453177931981209,0.4733573717948718,4.169114112854004,1197.3766764044465,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.48102564102564105,0.48102564102564105,0.48102564102564105,[0.48102564102564105],1.5307272216796874,0.4428,0.4428,0.4047,1.6801673706054687,,,,,,,
1,13,0.09050339404945834,1.4018301321909978,0.49038461538461536,4.197657108306885,1189.2348210436635,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.441025641025641,0.441025641025641,0.441025641025641,[0.441025641025641],1.4559844604492187,0.4757,0.4757,0.3888,1.7643957153320313,,,,,,,
1,14,0.08835969286107881,1.368683439034682,0.5082131410256411,9.450624942779541,528.2190363309237,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.401025641025641,0.401025641025641,0.401025641025641,[0.401025641025641],1.6261870849609374,0.4342,0.4342,0.4401,1.6118348754882812,,,,,,,
1,15,0.08602910710498296,1.338513126740089,0.5106169871794872,9.506469964981079,525.1160544754255,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.36102564102564105,0.36102564102564105,0.36102564102564105,[0.36102564102564105],1.3434533447265624,0.5121,0.5121,0.4633,1.5426309692382814,,,,,,,
1,16,0.08352299116070482,1.3016306803776667,0.5284455128205128,9.483633041381836,526.380552496855,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.321025641025641,0.321025641025641,0.321025641025641,[0.321025641025641],1.4576610961914063,0.4801,0.4801,0.49,1.4379385131835938,,,,,,,
1,17,0.08085355457321099,1.2374129753846388,0.5568910256410257,9.46237325668335,527.5632089945417,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.281025641025641,0.281025641025641,0.281025641025641,[0.281025641025641],1.3811439697265624,0.5082,0.5082,0.5018,1.396872216796875,,,,,,,
1,18,0.07803380256922494,1.2082061171531677,0.5534855769230769,5.840054988861084,854.7864719632597,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.24102564102564106,0.24102564102564106,0.24102564102564106,[0.24102564102564106],1.3399399047851563,0.5206,0.5206,0.5172,1.3717169067382813,,,,,,,
1,19,0.07507747269706962,1.1515373205527282,0.5819310897435898,4.171802997589111,1196.6049218730802,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.20102564102564102,0.20102564102564102,0.20102564102564102,[0.20102564102564102],1.2711950073242186,0.5497,0.5497,0.5378,1.2875576171875,,,,,,,
1,20,0.0719989678987129,1.0880111364217906,0.6083733974358975,4.1613450050354,1199.6121431795423,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.161025641025641,0.161025641025641,0.161025641025641,[0.161025641025641],1.203548046875,0.5756,0.5756,0.5728,1.2218072875976562,nan,nan,1.0569563702035079,3.1812408770891087,0.5808646257987456,0.4961841527153464,0.0
1,21,0.0688132863400822,1.0499589137541943,0.625,4.167811155319214,1197.7510050158837,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.12102564102564106,0.12102564102564106,0.12102564102564106,[0.12102564102564106],1.4817534545898436,0.5139,0.5139,0.5549,1.263984521484375,,,,,,,
1,22,0.06553594834150754,0.9888903009585845,0.6470352564102564,4.1652281284332275,1198.4937789896678,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.08102564102564103,0.08102564102564103,0.08102564102564103,[0.08102564102564103],1.1751542846679688,0.5965,0.5965,0.597,1.152706201171875,,,,,,,
