seed,probe,method,trace_ordinary_below_plain,trace_ordinary_resolved_2sem,trace_relative_below_plain,trace_relative_resolved_2sem,trace_covariance_below_plain,trace_covariance_resolved_2sem,lambda_top1_ordinary_below_plain,lambda_top1_relative_below_plain,ordinary_lambda_and_trace_agree,relative_lambda_and_trace_agree
0,test_probe,gaussian_postrelu,True,True,True,True,True,True,True,True,True,True
0,test_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
0,test_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
0,train_probe,gaussian_postrelu,True,True,True,True,True,False,True,True,True,True
0,train_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
0,train_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
1,test_probe,gaussian_postrelu,True,True,True,True,True,True,True,True,True,True
1,test_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
1,test_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
1,train_probe,gaussian_postrelu,True,True,True,True,True,True,True,True,True,True
1,train_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
1,train_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
2,test_probe,gaussian_postrelu,True,True,True,True,True,True,True,True,True,True
2,test_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
2,test_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
2,train_probe,gaussian_postrelu,True,True,True,True,True,True,True,True,True,True
2,train_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
2,train_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
3,test_probe,gaussian_postrelu,True,True,True,True,True,True,True,True,True,True
3,test_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
3,test_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
3,train_probe,gaussian_postrelu,True,True,True,True,True,False,True,True,True,True
3,train_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
3,train_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
4,test_probe,gaussian_postrelu,True,True,True,True,True,True,True,True,True,True
4,test_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
4,test_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
4,train_probe,gaussian_postrelu,True,True,True,True,False,True,True,True,True,True
4,train_probe,resolution_max_b1,True,True,True,True,True,True,True,True,True,True
4,train_probe,resolution_max_b1_gaussian_conv,True,True,True,True,True,True,True,True,True,True
