seed,probe,quantity,ascending_order
0,test_probe,lambda_top1_ordinary,RG < G < R < Plain
0,test_probe,lambda_top1_relative,RG < G < R < Plain
0,test_probe,trace_ordinary,RG < G < R < Plain
0,test_probe,trace_relative,RG < R < G < Plain
0,test_probe,trace_covariance,RG < R < G < Plain
0,test_probe,quadform_20dir_mean,RG < R < G < Plain
0,train_probe,lambda_top1_ordinary,RG < G < R < Plain
0,train_probe,lambda_top1_relative,RG < G < R < Plain
0,train_probe,trace_ordinary,RG < R < G < Plain
0,train_probe,trace_relative,RG < R < G < Plain
0,train_probe,trace_covariance,RG < R < G < Plain
0,train_probe,quadform_20dir_mean,RG < R < Plain < G
1,test_probe,lambda_top1_ordinary,RG < G < R < Plain
1,test_probe,lambda_top1_relative,RG < R < G < Plain
1,test_probe,trace_ordinary,RG < G < R < Plain
1,test_probe,trace_relative,RG < R < G < Plain
1,test_probe,trace_covariance,RG < R < G < Plain
1,test_probe,quadform_20dir_mean,RG < R < G < Plain
1,train_probe,lambda_top1_ordinary,RG < G < R < Plain
1,train_probe,lambda_top1_relative,RG < G < R < Plain
1,train_probe,trace_ordinary,RG < G < R < Plain
1,train_probe,trace_relative,RG < R < G < Plain
1,train_probe,trace_covariance,RG < R < G < Plain
1,train_probe,quadform_20dir_mean,RG < R < G < Plain
2,test_probe,lambda_top1_ordinary,RG < G < R < Plain
2,test_probe,lambda_top1_relative,RG < G < R < Plain
2,test_probe,trace_ordinary,RG < R < G < Plain
2,test_probe,trace_relative,RG < R < G < Plain
2,test_probe,trace_covariance,RG < R < G < Plain
2,test_probe,quadform_20dir_mean,RG < R < G < Plain
2,train_probe,lambda_top1_ordinary,RG < G < R < Plain
2,train_probe,lambda_top1_relative,RG < G < R < Plain
2,train_probe,trace_ordinary,RG < R < G < Plain
2,train_probe,trace_relative,RG < R < G < Plain
2,train_probe,trace_covariance,RG < R < G < Plain
2,train_probe,quadform_20dir_mean,RG < R < G < Plain
3,test_probe,lambda_top1_ordinary,RG < G < R < Plain
3,test_probe,lambda_top1_relative,RG < G < R < Plain
3,test_probe,trace_ordinary,RG < G < R < Plain
3,test_probe,trace_relative,RG < G < R < Plain
3,test_probe,trace_covariance,RG < R < G < Plain
3,test_probe,quadform_20dir_mean,RG < R < G < Plain
3,train_probe,lambda_top1_ordinary,RG < G < R < Plain
3,train_probe,lambda_top1_relative,RG < G < R < Plain
3,train_probe,trace_ordinary,RG < G < R < Plain
3,train_probe,trace_relative,RG < G < R < Plain
3,train_probe,trace_covariance,RG < R < G < Plain
3,train_probe,quadform_20dir_mean,RG < R < Plain < G
4,test_probe,lambda_top1_ordinary,RG < G < R < Plain
4,test_probe,lambda_top1_relative,RG < G < R < Plain
4,test_probe,trace_ordinary,RG < R < G < Plain
4,test_probe,trace_relative,RG < R < G < Plain
4,test_probe,trace_covariance,RG < R < G < Plain
4,test_probe,quadform_20dir_mean,RG < R < G < Plain
4,train_probe,lambda_top1_ordinary,RG < G < R < Plain
4,train_probe,lambda_top1_relative,RG < G < R < Plain
4,train_probe,trace_ordinary,RG < R < G < Plain
4,train_probe,trace_relative,RG < R < G < Plain
4,train_probe,trace_covariance,RG < R < Plain < G
4,train_probe,quadform_20dir_mean,RG < R < Plain < G
