policy,split,method,amplitude,mean_delta,sd_delta,n_seeds,n_seeds_below_plain
centre_frozen,train_probe,resolution_max_b1,0.005,-0.0006256404495239001,0.00023600611657485638,5,5
centre_frozen,train_probe,resolution_max_b1,0.01,-0.00231001388549806,0.0007063190871118377,5,5
centre_frozen,train_probe,resolution_max_b1,0.02,-0.008910550308227561,0.0023313053927768996,5,5
centre_frozen,train_probe,resolution_max_b1,0.025,-0.013981828689575159,0.003419871703476484,5,5
centre_frozen,train_probe,resolution_max_b1,0.05,-0.05972382614135746,0.01105271788792115,5,5
centre_frozen,train_probe,resolution_max_b1,0.1,-0.26827393005371086,0.03790528626208519,5,5
centre_frozen,train_probe,resolution_max_b1,0.2,-1.053698433532715,0.16354339661769995,5,5
centre_frozen,train_probe,resolution_max_b1,0.25,-1.4621869482421879,0.27964335313555533,5,5
centre_frozen,train_probe,resolution_max_b1,0.35,-2.0862051464843754,0.7692609800550247,5,5
centre_frozen,train_probe,resolution_max_b1,0.5,-3.140928528442386,2.014210831807244,5,5
centre_frozen,train_probe,gaussian_postrelu,0.005,-0.00022113040924071997,0.00023079052959335965,5,4
centre_frozen,train_probe,gaussian_postrelu,0.01,-0.0006296940231323397,0.0008336709309032496,5,4
centre_frozen,train_probe,gaussian_postrelu,0.02,-0.00185463729858402,0.0034396404216149425,5,3
centre_frozen,train_probe,gaussian_postrelu,0.025,-0.0024938029861450396,0.005577711593020079,5,3
centre_frozen,train_probe,gaussian_postrelu,0.05,-0.004058301544189463,0.025670471291551467,5,2
centre_frozen,train_probe,gaussian_postrelu,0.1,-0.025633215332031202,0.10920209896009168,5,2
centre_frozen,train_probe,gaussian_postrelu,0.2,-0.46441217498779325,0.3517238543699684,5,5
centre_frozen,train_probe,gaussian_postrelu,0.25,-0.9000442996215818,0.41689536224518814,5,5
centre_frozen,train_probe,gaussian_postrelu,0.35,-1.9447431158447266,0.49257909704888364,5,5
centre_frozen,train_probe,gaussian_postrelu,0.5,-4.320099135131839,1.3789217222835433,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.005,-0.0007221467208862201,0.0002467292655231891,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.01,-0.00269125968933104,0.0007642905750975948,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.02,-0.010446756820678721,0.0023661169299728584,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.025,-0.01643219139099124,0.0033343075046084665,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.05,-0.07016492141723633,0.009823983400488429,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.1,-0.3144587515258789,0.03988265511072829,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.2,-1.243020147857666,0.25960645309294433,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.25,-1.7647046398925785,0.45305199028395193,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.35,-2.7067671551513675,1.0701424359317602,5,5
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.5,-4.600644903564456,2.5930436161024497,5,5
centre_frozen,test_probe,resolution_max_b1,0.005,-0.00031987762451171994,0.0001481603582549052,5,5
centre_frozen,test_probe,resolution_max_b1,0.01,-0.0015014477539062802,0.00045767894483148886,5,5
centre_frozen,test_probe,resolution_max_b1,0.02,-0.0070502188110351995,0.0012498548136538562,5,5
centre_frozen,test_probe,resolution_max_b1,0.025,-0.01139980667114264,0.0018073642871207702,5,5
centre_frozen,test_probe,resolution_max_b1,0.05,-0.04838530029296876,0.0064700527582730585,5,5
centre_frozen,test_probe,resolution_max_b1,0.1,-0.2122840647888185,0.03693200580263821,5,5
centre_frozen,test_probe,resolution_max_b1,0.2,-0.8722482556152344,0.1546340271402179,5,5
centre_frozen,test_probe,resolution_max_b1,0.25,-1.2360704373168947,0.2403761743973885,5,5
centre_frozen,test_probe,resolution_max_b1,0.35,-1.8331529821777353,0.7102214797239143,5,5
centre_frozen,test_probe,resolution_max_b1,0.5,-2.8916290588378906,1.9702573298506076,5,5
centre_frozen,test_probe,gaussian_postrelu,0.005,-5.668052673336002e-05,0.00024860494704171873,5,2
centre_frozen,test_probe,gaussian_postrelu,0.01,-0.0005137886047363201,0.0008218150156174463,5,4
centre_frozen,test_probe,gaussian_postrelu,0.02,-0.002410148239135739,0.003317293205330709,5,4
centre_frozen,test_probe,gaussian_postrelu,0.025,-0.0034466145324707417,0.005469650650538394,5,3
centre_frozen,test_probe,gaussian_postrelu,0.05,-0.0036067677307128785,0.026125456693295197,5,3
centre_frozen,test_probe,gaussian_postrelu,0.1,0.006740700683593626,0.11006654119604457,5,2
centre_frozen,test_probe,gaussian_postrelu,0.2,-0.31436468475341817,0.368130265945681,5,4
centre_frozen,test_probe,gaussian_postrelu,0.25,-0.7033857067871094,0.42314664311207456,5,5
centre_frozen,test_probe,gaussian_postrelu,0.35,-1.7091033386230472,0.4502615601773085,5,5
centre_frozen,test_probe,gaussian_postrelu,0.5,-4.03859898010254,1.3315100803351796,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.005,-0.00047734893798828004,0.00012080998313109054,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.01,-0.00205553337097172,0.00046329347637979985,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.02,-0.00881344085693366,0.0017985598069297799,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.025,-0.014001020507812562,0.0026512678749188346,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.05,-0.05765314483642582,0.008441902977672134,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.1,-0.24765725662231453,0.045546510634473604,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.2,-1.0388669564819335,0.24311919043026575,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.25,-1.511430445861817,0.40619961875582106,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.35,-2.4223868255615235,1.0074133660161124,5,5
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.5,-4.2903139428710935,2.55928986923369,5,5
recalibrated,train_probe,resolution_max_b1,0.005,-0.0002732780075073001,0.00015358844072929203,5,5
recalibrated,train_probe,resolution_max_b1,0.01,-0.0009601545715332199,0.00043331125402257617,5,5
recalibrated,train_probe,resolution_max_b1,0.02,-0.003330282020568841,0.0012770088570892323,5,5
recalibrated,train_probe,resolution_max_b1,0.025,-0.005001470069885281,0.001863809933015542,5,5
recalibrated,train_probe,resolution_max_b1,0.05,-0.017498008842468236,0.005822603916663706,5,5
recalibrated,train_probe,resolution_max_b1,0.1,-0.06125487083435057,0.016809852751710187,5,5
recalibrated,train_probe,resolution_max_b1,0.2,-0.18969011001586905,0.04369395957615665,5,5
recalibrated,train_probe,resolution_max_b1,0.25,-0.25700719757080076,0.054719998547914775,5,5
recalibrated,train_probe,resolution_max_b1,0.35,-0.37222272491455083,0.06839424145592274,5,5
recalibrated,train_probe,resolution_max_b1,0.5,-0.4561356893920901,0.060468740707811,5,5
recalibrated,train_probe,gaussian_postrelu,0.005,1.966865539553995e-05,0.00011220837612561742,5,1
recalibrated,train_probe,gaussian_postrelu,0.01,0.0002693221282959,0.00036659870263215004,5,1
recalibrated,train_probe,gaussian_postrelu,0.02,0.0017459954452514793,0.0015543076028559698,5,1
recalibrated,train_probe,gaussian_postrelu,0.025,0.0031909200668334796,0.002689540431251872,5,1
recalibrated,train_probe,gaussian_postrelu,0.05,0.01919961059570316,0.012838023117500465,5,0
recalibrated,train_probe,gaussian_postrelu,0.1,0.08351630653381352,0.04286396054220405,5,0
recalibrated,train_probe,gaussian_postrelu,0.2,0.21293277481079106,0.09454803546313899,5,0
recalibrated,train_probe,gaussian_postrelu,0.25,0.24048544845581055,0.11573789969887277,5,0
recalibrated,train_probe,gaussian_postrelu,0.35,0.1894368338012698,0.13979355881860112,5,0
recalibrated,train_probe,gaussian_postrelu,0.5,-0.041430741577148655,0.14525648836249036,5,3
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.005,-0.00028231288909910006,0.00016775113979135154,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.01,-0.00098533309936526,0.0005211836852777146,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.02,-0.0035011814498901207,0.0015993341964203572,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.025,-0.00530660030364992,0.002311677011103551,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.05,-0.01909220287322994,0.007415561262223068,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.1,-0.06796291053771972,0.024992097117535302,5,5
