method,seed,a,b,bn_policy,train_probe_ce,test_probe_ce,train_probe_acc,test_probe_acc,source,train_probe_ce_centred,test_probe_ce_centred
plain,0,-0.5,-0.5,pointwise,4.40173828125,4.42411962890625,0.144,0.144,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,4.179557968139648,3.6670892333984373
plain,0,-0.5,-0.5,centre_frozen,33.4223828125,33.572357421875,0.123,0.107,geometry_final:cfgrid__plain__seed0.jsonl,33.20020249938965,32.815327026367186
plain,0,-0.5,-0.475,pointwise,4.2941240234375,4.336025146484375,0.15,0.141,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,4.071943710327148,3.5789947509765625
plain,0,-0.5,-0.475,centre_frozen,31.5544970703125,31.6769033203125,0.127,0.111,geometry_final:cfgrid__plain__seed0.jsonl,31.33231675720215,30.91987292480469
plain,0,-0.5,-0.45,pointwise,4.1980849609375,4.24391015625,0.15,0.148,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.9759046478271483,3.4868797607421875
plain,0,-0.5,-0.45,centre_frozen,29.691900390625,29.803423828125,0.129,0.115,geometry_final:cfgrid__plain__seed0.jsonl,29.46972007751465,29.046393432617187
plain,0,-0.5,-0.425,pointwise,4.10614794921875,4.150648193359375,0.153,0.15,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.883967636108398,3.3936177978515625
plain,0,-0.5,-0.425,centre_frozen,27.8366416015625,27.9475654296875,0.129,0.121,geometry_final:cfgrid__plain__seed0.jsonl,27.61446128845215,27.19053503417969
plain,0,-0.5,-0.4,pointwise,4.021299560546875,4.058937255859375,0.157,0.164,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.799119247436523,3.3019068603515622
plain,0,-0.5,-0.4,centre_frozen,25.989353515625,26.120939453125,0.129,0.122,geometry_final:cfgrid__plain__seed0.jsonl,25.767173202514652,25.36390905761719
plain,0,-0.5,-0.375,pointwise,3.9341092529296877,3.96916943359375,0.166,0.163,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.711928939819336,3.2121390380859376
plain,0,-0.5,-0.375,centre_frozen,24.168927734375,24.34843359375,0.13,0.128,geometry_final:cfgrid__plain__seed0.jsonl,23.94674742126465,23.591403198242187
plain,0,-0.5,-0.35,pointwise,3.848834228515625,3.87525927734375,0.176,0.182,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.6266539154052735,3.1182288818359374
plain,0,-0.5,-0.35,centre_frozen,22.421107421875,22.6310966796875,0.138,0.13,geometry_final:cfgrid__plain__seed0.jsonl,22.19892710876465,21.874066284179687
plain,0,-0.5,-0.325,pointwise,3.7699493408203124,3.7852119140625,0.176,0.18,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.5477690277099607,3.028181518554687
plain,0,-0.5,-0.325,centre_frozen,20.742841796875,20.953109375,0.145,0.134,geometry_final:cfgrid__plain__seed0.jsonl,20.52066148376465,20.19607897949219
plain,0,-0.5,-0.3,pointwise,3.6894676513671874,3.700752685546875,0.185,0.183,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.4672873382568357,2.9437222900390623
plain,0,-0.5,-0.3,centre_frozen,19.132587890625,19.3089580078125,0.146,0.137,geometry_final:cfgrid__plain__seed0.jsonl,18.91040757751465,18.551927612304688
plain,0,-0.5,-0.275,pointwise,3.61162939453125,3.6136326904296876,0.195,0.186,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.3894490814208984,2.856602294921875
plain,0,-0.5,-0.275,centre_frozen,17.606109375,17.788796875,0.152,0.146,geometry_final:cfgrid__plain__seed0.jsonl,17.38392906188965,17.031766479492187
plain,0,-0.5,-0.25,pointwise,3.5340234375,3.53106494140625,0.201,0.192,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.3118431243896485,2.7740345458984375
plain,0,-0.5,-0.25,centre_frozen,16.21332373046875,16.3904130859375,0.153,0.159,geometry_final:cfgrid__plain__seed0.jsonl,15.9911434173584,15.633382690429688
plain,0,-0.5,-0.225,pointwise,3.4587781982421877,3.4585506591796875,0.21,0.203,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.236597885131836,2.701520263671875
plain,0,-0.5,-0.225,centre_frozen,15.0032666015625,15.1642431640625,0.158,0.164,geometry_final:cfgrid__plain__seed0.jsonl,14.781086288452148,14.407212768554688
plain,0,-0.5,-0.2,pointwise,3.3916263427734377,3.3934219970703126,0.21,0.2,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.169446029663086,2.6363916015625
plain,0,-0.5,-0.2,centre_frozen,14.0350390625,14.187166015625,0.159,0.161,geometry_final:cfgrid__plain__seed0.jsonl,13.812858749389648,13.430135620117188
plain,0,-0.5,-0.175,pointwise,3.3322813720703124,3.33033935546875,0.215,0.209,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.1101010589599607,2.5733089599609373
plain,0,-0.5,-0.175,centre_frozen,13.37464892578125,13.5109755859375,0.149,0.155,geometry_final:cfgrid__plain__seed0.jsonl,13.152468612670898,12.753945190429688
plain,0,-0.5,-0.15,pointwise,3.2849158935546874,3.2681202392578124,0.225,0.229,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.0627355804443357,2.5110898437499998
plain,0,-0.5,-0.15,centre_frozen,13.06097998046875,13.1433720703125,0.143,0.147,geometry_final:cfgrid__plain__seed0.jsonl,12.838799667358398,12.386341674804688
plain,0,-0.5,-0.125,pointwise,3.247050537109375,3.20747900390625,0.228,0.234,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,3.0248702239990233,2.4504486083984376
plain,0,-0.5,-0.125,centre_frozen,13.0121982421875,13.0633291015625,0.128,0.127,geometry_final:cfgrid__plain__seed0.jsonl,12.790017929077148,12.306298706054688
plain,0,-0.5,-0.1,pointwise,3.214790771484375,3.1498883056640623,0.236,0.246,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.992610458374023,2.3928579101562497
plain,0,-0.5,-0.1,centre_frozen,13.143294921875,13.18109619140625,0.11,0.113,geometry_final:cfgrid__plain__seed0.jsonl,12.921114608764649,12.424065795898438
plain,0,-0.5,-0.075,pointwise,3.1865992431640624,3.0952208251953124,0.246,0.258,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.9644189300537107,2.3381904296875
plain,0,-0.5,-0.075,centre_frozen,13.40215771484375,13.4111171875,0.107,0.116,geometry_final:cfgrid__plain__seed0.jsonl,13.179977401733398,12.654086791992189
plain,0,-0.5,-0.05,pointwise,3.1552384033203125,3.0482098388671877,0.262,0.26,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.9330580902099608,2.291179443359375
plain,0,-0.5,-0.05,centre_frozen,13.7447783203125,13.70681396484375,0.102,0.119,geometry_final:cfgrid__plain__seed0.jsonl,13.522598007202149,12.949783569335938
plain,0,-0.5,-0.025,pointwise,3.1290111083984375,3.007224609375,0.282,0.267,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.906830795288086,2.2501942138671875
plain,0,-0.5,-0.025,centre_frozen,14.12381591796875,14.030361328125,0.103,0.117,geometry_final:cfgrid__plain__seed0.jsonl,13.901635604858399,13.273330932617188
plain,0,-0.5,0.0,pointwise,3.1158416748046873,2.977993896484375,0.295,0.261,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.8936613616943356,2.2209635009765623
plain,0,-0.5,0.0,centre_frozen,14.5273984375,14.3820380859375,0.099,0.115,v3:pts__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,14.305218124389649,13.625007690429689
plain,0,-0.5,0.025,pointwise,3.108958984375,2.96511572265625,0.288,0.263,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.8867786712646484,2.2080853271484373
plain,0,-0.5,0.025,centre_frozen,14.95543359375,14.7502236328125,0.103,0.114,geometry_final:cfgrid__plain__seed0.jsonl,14.733253280639648,13.993193237304688
plain,0,-0.5,0.05,pointwise,3.0996085205078123,2.96655859375,0.289,0.275,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.8774282073974606,2.2095281982421873
plain,0,-0.5,0.05,centre_frozen,15.41513720703125,15.1531044921875,0.102,0.114,geometry_final:cfgrid__plain__seed0.jsonl,15.192956893920899,14.396074096679689
plain,0,-0.5,0.075,pointwise,3.0959102783203125,2.9825328369140625,0.284,0.268,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.873729965209961,2.22550244140625
plain,0,-0.5,0.075,centre_frozen,15.91304443359375,15.61202490234375,0.103,0.114,geometry_final:cfgrid__plain__seed0.jsonl,15.690864120483399,14.854994506835938
plain,0,-0.5,0.1,pointwise,3.094739501953125,2.9985462646484375,0.288,0.263,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.8725591888427733,2.241515869140625
plain,0,-0.5,0.1,centre_frozen,16.4919736328125,16.13477392578125,0.109,0.119,geometry_final:cfgrid__plain__seed0.jsonl,16.26979331970215,15.377743530273438
plain,0,-0.5,0.125,pointwise,3.09919677734375,3.022199951171875,0.287,0.261,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.877016464233398,2.2651695556640625
plain,0,-0.5,0.125,centre_frozen,17.13708203125,16.73971484375,0.104,0.121,geometry_final:cfgrid__plain__seed0.jsonl,16.91490171813965,15.982684448242189
plain,0,-0.5,0.15,pointwise,3.10600390625,3.0462021484375,0.276,0.25,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.883823593139648,2.2891717529296876
plain,0,-0.5,0.15,centre_frozen,17.8592802734375,17.459810546875,0.105,0.126,geometry_final:cfgrid__plain__seed0.jsonl,17.63709996032715,16.70278015136719
plain,0,-0.5,0.175,pointwise,3.1167664794921874,3.072825927734375,0.26,0.255,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.8945861663818357,2.3157955322265624
plain,0,-0.5,0.175,centre_frozen,18.672615234375,18.271525390625,0.11,0.12,geometry_final:cfgrid__plain__seed0.jsonl,18.45043492126465,17.51449499511719
plain,0,-0.5,0.2,pointwise,3.1409429931640624,3.0984267578125,0.25,0.246,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.9187626800537108,2.3413963623046876
plain,0,-0.5,0.2,centre_frozen,19.5876015625,19.1544990234375,0.109,0.121,geometry_final:cfgrid__plain__seed0.jsonl,19.36542124938965,18.397468627929687
plain,0,-0.5,0.225,pointwise,3.1761085205078126,3.132267578125,0.251,0.238,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.953928207397461,2.3752371826171874
plain,0,-0.5,0.225,centre_frozen,20.600625,20.131876953125,0.112,0.123,geometry_final:cfgrid__plain__seed0.jsonl,20.37844468688965,19.37484655761719
plain,0,-0.5,0.25,pointwise,3.211798828125,3.171439208984375,0.247,0.231,v3:grid__plain__seed0__epoch_030__r-_G-__probes__f32.jsonl,2.9896185150146484,2.4144088134765624
