objective,draw,trace_ordinary_cv,trace_relative_cv,trace_covariance_cv
combined_s0_test_centre_frozen,0,13079.14384501642,21444.162578925418,95.25742462057674
combined_s0_test_centre_frozen,1,13553.535353345504,21771.30227743993,68.47238410494104
combined_s0_test_centre_frozen,2,7450.958455685716,12175.885035650692,64.4104821721344
combined_s0_test_centre_frozen,3,7945.524582593113,12664.813368856101,40.252995104297156
combined_s0_test_centre_frozen,4,10654.86732568819,17143.388687388033,62.00755876521095
combined_s0_test_centre_frozen,5,7036.376471641648,11208.224079308124,49.49304639743008
combined_s0_test_centre_frozen,6,9430.976792312558,15330.934600103892,62.29463700708097
combined_s0_test_centre_frozen,7,11321.374234811881,18599.069346047512,79.65349896503066
combined_s0_test_centre_frozen,8,14268.329517362428,22941.887749901864,100.1809709166476
combined_s0_test_centre_frozen,9,14972.502753496663,23672.17241464227,72.17996338008615
combined_s0_test_centre_frozen,10,9668.004120687488,15827.139772899136,79.70961486605701
combined_s0_test_centre_frozen,11,5138.12388021069,8583.393320083287,48.2535389724719
combined_s0_test_centre_frozen,12,14730.924455101329,24284.90025157333,128.12890028357705
combined_s0_test_centre_frozen,13,7349.337191268417,11730.328148453282,56.456591828650595
combined_s0_test_centre_frozen,14,7292.044170816614,11972.396422834016,55.90249880294198
combined_s0_test_centre_frozen,15,10845.512775517545,17813.66550806421,96.63213325609462
combined_s0_test_centre_frozen,16,7500.260272031263,12170.721742824191,44.716340934417005
combined_s0_test_centre_frozen,17,8657.628335341677,13745.3714732282,78.68289304604066
combined_s0_test_centre_frozen,18,9209.826729495899,15191.773925657686,81.69552194718808
combined_s0_test_centre_frozen,19,10510.113589975703,17523.913936571145,92.03762074929057
combined_s0_test_centre_frozen,20,16675.559162081787,26235.383882754955,108.49645684812423
combined_s0_test_centre_frozen,21,16776.633755041326,26854.325696577536,111.94228242917846
combined_s0_test_centre_frozen,22,10865.111725200357,17006.18856045951,71.96714696183396
combined_s0_test_centre_frozen,23,8118.292433461884,13269.393829045524,59.44447964387561
combined_s0_test_centre_frozen,24,9964.49936263579,16416.093816666664,84.28008605688424
combined_s0_test_centre_frozen,25,7926.8322979536415,12641.964655075093,48.89057444886977
combined_s0_test_centre_frozen,26,9509.142269557231,15201.293078658911,61.89990656638758
combined_s0_test_centre_frozen,27,16112.75284053191,25771.530207180585,90.99261153243984
combined_s0_test_centre_frozen,28,9730.435798106197,15708.51182181516,67.25562941347023
combined_s0_test_centre_frozen,29,16502.262097754767,26128.896746088656,100.24245798740297
combined_s0_test_centre_frozen,30,8411.346975075065,13738.73173449105,49.89962932109506
combined_s0_test_centre_frozen,31,9593.397441891208,15311.631491105,60.21436419696088
combined_s0_test_centre_frozen,32,9094.125549257147,15191.063604988372,50.433312211910135
