seed,probe,method,quantity,n_shared_draws,diff_vs_plain,diff_mc_sem,diff_z,diff_resolved_2sem,ratio_to_plain,ratio_mc_sem,unpaired_sem_would_be
0,test_probe,resolution_max_b1,trace_ordinary,128.0,-8633.7328585549,731.2089366392518,-11.807477214702624,True,0.5651036603796804,0.026065128196409503,716.6996296826609
0,test_probe,resolution_max_b1,trace_relative,128.0,-13995.200453303178,1178.8633011436123,-11.871775497402005,True,0.5613391748107841,0.025990470119051607,1150.5329789159578
0,test_probe,resolution_max_b1,trace_covariance,128.0,-60.46245822044913,5.302270609393389,-11.403125693610418,True,0.5726454014758016,0.02596889577319526,5.146849589257387
0,test_probe,gaussian_postrelu,trace_ordinary,128.0,-8640.168488478856,704.7490762570305,-12.259921693501704,True,0.5647794863586709,0.02433122240651854,695.8222917133253
0,test_probe,gaussian_postrelu,trace_relative,128.0,-12968.513022187102,1125.6381434708621,-11.521031956325848,True,0.5935193180854363,0.024855285250049774,1123.920602382329
0,test_probe,gaussian_postrelu,trace_covariance,128.0,-26.123854454055525,5.617311789472216,-4.65059719544427,True,0.8153540285872524,0.036024091565719174,6.240916033973888
0,test_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-10059.239378656688,654.4532397179352,-15.370447830607654,True,0.49329838474124316,0.020291707573897057,684.6968923552545
0,test_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-16003.856166290678,1049.4489816333974,-15.249770542805942,True,0.4983805501365541,0.02024705312436391,1100.170187255239
0,test_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-68.5836008230744,4.743165857572525,-14.459456591335469,True,0.5152443672034489,0.02090506437049014,5.05164109283328
0,test_probe,resolution_max_b1,lambda_top1_ordinary,,-1358.514949482034,,,,0.54853175987365,,
0,test_probe,resolution_max_b1,lambda_top1_relative,,-2207.457275308985,,,,0.541692449419616,,
0,test_probe,resolution_max_b1,quadform_20dir_mean,,-52.5709496367343,4.783587013829462,,,0.5994001388220737,,
0,test_probe,gaussian_postrelu,lambda_top1_ordinary,,-1652.8574212790265,,,,0.4507144500330081,,
0,test_probe,gaussian_postrelu,lambda_top1_relative,,-2603.2721151073742,,,,0.45951422031392475,,
0,test_probe,gaussian_postrelu,quadform_20dir_mean,,-18.68345784194119,7.149110775701887,,,0.8576287727438088,,
0,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-1693.8220471308425,,,,0.43710088799763624,,
0,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-2702.4178977789406,,,,0.438929785310434,,
0,test_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-66.84957386601945,4.164941023968661,,,0.49059451663741155,,
0,train_probe,resolution_max_b1,trace_ordinary,128.0,-4635.462712405126,591.2806042921765,-7.839700268799194,True,0.6870168456739612,0.032091615264034576,577.1598622557497
0,train_probe,resolution_max_b1,trace_relative,128.0,-7563.918223192719,951.7957390336925,-7.946997357722952,True,0.6822307198853952,0.0319551566753059,926.0397415577193
0,train_probe,resolution_max_b1,trace_covariance,128.0,-31.649577914980334,4.244306784338856,-7.456948689893172,True,0.6986663565285538,0.03217099070366399,4.157522317564898
0,train_probe,gaussian_postrelu,trace_ordinary,128.0,-4621.466180854817,575.4143392192179,-8.031545037834308,True,0.687961881556251,0.030836395362340084,563.3952323916773
0,train_probe,gaussian_postrelu,trace_relative,128.0,-6626.757776032739,919.0309298955469,-7.210592767303171,True,0.721601954721433,0.031450491470068204,910.2751867819744
0,train_probe,gaussian_postrelu,trace_covariance,128.0,-2.571924736007313,4.513035074920397,-0.5698880450320182,False,0.9755128661267676,0.04246225881513018,5.049949373613976
0,train_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-6034.988777193659,528.567495706628,-11.41763128874514,True,0.5925218384879901,0.025505907552856522,549.075622479099
0,train_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-9562.865815707939,848.504270291779,-11.270262449497766,True,0.5982525330889406,0.025496664886847764,881.7502118773448
0,train_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-39.867692082669585,3.867587649272144,-10.308154771921572,True,0.6204222077039973,0.026818211189763064,4.079327588776261
0,train_probe,resolution_max_b1,lambda_top1_ordinary,,-861.770507773818,,,,0.6394957966802064,,
0,train_probe,resolution_max_b1,lambda_top1_relative,,-1408.8632262184692,,,,0.6317507170147488,,
0,train_probe,resolution_max_b1,quadform_20dir_mean,,-29.49829833720726,3.790587278687089,,,0.6966413537208953,,
0,train_probe,gaussian_postrelu,lambda_top1_ordinary,,-1070.5985376428678,,,,0.5521368283009557,,
0,train_probe,gaussian_postrelu,lambda_top1_relative,,-1671.9723872545724,,,,0.5629791300392992,,
0,train_probe,gaussian_postrelu,quadform_20dir_mean,,5.6608056076788955,7.076610231528357,,,1.0582153691160077,,
0,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-1171.4350697563123,,,,0.5099539114487708,,
0,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-1865.9657289619422,,,,0.5122730659883563,,
0,train_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-40.200849280198625,3.725124662196363,,,0.5865769924250499,,
1,test_probe,resolution_max_b1,trace_ordinary,128.0,-9401.929763225962,755.8161078843052,-12.4394408443398,True,0.558620936380276,0.024301815918772514,811.8344599322505
1,test_probe,resolution_max_b1,trace_relative,128.0,-15306.644265420397,1191.6754387663145,-12.84464189449658,True,0.554331213240726,0.02384890461974869,1279.46247452671
1,test_probe,resolution_max_b1,trace_covariance,128.0,-68.79091267898917,4.898910824992051,-14.042083054063509,True,0.5615776427132235,0.02189527645493533,5.343388195968973
1,test_probe,gaussian_postrelu,trace_ordinary,128.0,-9496.777701139661,750.6456830980275,-12.651478473765456,True,0.5541682447438894,0.023646621646345574,800.8949335496743
1,test_probe,gaussian_postrelu,trace_relative,128.0,-14649.416852567716,1188.5878445420576,-12.325060297257107,True,0.5734670694500913,0.023928123109827813,1267.0132694910174
1,test_probe,gaussian_postrelu,trace_covariance,128.0,-47.53836092682464,5.716347089286188,-8.316213166258393,True,0.697025676104254,0.030281657115087734,5.875071751707311
1,test_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-11562.134463283684,717.4225288821181,-16.116213246466778,True,0.45720886973543295,0.018859510328547716,767.018009539477
1,test_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-18490.961695875063,1123.4333575601534,-16.459331184569155,True,0.46161651619291016,0.01856525595800231,1207.3732420490296
1,test_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-83.04229805068853,4.577047878714274,-18.143200650550266,True,0.4707498614564256,0.017063700155242573,5.03983103064381
1,test_probe,resolution_max_b1,lambda_top1_ordinary,,-1252.7913595719301,,,,0.5602448528637455,,
1,test_probe,resolution_max_b1,lambda_top1_relative,,-2050.508631133063,,,,0.5535305084432053,,
1,test_probe,resolution_max_b1,quadform_20dir_mean,,-69.13923623229185,6.922085956911712,,,0.5654703054453206,,
1,test_probe,gaussian_postrelu,lambda_top1_ordinary,,-1292.236016878087,,,,0.5463989790517365,,
1,test_probe,gaussian_postrelu,lambda_top1_relative,,-2023.3002549756097,,,,0.5594547506944517,,
1,test_probe,gaussian_postrelu,quadform_20dir_mean,,-40.93974616273199,7.207023332138433,,,0.7426998566274392,,
1,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-1578.685474965244,,,,0.4458494161690068,,
1,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-2559.4888550623045,,,,0.4427072042444894,,
1,test_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-77.84388576816622,6.841343515921225,,,0.5107628931256222,,
