objective,method,seed,probe,bn_policy,parameter_subset,n_draws,lambda_top1_ordinary,lambda_top2_ordinary,lambda_min_ordinary,lambda_top1_relative,lambda_min_relative,G,P,loss,grad_norm,trace_ordinary,trace_ordinary_mc_sd,trace_ordinary_mc_sem,trace_ordinary_mc_sem_rel,trace_ordinary_meets_5pct,trace_ordinary_cv,trace_ordinary_cv_mc_sem,trace_relative,trace_relative_mc_sd,trace_relative_mc_sem,trace_relative_mc_sem_rel,trace_relative_meets_5pct,trace_relative_cv,trace_relative_cv_mc_sem,trace_covariance,trace_covariance_mc_sd,trace_covariance_mc_sem,trace_covariance_mc_sem_rel,trace_covariance_meets_5pct,trace_covariance_cv,trace_covariance_cv_mc_sem,mean_eigenvalue_ordinary,lambda_top1_over_mean_eigenvalue,top2_share_of_trace_signed,r_units_extreme_top1,r_units_isotropic_relative_mean,quadform_20dir_mean,quadform_20dir_sem,trHC_minus_quadform_z,covariance_trace_over_extreme_r_units
plain_s0_test_centre_frozen,plain,0,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,3009.1041378720984,2117.879575860623,-9.381808011576007,4816.541365101975,-14.768652307041462,698,268336,0.7570303976535797,6.644235959695446,19852.39256346113,6962.368331765423,615.3922325637251,0.03099839128188364,True,20015.81391720203,420.476128985815,31904.377253807343,11216.516999359235,991.4094039426376,0.031074400733658785,True,32123.953236989837,680.8821333242946,141.48077130618617,51.490984513008826,4.551203039890004,0.03216835049648196,True,140.4598657412091,3.0799480604727396,0.07398333642694654,40672.72825473858,0.2582552051267148,3361945.872841179,82.99018887945533,131.23057377542355,6.01707387009936,1.3586419713852402,4.208300093380767e-05
resolution_s0_test_centre_frozen,resolution_max_b1,0,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1650.5891883900645,1203.4820951717988,-4.639215390907316,2609.08408979299,-7.352810091699587,698,268336,0.5604128837585449,3.715501391936384,11218.659704906231,4156.163758660101,367.35644718379086,0.03274512792496377,True,11002.147477124461,271.0830885741357,17909.176800504163,6605.050473422475,583.809497479556,0.032598343518677034,True,17566.324936012214,432.93561747249873,81.01831308573705,27.19202608797787,2.403458255126332,0.029665617112798803,True,79.59034075486028,1.8123366289917076,0.04180825422196884,39479.983536904896,0.25440394473447653,1821140.6946755073,46.58564414298456,78.65962413868925,4.783587013829462,0.4405931685669647,4.44876737544833e-05
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1356.2467165930718,1329.341934629106,-5.570887211864414,2213.269249994601,-8.960242749758308,698,268336,0.5683609247207642,4.061439571276408,11212.224074982276,3674.100693151116,324.74768936116857,0.028963717384651175,True,11906.60326812935,282.0552064962544,18935.86423162024,5989.91060216226,529.4383006862663,0.027959553058168773,True,20048.675858598857,462.5492298197579,115.35691685213064,48.31309067529698,4.270314254572882,0.03701827658974928,True,119.72577408298127,3.981649114419867,0.04178427074631162,32458.307692561328,0.23952327685053182,1544861.9364962315,49.25628031151588,112.54711593348236,7.149110775701887,0.3374168908827784,7.467134384433197e-05
combined_s0_test_centre_frozen,resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1315.2820907412558,1043.7842067727806,-5.013121163070165,2114.1234673230347,-8.018412061985035,698,268336,0.5280258059501648,3.693139417812584,9793.153184804443,3396.0397547953808,300.1703424743642,0.030651041274440988,True,9777.929922081446,244.5297528141398,15900.521087516667,5396.079580724735,476.9505579190903,0.02999590738529564,True,15897.050262418188,388.7915948526325,72.89717048311176,24.80162219339126,2.1921744046717166,0.030072146698472777,True,71.94276568495087,1.6897066139385248,0.036495860357180714,36039.21315647155,0.24088934922150348,1475658.1801914782,41.360695989679485,64.3809999094041,4.164941023968661,1.8093989258387542,4.9399767142315295e-05
plain_s1_test_centre_frozen,plain,1,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,2848.838422313595,2657.0941026204696,-9.470851522343036,4592.718360179871,-15.080122010888577,698,268336,0.7145313024520874,6.089825662874684,21301.259026926386,7977.597146361077,705.1266299707959,0.033102579949826585,True,21012.756970368668,550.4049939926502,34345.33608854285,12501.82346270396,1105.0155184593818,0.032173670265174675,True,33891.86302763028,850.8731444394074,156.90557640515658,51.51199202022579,4.553059858741122,0.029017833292198335,True,157.19906170364806,3.1819037229244533,0.07938278511614687,35887.357922065734,0.25847920622786447,3205717.4154055496,89.33965099652268,159.112799651467,10.823565597257558,-0.18797311574823,4.894554200289882e-05
resolution_s1_test_centre_frozen,resolution_max_b1,1,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1596.0470627416648,1525.8573655874206,-5.9373829702490735,2542.2097290468078,-9.360791572304135,698,268336,0.5631025433540344,3.8627505042761983,11899.329263700423,4551.875232589114,402.3327305098569,0.03381137891000257,True,12158.0133345446,310.90224733673335,19038.691823122448,7296.815109607908,644.9534306335265,0.033875932055911114,True,19505.73212956161,495.56679184598886,88.11466372616742,31.640871463176016,2.7966843467829596,0.0317391479297268,True,89.9039160896275,2.213923738461389,0.04434488575405619,35991.68281983172,0.2623596976892329,1774462.3908746717,49.52375712740545,89.97356341917514,6.922085956911712,-0.24899192466403622,4.965710413435912e-05
gaussian_s1_test_centre_frozen,gaussian_postrelu,1,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1556.602405435508,1300.2302207725093,-4.341565825977381,2569.418105204261,-6.997564843835267,698,268336,0.5690420717000961,3.137859069110112,11804.481325786724,4296.664831857424,379.7751048865177,0.032172112810827554,True,11440.756698424735,244.74849890462744,19695.91923597513,7013.25217826034,619.8897716774014,0.031473005359666385,True,19202.480302730328,406.828480215049,109.36721547833196,42.00741117154178,3.7129656624360905,0.033949530910126445,True,109.11401838538578,3.0108098672351007,0.043991418690696456,35384.22837371932,0.2420125499260443,1793453.837432574,51.23334784266979,118.173053488735,7.207023332138433,-1.0861699867534886,6.0981338463050174e-05
combined_s1_test_centre_frozen,resolution_max_b1_gaussian_conv,1,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1270.1529473483508,1023.0535714488454,-3.2328466603834314,2033.2295051175663,-5.145782739562694,698,268336,0.5520675480365753,2.628073483061112,9739.124563642701,3415.0361668630953,301.84940394827606,0.03099348426809484,True,9930.421959773968,241.82432164116622,15854.374392667782,5504.2191767979975,486.5088381313625,0.030686094959152702,True,16174.171505428665,389.77198785246827,73.86327835446806,24.447933874676327,2.160912478597992,0.029255572278119393,True,73.76573062836749,1.6621051253933166,0.03629451345940426,34995.72872822853,0.23546331128754694,1419194.1945720613,41.24065845090525,81.26891388330077,6.841343515921225,-1.0322155181293016,5.20459276376483e-05
plain_s2_test_centre_frozen,plain,2,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,3468.8872617381858,2766.6733564379124,-8.952989648597873,5623.393450528515,-14.160273441436791,698,268336,0.7352325618267059,6.147846125842796,21162.151740710276,7845.59412577814,693.4591010968832,0.032768837006439885,True,21700.768040577957,556.3214219428871,34355.151017328244,12598.780939205883,1113.5854295995373,0.032413929108850686,True,35273.57284990268,888.2141064127113,150.80984152123625,52.79111099834221,4.666119071662438,0.030940414926471357,True,154.04010064469932,3.4338358222648018,0.07886437802125051,43985.4766977744,0.2946562662709085,3925128.6284689037,89.36518175010104,152.28112282801442,8.96553430518837,-0.1455690842313346,3.8421630421845176e-05
resolution_s2_test_centre_frozen,resolution_max_b1,2,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1619.8203928454022,1231.7231108800408,-5.068611462563025,2577.4548640158728,-8.022663251517574,698,268336,0.5525311231613159,3.615064016342779,11123.972222713477,4146.381792107775,366.4918353234797,0.03294613003214432,True,10973.720870769477,221.18775123999598,18028.57475464244,6578.605326580965,581.4720546469177,0.032252802152160476,True,17747.117517330647,351.38163800892215,83.47191004709796,28.851316894271395,2.550120227762663,0.030550639446537048,True,82.04312487022827,1.6528587308100688,0.04145538512429744,39073.823291922774,0.2563421992283494,1799063.4950830792,46.89622405767554,79.8002849697859,6.5707659857354725,0.5209258767687485,4.6397423034390066e-05
