probe,method,quantity,n_seeds,mean,sd_over_seeds,min,max,mean_mc_sem,max_mc_sem_rel,draws_min,draws_max,ratio_to_plain_mean,ratio_to_plain_sd,n_seeds_below_plain,n_seeds_below_plain_resolved_2sem,n_seeds_above_plain_resolved_2sem,n_seeds_unresolved
train_probe,plain,lambda_top1_ordinary,5,2354.3480259407215,160.10513877890565,2117.175452989193,2510.258988969921,,,,,,,,,,
train_probe,plain,lambda_top1_relative,5,3775.0429436024597,259.6071396785252,3396.060340679414,4063.332358243587,,,,,,,,,,
train_probe,plain,trace_ordinary,5,14976.479180957085,620.6236759567622,14153.400455110219,15819.791444102248,504.5819560467356,0.035418876333136624,128.0,128.0,,,,,,
train_probe,plain,trace_relative,5,24091.722861205875,961.1028395011401,22798.36294027353,25458.954162018657,801.2166145221365,0.034775017446404335,128.0,128.0,,,,,,
train_probe,plain,trace_covariance,5,104.66112226177529,6.547433350237671,96.59149792306351,114.4290269305337,3.2595315340063395,0.03360538123259847,128.0,128.0,,,,,,
train_probe,plain,quadform_20dir_mean,5,105.38167995486978,9.3467286507201,97.23902284976374,119.68957128521129,,,,,,,,,,
train_probe,plain,lambda_min_ordinary,5,-4.289567647900227,1.329328303440478,-6.6004607894777685,-3.26126710559622,,,,,,,,,,
train_probe,resolution_max_b1,lambda_top1_ordinary,5,1437.8625000746076,106.99509378851583,1298.7747593366207,1555.8422589918282,,,,,0.6142634014395132,0.0746357617385663,5.0,,,
train_probe,resolution_max_b1,lambda_top1_relative,5,2297.0570323262787,167.49058076771638,2077.548370301266,2500.166797171384,,,,,0.6120843615266705,0.07424411689469243,5.0,,,
train_probe,resolution_max_b1,trace_ordinary,5,9966.05664590115,303.9996204272055,9609.67645809002,10276.363677428697,328.33627972348523,0.0354586257779254,128.0,128.0,0.6665944682998207,0.03996354271961556,5.0,5.0,0.0,0.0
train_probe,resolution_max_b1,trace_relative,5,16002.314538391665,454.2441961555078,15423.456103740968,16555.38687384548,521.7853801289664,0.035065839924869883,128.0,128.0,0.6653438865133008,0.03941999644210629,5.0,5.0,0.0,0.0
train_probe,resolution_max_b1,trace_covariance,5,73.5313929310626,1.5802218783746453,71.06623593819067,74.95812882320465,2.3606141128230234,0.03956017820940971,128.0,128.0,0.7051089032932067,0.052966777051865845,5.0,5.0,0.0,0.0
train_probe,resolution_max_b1,quadform_20dir_mean,5,71.93395861202755,2.941900423547096,67.74072451255648,74.65331094792866,,,,,0.6861383744748563,0.05700791657399652,5.0,,,
train_probe,resolution_max_b1,lambda_min_ordinary,5,-2.950056129731995,0.40137598035611993,-3.5484317308149427,-2.5375141092049778,,,,,,,,,,
train_probe,gaussian_postrelu,lambda_top1_ordinary,5,1274.6875185721954,127.94834502865228,1141.9548541818697,1459.1739056682995,,,,,0.5452026874254912,0.08144610866743583,5.0,,,
train_probe,gaussian_postrelu,lambda_top1_relative,5,2089.9451969096604,214.52321603563672,1861.7013194909357,2397.622819413588,,,,,0.5576575469854144,0.08536068401033788,5.0,,,
train_probe,gaussian_postrelu,trace_ordinary,5,9844.164017946548,729.3715775124919,8608.628288901846,10468.533342723895,310.2109611122902,0.03323612397440179,128.0,128.0,0.6591547938765523,0.06844786328698045,5.0,5.0,0.0,0.0
train_probe,gaussian_postrelu,trace_relative,5,16623.932978752542,1204.8152473530479,14653.876099942527,17798.47139176168,509.3445567592652,0.032573918268701305,128.0,128.0,0.691784794079649,0.06966733049114364,5.0,5.0,0.0,0.0
train_probe,gaussian_postrelu,trace_covariance,5,99.07143196051878,5.597680886615099,93.35445405491902,106.86737358059538,3.710976621459298,0.048061827019635565,128.0,128.0,0.9516881435009428,0.10754473484125329,4.0,2.0,1.0,2.0
train_probe,gaussian_postrelu,quadform_20dir_mean,5,101.9788698791768,8.849547473155539,87.32858688171645,111.37913823977877,,,,,0.9750046697695895,0.13142971718781649,2.0,,,
train_probe,gaussian_postrelu,lambda_min_ordinary,5,-3.0705954748385036,0.4474564076761549,-3.666691415379243,-2.466143305791592,,,,,,,,,,
train_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,5,1135.4432403105359,69.96040102709438,1029.9447256705278,1219.0239036425764,,,,,0.48424222308723835,0.045705417713672286,5.0,,,
