method,split,amplitude,n_seeds,ratio_pw_over_cf_median,ratio_pw_over_cf_min,ratio_pw_over_cf_max,delta_centre_frozen_mean,delta_centre_frozen_sd,relchange_centre_frozen_mean,n_below_plain_centre_frozen,delta_pointwise_mean,delta_pointwise_sd,relchange_pointwise_mean,n_below_plain_pointwise,delta_saved_mean,delta_saved_sd,relchange_saved_mean,n_below_plain_saved,n_seeds_sign_differs_cf_vs_pw
plain,test_probe,0.005,5,0.15705978011100058,0.11025216107553627,0.21155429628772765,,,,,,,,,,,,,
plain,test_probe,0.01,5,0.18387782763293886,0.14499292177662698,0.20565267183519872,,,,,,,,,,,,,
plain,test_probe,0.02,5,0.1808608389558993,0.1586919173362437,0.21290801419002994,,,,,,,,,,,,,
plain,test_probe,0.025,5,0.17728368525600122,0.16555802300203543,0.21279214474898578,,,,,,,,,,,,,
plain,test_probe,0.05,5,0.1747830926703563,0.17057872347126712,0.20607301772838862,,,,,,,,,,,,,
plain,test_probe,0.1,5,0.1634513912724746,0.15433871227928203,0.18565721623362616,,,,,,,,,,,,,
plain,test_probe,0.2,5,0.15115545485085355,0.1273070431656438,0.1565759015820388,,,,,,,,,,,,,
plain,test_probe,0.25,5,0.1522228156031501,0.12461369089540689,0.1545050033138001,,,,,,,,,,,,,
plain,test_probe,0.35,5,0.14695688551628996,0.12227944955538815,0.1623634180131234,,,,,,,,,,,,,
plain,test_probe,0.5,5,0.1177587881130518,0.10161620320123589,0.13027755672389346,,,,,,,,,,,,,
plain,train_probe,0.005,5,0.3747582580154132,0.34367644967346106,0.41271234354113057,,,,,,,,,,,,,
plain,train_probe,0.01,5,0.3664487210392656,0.3411991699677381,0.39465127168776876,,,,,,,,,,,,,
plain,train_probe,0.02,5,0.35784339817641564,0.3346661123771075,0.3717438688023465,,,,,,,,,,,,,
plain,train_probe,0.025,5,0.3509250628719624,0.32926559650060977,0.3646870932012861,,,,,,,,,,,,,
