method,seed,probe,policy,G,P,lambda_top1_ordinary,lambda_top2_ordinary,lambda_min_ordinary,lambda_top1_relative,lambda_top2_relative,lambda_min_relative,grad_norm,loss,r_units_extreme_top1,r_units_extreme_min,r_units_random_mean_dHd,r_units_random_sd_dHd,r_units_random_sem_dHd,r_units_random_min_dHd,r_units_random_max_dHd,n_random_directions,n_random_dHd_negative,random_mean_over_extreme_top1,top1_quad_r1_f64_measured,min_quad_r1_f64_measured
plain,0,test_probe,centre_frozen,698,268336,3009.1041378720984,2117.879575860623,-9.381808011576007,4816.541365101975,3366.533494954177,-14.768652307041462,6.644235959695446,0.7570303976535797,3361945.872841179,-10308.519310314941,131.23057377542355,26.909172398359814,6.01707387009936,79.22346231543162,169.87396446018977,20,0,3.903411260590006e-05,3331426.981793655,-10235.211766154936
plain,0,test_probe,saved,698,268336,2988.6282788438034,2080.6184323388625,-10.622786502595554,4783.129208026173,3310.712786487696,-16.734270689258324,7.343812965836728,0.7621461749076843,3338624.1872022687,-11680.52094110231,130.35907851136167,25.803434434149345,5.769823344771676,81.45176717625591,170.80093061218258,20,0,3.904574794942739e-05,3308212.5073549105,-11601.417289268786
plain,0,train_probe,centre_frozen,698,268336,2390.4589733988887,1685.78042525928,-3.5833394743178304,3825.841057441776,2671.9214880085724,-5.631889274175698,2.810781554986,0.2221803069114685,2670437.0580943595,-3931.0587133746376,97.23902284976374,19.936420745155797,4.457919201420537,58.44108225507008,128.86155132616724,20,0,3.641314913415489e-05,2646094.9042598046,-3904.9803673104734
plain,0,train_probe,saved,698,268336,2351.418102372386,1638.1400510139313,-3.151190359316536,3765.648110480673,2598.263837894025,-5.003403044097425,2.6719993978198704,0.2235287353396415,2628422.3811155097,-3492.3753247800028,96.4104441502113,19.352406926593776,4.327329741610146,58.11192828059852,127.519660767,20,0,3.667996621962047e-05,2604391.8060863614,-3468.0959628902583
plain,1,test_probe,centre_frozen,698,268336,2848.838422313595,2657.0941026204696,-9.470851522343036,4592.718360179871,4246.740011865588,-15.080122010888577,6.089825662874684,0.7145313024520874,3205717.4154055496,-10525.925163600226,159.112799651467,48.404456868792025,10.823565597257558,100.46262223438762,287.99969778392494,20,0,4.9634069081331644e-05,3172287.319607026,-10445.001598487048
plain,1,test_probe,saved,698,268336,2846.146676067084,2833.025053198772,-5.890847590240181,4583.18331595517,4534.36423880452,-9.341134939715348,4.688154782082113,0.7176654934883118,3199061.9545367085,-6520.112187921312,162.52966049924618,51.47536613907219,11.510241785365631,102.28302294733648,304.5265959522964,20,0,5.080541196420308e-05,3161797.842019152,-6462.563406744343
plain,1,train_probe,centre_frozen,698,268336,2117.175452989193,1942.2836178198856,-3.946751986251483,3396.060340679414,3109.881590304147,-6.2268962261844205,2.884039331723026,0.1990513578057289,2370450.117794231,-4346.3735658767255,119.68957128521129,33.83009222953493,7.564638591032751,72.50970086951504,213.98213862218887,20,0,5.049233914974162e-05,2345680.2626455706,-4313.028874257991
plain,1,train_probe,saved,698,268336,2183.353983861659,2037.5452791667688,-4.545861000596373,3482.838340492203,3280.81482743722,-7.167855792479827,3.308771472070774,0.1968081071972847,2431021.1616635574,-5003.163343150919,121.7691225210252,35.33861739378229,7.901955072335366,75.66081960661948,222.14502186428447,20,0,5.0089700756738004e-05,2408173.107545783,-4964.921879684406
plain,2,test_probe,centre_frozen,698,268336,3468.8872617381858,2766.6733564379124,-8.952989648597873,5623.393450528515,4431.568452137821,-14.160273441436791,6.147846125842796,0.7352325618267059,3925128.6284689037,-9883.87086212288,152.28112282801442,40.09508832201509,8.96553430518837,88.27985635414223,262.53102706370925,20,0,3.879646687844101e-05,3887373.858245223,-9801.840971421409
plain,2,test_probe,saved,698,268336,3510.2276433304805,2765.692306645388,-10.769169642646665,5690.534048123792,4433.378219766371,-17.056254346307384,7.256910190905367,0.7384138405323029,3971992.7655904065,-11905.265533722553,153.01146925063034,39.740597816342856,8.886267818382233,92.42417707834868,264.2909929265932,20,0,3.8522595150770966e-05,3934736.514622813,-11815.25645000375
plain,2,train_probe,centre_frozen,698,268336,2510.258988969921,2011.4329565171472,-3.26126710559622,4063.332358243587,3228.509357933403,-5.1963154311524695,2.487161956485978,0.1944174468517303,2836205.9860540237,-3627.028170944424,109.29563743725173,32.40354930962898,7.245653896859677,57.654857360835074,204.36394170728303,20,0,3.8535860221250476e-05,2808309.5045475853,-3596.8773529596247
plain,2,train_probe,saved,698,268336,2550.734700277317,2046.1623143110776,-5.043661702109482,4132.657460382663,3284.146446773291,-8.003511475781949,3.6422787494708513,0.196144625544548,2884594.907347099,-5586.4510100958005,111.04134068570593,32.04821585476286,7.166198920883628,58.10805228208191,199.8558121491744,20,0,3.849460470268538e-05,2856396.5417786352,-5543.924912794758
plain,3,test_probe,centre_frozen,698,268336,3539.047014743923,3225.841589842531,-10.546056155165742,5670.13194535396,5069.747552311256,-16.628678581382342,7.372191152821192,0.761147528886795,3957752.097857064,-11606.817649804874,155.97321969496664,53.394293850854396,11.939327066110945,92.49765633304256,280.7314859077032,20,0,3.9409547601381796e-05,3924802.923149036,-11523.069020053335
plain,3,test_probe,saved,698,268336,3598.170676628489,3316.7215296077325,-9.24323005441043,5765.866624974115,5210.665231255458,-14.586676705587236,7.053101995452172,0.767693042755127,4024574.9042319325,-10181.50034049989,159.03681765620843,54.43996437405362,12.173146103305069,92.35910752748164,286.0760795231908,20,0,3.9516426315976274e-05,3990092.393312988,-10095.215864645475
plain,3,train_probe,centre_frozen,698,268336,2476.050226420517,2123.334482952679,-6.6004607894777685,3935.469324646928,3360.8187445282874,-10.30958165186809,3.899627744365763,0.1770452857017517,2746957.5886035557,-7196.087993003926,102.82327443185264,37.28880447653644,8.338030160923394,54.98766492087123,189.30199815840007,20,0,3.743169347005605e-05,2724882.5449983454,-7149.5711412388255
plain,3,train_probe,saved,698,268336,2501.5944418576,2189.7061245044506,-7.502238119459047,3978.931954931597,3461.076592407755,-11.709265745826656,4.42861092513591,0.1793783009052276,2777294.504542255,-8173.0674905870055,105.33451959105147,37.34675245308343,8.350987722395157,56.431088883588046,192.2696436551623,20,0,3.7927025534662334e-05,2754639.563146644,-8120.189896977388
plain,4,test_probe,centre_frozen,698,268336,3283.587129443933,2603.033997191556,-9.483177754583272,5266.916471727245,4164.68074575687,-15.040773098311089,5.780242061666371,0.736142098903656,3676307.697265617,-10498.45962262114,145.1212933208875,51.615298690645325,11.541531655123883,85.30088425420162,294.10688251501915,20,0,3.947474076471525e-05,3646988.893937198,-10419.475214688597
plain,4,test_probe,saved,698,268336,3242.607909408869,2670.3849771728846,-12.146674445953929,5212.405028259273,4264.753163954048,-19.31291970564188,7.030862583946792,0.7400374114513397,3638258.709724973,-13480.417954538034,142.94568438914112,50.46789892452914,11.284965267683567,80.54594318971978,290.98636323292783,20,0,3.9289587628018574e-05,3608515.892621886,-13386.029322534268
plain,4,train_probe,centre_frozen,698,268336,2277.7964879250862,1774.3848407898329,-4.056018883857836,3654.511637000592,2832.0242814688286,-6.448671070844548,2.812873864039472,0.1645722910761833,2550849.122626413,-4501.172407449494,97.86089377026951,32.22907511724265,7.206640281410157,58.447538903718495,195.9130832618896,20,0,3.8364046270800085e-05,2530868.1729231616,-4470.252054807413
plain,4,train_probe,saved,698,268336,2322.094264185492,1863.8117885958045,-7.294879835518339,3731.154772965382,2972.459227003512,-11.572137499595184,4.480362712501544,0.1696785762906074,2604346.031529837,-8077.351974717439,100.00554009012322,33.76520296190399,7.550128909689455,58.70823371296474,203.7185776617949,20,0,3.83994825877183e-05,2583743.1329789017,-8024.014114167289
resolution_max_b1,0,test_probe,centre_frozen,698,268336,1650.5891883900645,1203.4820951717988,-4.639215390907316,2609.08408979299,1895.990542306101,-7.352810091699587,3.715501391936384,0.5604128837585449,1821140.6946755073,-5132.261444006312,78.65962413868925,21.392851478415807,4.783587013829462,43.89725806994822,145.9038370481911,20,0,4.3192502571968995e-05,1807630.830204468,-5086.0624445454205
resolution_max_b1,0,test_probe,saved,698,268336,1648.417201994099,1228.2855704883812,-5.740034151389292,2605.479752650056,1934.1003335383916,-9.04446411668368,4.338956570284136,0.5638476610183716,1818624.8673497392,-6313.035953445208,79.30297324378783,21.419588307206066,4.789565550497241,44.284063159403736,146.1441278730278,20,0,4.3606009500659213e-05,1805053.386495972,-6261.937829187042
resolution_max_b1,0,train_probe,centre_frozen,698,268336,1528.6884656250706,1070.13490019422,-2.702532921982537,2416.9778312233066,1693.8561459287791,-4.351977943733867,2.30833264186602,0.3181024044752121,1687050.526193868,-3037.680604726239,67.74072451255648,16.95202165958054,3.790587278687089,41.99864409403492,115.45914331465792,20,0,4.015334660153032e-05,1673880.581191146,-2997.6755800959813
resolution_max_b1,0,train_probe,saved,698,268336,1531.3892123588812,1083.8263678259525,-3.6407062708904414,2421.5583950804635,1711.9637217766356,-5.735327815960694,2.9854811433682364,0.3205525130033493,1690247.7597661635,-4003.2588155405647,68.44725896791545,17.04840896263787,3.8121401348674944,41.16439399503311,116.43254427783953,20,0,4.04953999036122e-05,1676982.6646691514,-3973.526034246347
resolution_max_b1,1,test_probe,centre_frozen,698,268336,1596.0470627416648,1525.8573655874206,-5.9373829702490735,2542.2097290468078,2431.9041377681087,-9.360791572304135,3.8627505042761983,0.5631025433540344,1774462.3908746717,-6533.832517468287,89.97356341917514,30.956509491502537,6.922085956911712,57.41707275143774,202.16219226939648,20,0,5.070468885780396e-05,1756603.855099662,-6483.818600203371
resolution_max_b1,1,test_probe,saved,698,268336,1645.5719246699766,1575.886696547159,-3.8646707812030776,2619.3243862532468,2508.9880824714164,-6.086164849995283,3.0314642086016166,0.5634313225746155,1828288.4216047663,-4248.143065296707,90.84559485117418,31.068869419082276,6.947210400513237,58.23047815928437,204.65970898127648,20,0,4.968887500334064e-05,1808092.0095391143,-4203.326187981675
resolution_max_b1,1,train_probe,centre_frozen,698,268336,1433.3969499007662,1312.5854252136992,-3.5484317308149427,2284.2534891619985,2088.992714686494,-5.603932034839177,2.5404907114490407,0.3049263656139374,1594408.9354350748,-3911.544560317746,73.73253213654984,25.12357093015869,5.617801243737245,44.96716578328767,168.36649124065138,20,0,4.6244429830939226e-05,1579427.6483188823,-3877.772694183565
resolution_max_b1,1,train_probe,saved,698,268336,1428.754131780517,1384.8040087330717,-3.254585446681709,2275.904324163985,2203.957470358874,-5.143773824101318,2.6193126428168503,0.3033616542816162,1588581.2182664617,-3590.35412922272,75.08126510316465,25.047975217942344,5.600897528604919,45.974050365597286,169.2887255544419,20,0,4.726309504344829e-05,1573917.022245035,-3557.0628926600543
resolution_max_b1,2,test_probe,centre_frozen,698,268336,1619.8203928454022,1231.7231108800408,-5.068611462563025,2577.4548640158728,1992.561109704164,-8.022663251517574,3.615064016342779,0.5525311231613159,1799063.4950830792,-5599.818949559267,79.8002849697859,29.385358816695863,6.5707659857354725,46.43463861255535,192.0757380080497,20,0,4.435656950846018e-05,1785694.3362067076,-5556.507487124386
