problem,method,seed,probe,policy,coords,vector,t,C_fd,quad_r1_f64,ratio_C_fd_over_quad,sign_agrees
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,top1,1e-05,3253138.6102152555,3331426.981793655,0.9765000487760207,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,top1,3e-05,3238577.140487476,3331426.981793655,0.9721291080928364,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,top1,0.0001,3249157.4792506085,3331426.981793655,0.9753050260466005,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,top1,0.0003,3286317.691929032,3331426.981793655,0.9864594691370555,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,top1,0.001,3341292.063866361,3331426.981793655,1.0029612181586507,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,top1,0.003,2554494.254963269,3331426.981793655,0.7667868060514771,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,top1,0.01,1145085.548823949,3331426.981793655,0.3437222412743472,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,min,1e-05,-8079.461488730287,-10235.211766154936,0.7893790254000284,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,min,3e-05,-10968.944392046134,-10235.211766154936,1.0716870977029955,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,min,0.0001,-14214.30067563012,-10235.211766154936,1.3887646880578426,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,min,0.0003,-12863.560598187622,-10235.211766154936,1.2567947681086502,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,min,0.001,-11818.01507073499,-10235.211766154936,1.1546429464033128,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,min,0.003,-1586.6649077538566,-10235.211766154936,0.15502023250759953,True
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,min,0.01,67963.82847463097,-10235.211766154936,-6.640197587251578,False
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,top1,1e-05,3279456.0493321074,3361909.864855907,0.9754741147626415,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,top1,3e-05,3258795.9100014195,3361909.864855907,0.9693287568675173,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,top1,0.0001,3273811.9802687704,3361909.864855907,0.9737952865696735,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,top1,0.0003,3314059.837167372,3361909.864855907,0.985767010535071,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,top1,0.001,3379031.9127795277,3361909.864855907,1.0050929527000732,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,top1,0.003,2580231.350079661,3361909.864855907,0.7674897465432943,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,top1,0.01,1147385.7338721526,3361909.864855907,0.3412898560626134,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,min,1e-05,-5788.203736312169,-10308.496095471815,0.5614983682105421,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,min,3e-05,-10359.357212053055,-10308.496095471815,1.0049339026866957,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,min,0.0001,-13792.70041812486,-10308.496095471815,1.3379934658154007,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,min,0.0003,-12843.51813458034,-10308.496095471815,1.2459157975742046,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,min,0.001,-11861.308009917691,-10308.496095471815,1.1506341856333413,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,min,0.003,-1642.4350493313946,-10308.496095471815,0.15932828941487037,True
plain_s0_test_centre_frozen_rel,plain,0,test_probe,centre_frozen,relative,min,0.01,68547.00686057287,-10308.496095471815,-6.649564226025494,False
plain_s0_test_saved_ord,plain,0,test_probe,saved,ordinary,top1,1e-05,3129697.7515493645,3308212.5073549105,0.9460389091061512,True
plain_s0_test_saved_ord,plain,0,test_probe,saved,ordinary,top1,3e-05,3193386.0433610817,3308212.5073549105,0.9652904812678922,True
plain_s0_test_saved_ord,plain,0,test_probe,saved,ordinary,top1,0.0001,3214943.0294825085,3308212.5073549105,0.97180668482903,True
