problem,method,seed,probe,policy,coords,vector,radial_fraction_ordinary_metric,radial_fraction_r_metric,radial_fraction_bn_followed_r_metric,fc_share_r_metric,random_direction_expected_radial_fraction_r_metric,random_direction_expected_radial_fraction_ordinary_metric
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top1,0.005283773770421909,0.0051440371428336734,0.005117724227763295,0.0005185748692277253,0.004256539849304894,0.004612985084944124
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,top2,0.006156103670924018,0.005959290151454846,0.005927292963964823,0.000616778320970671,0.004256539849304894,0.004612985084944124
plain_s0_train_saved_ord,plain,0,train_probe,saved,ordinary,min,0.0046411501693081475,0.004554926008103248,0.004521381175483647,0.000319875570987817,0.004256539849304894,0.004612985084944124
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,0.005727834220843766,0.005497493453107515,0.005403970752501436,0.0018287147510670906,0.004256539849304894,0.004612985084944124
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,0.006778771386694382,0.006438674611249722,0.006321903429091583,0.002399200994736593,0.004256539849304894,0.004612985084944124
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,0.004964717702119583,0.004758790822757848,0.004620941150141535,0.0013671910081036443,0.004256539849304894,0.004612985084944124
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,0.0052472469613020515,0.005110420140140676,0.005083829150300992,0.0005164478542204868,0.004256539849304894,0.004612985084944124
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top2,0.006193447275347008,0.005996497299481565,0.005962250910669988,0.0006226501539977268,0.004256539849304894,0.004612985084944124
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,0.003149497591004516,0.0030775071309718078,0.00303454954954675,0.0005358779568927502,0.004256539849304894,0.004612985084944124
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,0.0056803908279482165,0.005454412437968523,0.005359860687846076,0.0018202472142048972,0.004256539849304894,0.004612985084944124
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top2,0.00682436872329345,0.006474527328930679,0.0063485358180634084,0.002436725201992454,0.004256539849304894,0.004612985084944124
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,min,0.0035392712216239,0.003309322990260955,0.0031368007821670142,0.002357597810694685,0.004256539849304894,0.004612985084944124
plain_s0_test_saved_ord,plain,0,test_probe,saved,ordinary,top1,0.004906651305785382,0.0047521382856809714,0.0047291568942763994,0.0004881344488726923,0.004256539849304894,0.004612985084944124
plain_s0_test_saved_ord,plain,0,test_probe,saved,ordinary,top2,0.006068219394494381,0.005862666234239417,0.005830845465630262,0.0005990354621196025,0.004256539849304894,0.004612985084944124
plain_s0_test_saved_ord,plain,0,test_probe,saved,ordinary,min,0.004883170042926246,0.004838894456727378,0.0048220702228675685,0.0003811652113885491,0.004256539849304894,0.004612985084944124
plain_s0_test_saved_rel,plain,0,test_probe,saved,relative,top1,0.0053938664798424026,0.005142074806059719,0.005057428026293448,0.001787369692616213,0.004256539849304894,0.004612985084944124
plain_s0_test_saved_rel,plain,0,test_probe,saved,relative,top2,0.006839071224786519,0.0064848079281523245,0.006360629513410663,0.0025017502611224133,0.004256539849304894,0.004612985084944124
plain_s0_test_saved_rel,plain,0,test_probe,saved,relative,min,0.005141756473196398,0.005028476899453081,0.004958060423325063,0.0017365657908846336,0.004256539849304894,0.004612985084944124
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,top1,0.004925700523045891,0.004776412196135668,0.004752759864450959,0.0004914716676063318,0.004256539849304894,0.004612985084944124
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,top2,0.006450057387292085,0.006229590444284737,0.006201032824423391,0.0005384101771444817,0.004256539849304894,0.004612985084944124
plain_s0_test_centre_frozen_ord,plain,0,test_probe,centre_frozen,ordinary,min,0.004428345505860862,0.004390629656894143,0.004383712254323092,0.00039038306205964617,0.004256539849304894,0.004612985084944124
