method,seed,checkpoint,update,reason,state_label,resolution,sigma_G,policy,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,3,epoch_000.pt,0,initialization,final,32,0.0,saved,3.7023623046875,0.099,3.683364501953125,0.096
resolution_max_b1_gaussian_conv,3,epoch_000.pt,0,initialization,final,32,0.0,recalibrated,2.304710205078125,0.116,2.3032159423828125,0.111
resolution_max_b1_gaussian_conv,3,epoch_000.pt,0,initialization,current,16,1.0,saved,3.29452685546875,0.113,3.2890675048828126,0.111
resolution_max_b1_gaussian_conv,3,epoch_000.pt,0,initialization,current,16,1.0,recalibrated,2.3030059814453123,0.121,2.300461669921875,0.121
resolution_max_b1_gaussian_conv,3,epoch_001.pt,391,epoch_end,final,32,0.0,saved,2.920726806640625,0.209,2.93473828125,0.203
resolution_max_b1_gaussian_conv,3,epoch_001.pt,391,epoch_end,final,32,0.0,recalibrated,1.8474116821289062,0.3,1.8371124877929688,0.317
resolution_max_b1_gaussian_conv,3,epoch_001.pt,391,epoch_end,current,16,1.0,saved,1.4491754760742188,0.458,1.4572273559570312,0.466
resolution_max_b1_gaussian_conv,3,epoch_001.pt,391,epoch_end,current,16,1.0,recalibrated,1.4084645385742187,0.462,1.4049678344726562,0.48
resolution_max_b1_gaussian_conv,3,epoch_002.pt,782,epoch_end,final,32,0.0,saved,3.1199036865234375,0.223,3.1072178955078127,0.22
resolution_max_b1_gaussian_conv,3,epoch_002.pt,782,epoch_end,final,32,0.0,recalibrated,1.7925963134765626,0.349,1.79257275390625,0.341
resolution_max_b1_gaussian_conv,3,epoch_002.pt,782,epoch_end,current,16,1.0,saved,1.1243269653320314,0.6,1.166259765625,0.574
resolution_max_b1_gaussian_conv,3,epoch_002.pt,782,epoch_end,current,16,1.0,recalibrated,1.1052875366210937,0.59,1.1475263671875,0.579
resolution_max_b1_gaussian_conv,3,update_001123.pt,1123,transition_window,final,32,0.0,saved,3.8976251220703126,0.171,3.8806375732421876,0.169
resolution_max_b1_gaussian_conv,3,update_001123.pt,1123,transition_window,final,32,0.0,recalibrated,1.8150631103515624,0.299,1.8276981811523438,0.301
