method,seed,checkpoint_update,state_label,resolution,sigma_G,policy,direction,amplitude,sign,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,saved,,0.0,0,0.980883056640625,0.648,1.0572351684570314,0.626
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,,0.0,0,0.9783525390625,0.644,1.0530419921875,0.621
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.025,1,0.9905537109375,0.639,1.0616255187988282,0.605
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.025,-1,0.9895800476074219,0.633,1.0626558532714845,0.621
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.05,1,1.0293533935546875,0.626,1.0894797973632813,0.599
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.05,-1,1.019990264892578,0.627,1.088760986328125,0.612
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.1,1,1.1494678955078126,0.6,1.1829046630859374,0.586
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.1,-1,1.1322708129882812,0.572,1.2027159423828124,0.58
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.2,1,1.4664589233398437,0.492,1.5027579956054689,0.486
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.2,-1,1.4467127075195312,0.453,1.5018094482421875,0.473
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.25,1,1.6435145263671875,0.45,1.6851528930664061,0.427
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.25,-1,1.6048143920898437,0.397,1.638269287109375,0.425
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,saved,,0.0,0,1.3195908813476562,0.534,1.3624722290039062,0.534
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,,0.0,0,1.042334228515625,0.637,1.1045864868164061,0.6
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.025,1,1.0537078857421875,0.626,1.1113953857421874,0.593
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.025,-1,1.0487197875976562,0.627,1.1113724365234374,0.6
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.05,1,1.0838614501953125,0.614,1.1366483154296876,0.583
