seed,pc1,pc2,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
0,-11.975698770010887,-11.176921332983799,4.0969365234375,0.191,4.019250732421875,0.18
0,-11.975698770010887,-10.509464454991368,3.9694339599609374,0.197,3.877920166015625,0.191
0,-11.975698770010887,-9.842007576998938,3.8302581787109373,0.2,3.72386328125,0.205
0,-11.975698770010887,-9.174550699006506,3.67622509765625,0.205,3.55507275390625,0.225
0,-11.975698770010887,-8.507093821014076,3.51229931640625,0.218,3.3845107421875,0.237
0,-11.975698770010887,-7.839636943021645,3.340736572265625,0.229,3.201255859375,0.248
0,-11.975698770010887,-7.172180065029214,3.16438671875,0.237,3.0126112060546877,0.264
0,-11.975698770010887,-6.504723187036783,2.976218505859375,0.256,2.822904541015625,0.28
0,-11.975698770010887,-5.837266309044352,2.778889404296875,0.277,2.6360582275390625,0.3
0,-11.975698770010887,-5.169809431051922,2.57716650390625,0.305,2.451076416015625,0.329
0,-11.975698770010887,-4.502352553059491,2.37216162109375,0.34,2.2646746826171875,0.361
0,-11.975698770010887,-3.8348956750670595,2.16379443359375,0.374,2.07960009765625,0.397
0,-11.975698770010887,-3.167438797074629,1.957661376953125,0.412,1.8989513549804689,0.435
0,-11.975698770010887,-2.499981919082199,1.7616558837890626,0.462,1.7227347412109375,0.462
0,-11.975698770010887,-1.8325250410897667,1.5809963989257811,0.492,1.5631683959960938,0.5
0,-11.975698770010887,-1.1650681630973363,1.41900732421875,0.53,1.4200435791015624,0.526
0,-11.975698770010887,-0.49761128510490593,1.2815734252929687,0.565,1.2927896118164062,0.569
0,-11.975698770010887,0.16984559288752443,1.1677304077148438,0.608,1.1899132080078125,0.595
0,-11.975698770010887,0.8373024708799548,1.0776778564453124,0.63,1.1163514404296875,0.612
0,-11.975698770010887,1.504759348872387,1.01376513671875,0.647,1.0719298095703125,0.618
0,-11.975698770010887,2.1722162268648173,0.9783570251464844,0.662,1.0558137817382813,0.624
0,-11.975698770010887,2.8396731048572477,0.9767793884277344,0.659,1.0622722778320313,0.627
0,-11.975698770010887,3.50712998284968,1.0069474792480468,0.65,1.0895109252929687,0.624
0,-11.975698770010887,4.17458686084211,1.0655302124023438,0.636,1.1393875122070312,0.613
0,-11.975698770010887,4.8420437388345405,1.1515503540039063,0.612,1.210590576171875,0.591
0,-11.975698770010887,5.509500616826973,1.2668333740234374,0.587,1.310614501953125,0.559
0,-11.975698770010887,6.176957494819401,1.4110364379882812,0.558,1.435608642578125,0.534
0,-11.975698770010887,6.844414372811833,1.57477734375,0.51,1.5832382202148438,0.507
