method,seed,policy,direction,amplitude,sign,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,3,saved,,0.0,0,0.3005762481689453,0.913,0.5388302001953125,0.83
resolution_max_b1_gaussian_conv,3,recalibrated,,0.0,0,0.3031758270263672,0.91,0.53676806640625,0.822
resolution_max_b1_gaussian_conv,3,saved,0,0.025,1,0.34285545349121094,0.882,0.571823745727539,0.809
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.025,1,0.3204530792236328,0.904,0.5515249633789062,0.826
resolution_max_b1_gaussian_conv,3,saved,0,0.025,-1,0.3592261505126953,0.887,0.5857652893066406,0.802
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.025,-1,0.32260597229003907,0.911,0.536343017578125,0.829
resolution_max_b1_gaussian_conv,3,saved,0,0.05,1,0.4645880126953125,0.84,0.6769788208007812,0.765
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.05,1,0.36592332458496096,0.882,0.5841742858886719,0.808
resolution_max_b1_gaussian_conv,3,saved,0,0.05,-1,0.550427001953125,0.829,0.76402978515625,0.744
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.05,-1,0.3830734710693359,0.874,0.5778857727050781,0.798
resolution_max_b1_gaussian_conv,3,saved,0,0.1,1,0.9288778991699219,0.713,1.1216602783203125,0.655
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.1,1,0.48382833862304686,0.843,0.6985165710449219,0.769
resolution_max_b1_gaussian_conv,3,saved,0,0.1,-1,1.570633056640625,0.548,1.7634476318359376,0.518
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.1,-1,0.6138701171875,0.785,0.7756585083007812,0.745
resolution_max_b1_gaussian_conv,3,saved,0,0.2,1,2.767481689453125,0.386,2.88391015625,0.358
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.2,1,0.8727874755859375,0.721,1.087461669921875,0.642
resolution_max_b1_gaussian_conv,3,saved,0,0.2,-1,5.749591552734375,0.203,5.79539599609375,0.193
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.2,-1,1.2380533447265625,0.609,1.3122196044921874,0.605
resolution_max_b1_gaussian_conv,3,saved,0,0.25,1,3.8271575927734376,0.275,3.895873046875,0.27
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.25,1,1.146416015625,0.633,1.3362017822265626,0.591
resolution_max_b1_gaussian_conv,3,saved,0,0.25,-1,7.5993271484375,0.148,7.61602294921875,0.143
resolution_max_b1_gaussian_conv,3,recalibrated,0,0.25,-1,1.588030517578125,0.522,1.6050950317382813,0.529
resolution_max_b1_gaussian_conv,3,saved,1,0.025,1,0.3197962188720703,0.901,0.5356449279785156,0.831
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.025,1,0.3147557373046875,0.906,0.5372298889160156,0.817
resolution_max_b1_gaussian_conv,3,saved,1,0.025,-1,0.3190760498046875,0.895,0.5652747497558593,0.812
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.025,-1,0.3095404205322266,0.905,0.5451010437011719,0.826
resolution_max_b1_gaussian_conv,3,saved,1,0.05,1,0.3782904357910156,0.866,0.5594044036865234,0.808
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.05,1,0.3462907104492188,0.893,0.5498343505859375,0.814
resolution_max_b1_gaussian_conv,3,saved,1,0.05,-1,0.3739842071533203,0.88,0.6184288024902344,0.791
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.05,-1,0.329223876953125,0.896,0.5624221801757813,0.825
resolution_max_b1_gaussian_conv,3,saved,1,0.1,1,0.6406438293457031,0.783,0.7466777954101562,0.739
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.1,1,0.47025079345703125,0.839,0.61858349609375,0.792
resolution_max_b1_gaussian_conv,3,saved,1,0.1,-1,0.6240887451171875,0.794,0.8797035217285156,0.712
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.1,-1,0.401781494140625,0.859,0.6213353271484375,0.785
resolution_max_b1_gaussian_conv,3,saved,1,0.2,1,1.952652099609375,0.491,1.9798651733398438,0.473
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.2,1,0.9082357177734375,0.707,1.0091712036132812,0.672
resolution_max_b1_gaussian_conv,3,saved,1,0.2,-1,2.3643819580078125,0.419,2.5369781494140624,0.396
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.2,-1,0.6804656982421875,0.761,0.874972412109375,0.706
resolution_max_b1_gaussian_conv,3,saved,1,0.25,1,2.9984261474609375,0.378,3.0484736328125,0.327
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.25,1,1.193107177734375,0.62,1.265508544921875,0.582
resolution_max_b1_gaussian_conv,3,saved,1,0.25,-1,3.97942431640625,0.277,4.103168701171875,0.238
resolution_max_b1_gaussian_conv,3,recalibrated,1,0.25,-1,0.9255476684570313,0.687,1.0885362548828126,0.63
resolution_max_b1_gaussian_conv,3,saved,2,0.025,1,0.317029052734375,0.912,0.5521310272216797,0.824
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.025,1,0.31219482421875,0.904,0.5431050415039063,0.829
resolution_max_b1_gaussian_conv,3,saved,2,0.025,-1,0.3223482666015625,0.898,0.5512634582519531,0.819
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.025,-1,0.31188372802734377,0.906,0.538163330078125,0.82
resolution_max_b1_gaussian_conv,3,saved,2,0.05,1,0.369931640625,0.881,0.5942295227050781,0.81
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.05,1,0.3364122772216797,0.894,0.5577825927734374,0.821
resolution_max_b1_gaussian_conv,3,saved,2,0.05,-1,0.38558293151855466,0.866,0.592044677734375,0.8
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.05,-1,0.33533685302734373,0.89,0.5480302734375,0.816
resolution_max_b1_gaussian_conv,3,saved,2,0.1,1,0.6336932983398438,0.782,0.8717942504882813,0.751
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.1,1,0.43179736328125,0.849,0.6253599243164063,0.797
resolution_max_b1_gaussian_conv,3,saved,2,0.1,-1,0.6898426513671875,0.753,0.835265625,0.714
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.1,-1,0.4244326477050781,0.864,0.6110132446289063,0.789
resolution_max_b1_gaussian_conv,3,saved,2,0.2,1,2.7583321533203127,0.412,3.02748291015625,0.375
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.2,1,0.8276287841796875,0.716,0.9791717529296875,0.678
resolution_max_b1_gaussian_conv,3,saved,2,0.2,-1,2.3291456298828126,0.452,2.342363037109375,0.413
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.2,-1,0.7266056823730469,0.758,0.8759536743164062,0.703
resolution_max_b1_gaussian_conv,3,saved,2,0.25,1,4.5500927734375,0.272,4.804872802734375,0.269
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.25,1,1.1171481323242187,0.64,1.25354150390625,0.615
resolution_max_b1_gaussian_conv,3,saved,2,0.25,-1,3.8363590087890627,0.311,3.7882158203125,0.29
resolution_max_b1_gaussian_conv,3,recalibrated,2,0.25,-1,0.9367547607421876,0.699,1.0753794555664062,0.63
resolution_max_b1_gaussian_conv,3,saved,3,0.025,1,0.3250796356201172,0.896,0.560500732421875,0.815
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.025,1,0.32081324768066405,0.902,0.5480469970703125,0.822
resolution_max_b1_gaussian_conv,3,saved,3,0.025,-1,0.3348572998046875,0.9,0.5615063629150391,0.819
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.025,-1,0.31813198852539065,0.904,0.543238540649414,0.818
resolution_max_b1_gaussian_conv,3,saved,3,0.05,1,0.40184841918945313,0.861,0.6280609436035156,0.789
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.05,1,0.36261680603027346,0.882,0.5774424743652343,0.809
resolution_max_b1_gaussian_conv,3,saved,3,0.05,-1,0.43222412109375,0.844,0.6561775207519531,0.793
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.05,-1,0.3650128479003906,0.878,0.583578857421875,0.806
resolution_max_b1_gaussian_conv,3,saved,3,0.1,1,0.6988728332519532,0.765,0.9009068908691407,0.711
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.1,1,0.48209616088867185,0.838,0.6722694396972656,0.768
resolution_max_b1_gaussian_conv,3,saved,3,0.1,-1,0.8440345764160156,0.719,1.07505078125,0.649
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.1,-1,0.5418709106445313,0.809,0.7408256225585937,0.759
resolution_max_b1_gaussian_conv,3,saved,3,0.2,1,1.7378064575195313,0.517,1.7981088256835938,0.502
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.2,1,0.8741990966796875,0.697,0.9826924133300782,0.677
resolution_max_b1_gaussian_conv,3,saved,3,0.2,-1,2.5947657470703125,0.366,2.686424560546875,0.383
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.2,-1,1.0827377319335938,0.656,1.2048626708984376,0.615
resolution_max_b1_gaussian_conv,3,saved,3,0.25,1,2.41077880859375,0.4,2.43485791015625,0.401
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.25,1,1.1295637817382813,0.632,1.1955765380859376,0.609
resolution_max_b1_gaussian_conv,3,saved,3,0.25,-1,3.7017384033203125,0.271,3.7295001220703123,0.286
resolution_max_b1_gaussian_conv,3,recalibrated,3,0.25,-1,1.3983973388671875,0.561,1.5277601928710938,0.528
resolution_max_b1_gaussian_conv,3,saved,4,0.025,1,0.3239766845703125,0.897,0.5606924743652344,0.81
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.025,1,0.3134759063720703,0.904,0.5418594665527344,0.823
resolution_max_b1_gaussian_conv,3,saved,4,0.025,-1,0.3203497161865234,0.898,0.5512807006835938,0.817
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.025,-1,0.31183700561523436,0.901,0.5397571105957031,0.822
resolution_max_b1_gaussian_conv,3,saved,4,0.05,1,0.3921011352539063,0.865,0.620612548828125,0.801
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.05,1,0.3409503631591797,0.888,0.5562694396972656,0.818
resolution_max_b1_gaussian_conv,3,saved,4,0.05,-1,0.3818285217285156,0.869,0.5950143737792969,0.801
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.05,-1,0.3338332214355469,0.889,0.5523567504882813,0.815
resolution_max_b1_gaussian_conv,3,saved,4,0.1,1,0.7303885498046875,0.757,0.914370849609375,0.712
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.1,1,0.45421548461914063,0.841,0.6405890502929688,0.79
resolution_max_b1_gaussian_conv,3,saved,4,0.1,-1,0.6189315795898438,0.784,0.7878347778320313,0.736
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.1,-1,0.4096368865966797,0.858,0.6036594543457031,0.794
resolution_max_b1_gaussian_conv,3,saved,4,0.2,1,2.46154931640625,0.417,2.530199951171875,0.412
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.2,1,0.98728857421875,0.666,1.1567100830078125,0.638
resolution_max_b1_gaussian_conv,3,saved,4,0.2,-1,1.5451324462890625,0.581,1.660869873046875,0.538
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.2,-1,0.6548567504882813,0.763,0.8379058532714844,0.714
resolution_max_b1_gaussian_conv,3,saved,4,0.25,1,3.8541220703125,0.313,3.8148101806640624,0.276
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.25,1,1.3704981689453124,0.566,1.50287353515625,0.547
resolution_max_b1_gaussian_conv,3,saved,4,0.25,-1,2.1854959716796873,0.467,2.326062744140625,0.437
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.25,-1,0.83342041015625,0.703,1.026144287109375,0.647
resolution_max_b1_gaussian_conv,3,saved,5,0.025,1,0.35089939880371096,0.887,0.5883050842285156,0.801
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.025,1,0.3134148101806641,0.904,0.5386576690673828,0.823
resolution_max_b1_gaussian_conv,3,saved,5,0.025,-1,0.33024249267578126,0.901,0.5566253356933594,0.81
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.025,-1,0.31325210571289064,0.901,0.5451429443359375,0.819
resolution_max_b1_gaussian_conv,3,saved,5,0.05,1,0.4912457122802734,0.824,0.71283837890625,0.761
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.05,1,0.3427543029785156,0.889,0.549086410522461,0.812
resolution_max_b1_gaussian_conv,3,saved,5,0.05,-1,0.4293985290527344,0.851,0.6389220581054688,0.775
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.05,-1,0.3411255340576172,0.886,0.5640823974609375,0.812
resolution_max_b1_gaussian_conv,3,saved,5,0.1,1,1.1286875,0.653,1.2742139892578126,0.623
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.1,1,0.44630258178710935,0.841,0.6059129638671875,0.784
resolution_max_b1_gaussian_conv,3,saved,5,0.1,-1,0.832669189453125,0.752,0.9652199401855469,0.702
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.1,-1,0.451044189453125,0.841,0.6392561340332031,0.785
resolution_max_b1_gaussian_conv,3,saved,5,0.2,1,3.9631727294921877,0.304,3.938134521484375,0.296
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.2,1,0.8056331481933594,0.723,0.8869742126464844,0.69
resolution_max_b1_gaussian_conv,3,saved,5,0.2,-1,2.3812431640625,0.436,2.413874755859375,0.411
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.2,-1,0.836437744140625,0.716,0.9613144226074218,0.672
resolution_max_b1_gaussian_conv,3,saved,5,0.25,1,6.145144775390625,0.215,6.041120361328125,0.2
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.25,1,1.0573004150390626,0.668,1.0945467834472655,0.631
resolution_max_b1_gaussian_conv,3,saved,5,0.25,-1,3.446193603515625,0.316,3.4657711181640627,0.289
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.25,-1,1.111341796875,0.633,1.2091580200195313,0.603
