kind,method,seed,grid,checkpoint_update,state_label,a_dir0,b_dir1,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.25,1.7920360107421875,0.452,1.9019912109375,0.43
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.225,1.7399276733398437,0.464,1.849064697265625,0.445
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.2,1.6940926513671875,0.488,1.7937855224609376,0.455
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.175,1.6520319213867187,0.498,1.7422139892578126,0.475
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.15,1.614598876953125,0.508,1.6958493041992186,0.49
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.125,1.5849860229492188,0.513,1.650342529296875,0.501
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.09999999999999998,1.5624955444335937,0.525,1.6094722900390626,0.514
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.07499999999999998,1.5462362060546875,0.53,1.5811937255859374,0.517
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.04999999999999999,1.545918701171875,0.531,1.5709141235351562,0.529
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,-0.024999999999999994,1.5598565673828124,0.52,1.58130029296875,0.528
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.0,1.588030517578125,0.522,1.6050950317382813,0.529
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.025000000000000022,1.6332435302734376,0.501,1.6404007568359376,0.523
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.050000000000000044,1.6912349853515625,0.497,1.6872781372070313,0.506
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.07500000000000001,1.755235107421875,0.485,1.7374657592773437,0.486
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.10000000000000003,1.8257657470703126,0.461,1.7914358520507812,0.472
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.125,1.9044775390625,0.454,1.8533070068359374,0.455
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.15000000000000002,1.9890750732421876,0.436,1.919138916015625,0.434
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.17500000000000004,2.0780947265625,0.411,1.9908297119140625,0.422
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.2,2.1742344970703127,0.386,2.06827587890625,0.41
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.22500000000000003,2.269728271484375,0.37,2.1507779541015624,0.377
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.25,0.25,2.36222998046875,0.349,2.2392427978515625,0.347
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.225,-0.25,1.6089595947265625,0.498,1.7175521850585938,0.475
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.225,-0.225,1.5499931640625,0.512,1.6637762451171876,0.483
