method,seed,epoch,update,lr_last_update,train_loss_epoch,state_resolution,state_sigma_G,current_train_probe500_ce,current_train_probe500_acc,current_test_full_ce,current_test_full_acc,target_train_probe500_ce,target_train_probe500_acc,target_test_full_ce,target_test_full_acc
gaussian_postrelu,3,0,0,8.333333333333333e-05,,,,3.492295166015625,0.1,3.489474560546875,0.0999,3.68685595703125,0.104,3.691997595214844,0.0972
gaussian_postrelu,3,1,391,0.004990141512569891,1.7113227781677247,,1.0,1.551806884765625,0.424,1.4922923889160156,0.4566,3.09961767578125,0.176,3.087592724609375,0.1818
gaussian_postrelu,3,2,782,0.004953056580549272,1.3213521145248412,,1.0,1.1869815673828126,0.544,1.1965556579589844,0.5656,4.214654296875,0.17,4.263857983398437,0.1688
gaussian_postrelu,3,3,1173,0.004888818630747975,1.1524946953201294,,1.0,1.067531494140625,0.62,1.14930810546875,0.5864,7.69892529296875,0.15,7.86394931640625,0.1467
gaussian_postrelu,3,4,1564,0.004798138716554241,1.0207601375579833,,0.85,1.0165506591796876,0.65,1.0464451049804688,0.6217,4.5800576171875,0.152,4.75436123046875,0.1435
gaussian_postrelu,3,5,1955,0.004682020578909872,0.931075096321106,,0.85,0.8997266235351562,0.698,0.947589974975586,0.6716,6.94832080078125,0.15,7.135571826171875,0.1506
gaussian_postrelu,3,6,2346,0.004541749535846712,0.849254266166687,,0.85,0.868924560546875,0.696,0.8452541595458984,0.7028,5.617458984375,0.148,5.831092578125,0.1583
gaussian_postrelu,3,7,2737,0.0043788782552308895,0.7805293596267701,,0.7,0.7949246826171875,0.718,0.8153173431396484,0.7143,2.9357451171875,0.26,3.0371035888671876,0.2528
gaussian_postrelu,3,8,3128,0.004195209568197074,0.7245917827796936,,0.7,0.7269195556640625,0.746,0.7711836151123047,0.728,2.90790576171875,0.298,2.967313098144531,0.2985
gaussian_postrelu,3,9,3519,0.0039927765135118086,0.680645121603012,,0.7,0.7014927978515625,0.742,0.7558657592773438,0.7373,2.82321484375,0.31,2.8548889892578124,0.313
gaussian_postrelu,3,10,3910,0.0037738198337559444,0.6382814556694031,,0.6,0.6328099365234375,0.776,0.673893130493164,0.7668,2.34375439453125,0.35,2.349903076171875,0.355
gaussian_postrelu,3,11,4301,0.0035407631724221527,0.6044031091117859,,0.6,0.541751220703125,0.808,0.66458525390625,0.7668,2.4450791015625,0.39,2.4762773681640624,0.3798
gaussian_postrelu,3,12,4692,0.003296186246472237,0.5755697554302216,,0.6,0.525613037109375,0.812,0.6477832000732422,0.7741,2.24915771484375,0.374,2.279352990722656,0.3678
gaussian_postrelu,3,13,5083,0.0030427962913086395,0.5545685171318054,,0.5,0.49232958984375,0.84,0.622975927734375,0.781,1.7575086669921876,0.464,1.8142213623046874,0.4348
gaussian_postrelu,3,14,5474,0.0027833980942373526,0.5198442757701873,,0.5,0.472259765625,0.836,0.6110024597167969,0.7861,1.6025712890625,0.486,1.6197030639648438,0.4745
gaussian_postrelu,3,15,5865,0.0025208629481234496,0.4947520094490051,,0.5,0.4591071166992188,0.866,0.6222262145996094,0.7878,1.7073681640625,0.474,1.7237800231933593,0.4702
gaussian_postrelu,3,16,6256,0.0022580968688929426,0.5210415820455551,,0.4,0.46005352783203124,0.846,0.5898733245849609,0.7956,0.7482442626953125,0.76,0.8230994140625,0.712
gaussian_postrelu,3,17,6647,0.0019980084286831713,0.4751746339225769,,0.4,0.45699481201171877,0.862,0.6113200714111328,0.7905,0.7106475219726562,0.764,0.8174908111572265,0.7138
gaussian_postrelu,3,18,7038,0.0017434765606983522,0.44482369937896726,,0.4,0.3880934753417969,0.892,0.5781388748168945,0.7993,0.6423792724609375,0.77,0.7790291259765625,0.7347
gaussian_postrelu,3,19,7429,0.0014973186921401005,0.4839431566905975,,0.3,0.41406271362304686,0.866,0.5785056884765625,0.795,0.4226034545898438,0.872,0.5847436798095703,0.7937
gaussian_postrelu,3,20,7820,0.0012622595579512698,0.44043488567352296,,0.3,0.38235409545898436,0.874,0.568592041015625,0.803,0.39152880859375,0.874,0.576990072631836,0.7997
gaussian_postrelu,3,21,8211,0.0010409010405754784,0.41464113404750824,,0.3,0.36436126708984373,0.88,0.5629379638671875,0.8064,0.36981451416015626,0.884,0.5688649810791016,0.8028
gaussian_postrelu,3,22,8602,0.0008356933695777008,0.39780147288799284,,0.0,0.3459447021484375,0.898,0.5587349212646484,0.8084,0.3459447021484375,0.898,0.5587349212646484,0.8084
gaussian_postrelu,3,23,8993,0.0006489079999188671,0.37996493310451507,,0.0,0.3237286987304687,0.9,0.5579160003662109,0.8071,0.3237286987304687,0.9,0.5579160003662109,0.8071
gaussian_postrelu,3,24,9384,0.0004826124690963721,0.3623264600419998,,0.0,0.314440673828125,0.91,0.5569347305297851,0.8089,0.314440673828125,0.91,0.5569347305297851,0.8089
gaussian_postrelu,3,25,9775,0.0003386475114581614,0.3513906265830994,,0.0,0.3011807861328125,0.908,0.5529406066894531,0.8126,0.3011807861328125,0.908,0.5529406066894531,0.8126
gaussian_postrelu,3,26,10166,0.00021860668301331375,0.3415661864423752,,0.0,0.29819378662109375,0.916,0.549800569152832,0.8124,0.29819378662109375,0.916,0.549800569152832,0.8124
gaussian_postrelu,3,27,10557,0.00012381872227320984,0.33624534949302676,,0.0,0.29026177978515627,0.912,0.5512639953613281,0.8093,0.29026177978515627,0.912,0.5512639953613281,0.8093
gaussian_postrelu,3,28,10948,5.53328423720989e-05,0.3324042836737633,,0.0,0.286975341796875,0.922,0.5511771865844727,0.8092,0.286975341796875,0.922,0.5511771865844727,0.8092
gaussian_postrelu,3,29,11339,1.3907117269393864e-05,0.3301838365364075,,0.0,0.28999822998046876,0.912,0.5492254592895508,0.812,0.28999822998046876,0.912,0.5492254592895508,0.812
gaussian_postrelu,3,30,11730,9.058745198409212e-11,0.3267393498158455,,0.0,0.2840516357421875,0.918,0.5513179992675781,0.8098,0.2840516357421875,0.918,0.5513179992675781,0.8098
plain,3,0,0,8.333333333333333e-05,,,,3.68685595703125,0.104,3.691997595214844,0.0972,3.68685595703125,0.104,3.691997595214844,0.0972
plain,3,1,391,0.004990141512569891,1.841652247695923,,,1.603852783203125,0.412,1.5485592346191406,0.4152,1.603852783203125,0.412,1.5485592346191406,0.4152
plain,3,2,782,0.004953056580549272,1.4491473265075683,,,1.3467955322265626,0.502,1.3041643249511718,0.5167,1.3467955322265626,0.502,1.3041643249511718,0.5167
plain,3,3,1173,0.004888818630747975,1.258336524543762,,,1.192329345703125,0.552,1.188187841796875,0.5511,1.192329345703125,0.552,1.188187841796875,0.5511
plain,3,4,1564,0.004798138716554241,1.1292618534851073,,,1.092560791015625,0.618,1.1202454345703126,0.5901,1.092560791015625,0.618,1.1202454345703126,0.5901
plain,3,5,1955,0.004682020578909872,1.029959261302948,,,0.9601209106445312,0.65,1.0315562866210937,0.6357,0.9601209106445312,0.65,1.0315562866210937,0.6357
plain,3,6,2346,0.004541749535846712,0.9539095951843262,,,0.900104248046875,0.682,0.9538630432128906,0.6584,0.900104248046875,0.682,0.9538630432128906,0.6584
plain,3,7,2737,0.0043788782552308895,0.8851714581298828,,,0.885863037109375,0.68,0.9268636322021484,0.6649,0.885863037109375,0.68,0.9268636322021484,0.6649
plain,3,8,3128,0.004195209568197074,0.8271875308227539,,,0.7861747436523437,0.728,0.9114160064697265,0.6764,0.7861747436523437,0.728,0.9114160064697265,0.6764
plain,3,9,3519,0.0039927765135118086,0.77932006067276,,,0.7785768432617187,0.74,0.8626730773925781,0.6911,0.7785768432617187,0.74,0.8626730773925781,0.6911
plain,3,10,3910,0.0037738198337559444,0.7329683531570435,,,0.663888671875,0.78,0.8075857452392579,0.7133,0.663888671875,0.78,0.8075857452392579,0.7133
plain,3,11,4301,0.0035407631724221527,0.6878872255897522,,,0.607631591796875,0.792,0.7785115295410157,0.7262,0.607631591796875,0.792,0.7785115295410157,0.7262
plain,3,12,4692,0.003296186246472237,0.6512082927513122,,,0.5824549560546874,0.788,0.7713563446044922,0.7312,0.5824549560546874,0.788,0.7713563446044922,0.7312
plain,3,13,5083,0.0030427962913086395,0.6091839517307281,,,0.546986572265625,0.804,0.7596159759521485,0.7324,0.546986572265625,0.804,0.7596159759521485,0.7324
plain,3,14,5474,0.0027833980942373526,0.5761489974117279,,,0.5583826293945312,0.808,0.797472982788086,0.7287,0.5583826293945312,0.808,0.797472982788086,0.7287
plain,3,15,5865,0.0025208629481234496,0.5447786811161042,,,0.46622003173828125,0.842,0.7418140533447266,0.7482,0.46622003173828125,0.842,0.7418140533447266,0.7482
plain,3,16,6256,0.0022580968688929426,0.5048447144031525,,,0.43746380615234376,0.848,0.7299530029296875,0.7552,0.43746380615234376,0.848,0.7299530029296875,0.7552
plain,3,17,6647,0.0019980084286831713,0.473313833527565,,,0.39273809814453126,0.864,0.7466914337158204,0.7502,0.39273809814453126,0.864,0.7466914337158204,0.7502
plain,3,18,7038,0.0017434765606983522,0.4476886192274094,,,0.3446319885253906,0.896,0.7295159423828125,0.7533,0.3446319885253906,0.896,0.7295159423828125,0.7533
plain,3,19,7429,0.0014973186921401005,0.41945144776821136,,,0.3244436645507813,0.902,0.7331669342041016,0.7549,0.3244436645507813,0.902,0.7331669342041016,0.7549
plain,3,20,7820,0.0012622595579512698,0.3906873693180084,,,0.29613787841796874,0.92,0.7404798156738281,0.7542,0.29613787841796874,0.92,0.7404798156738281,0.7542
plain,3,21,8211,0.0010409010405754784,0.36652066848754883,,,0.3071837158203125,0.91,0.7424451171875,0.7554,0.3071837158203125,0.91,0.7424451171875,0.7554
plain,3,22,8602,0.0008356933695777008,0.34163665976047514,,,0.2553866424560547,0.928,0.7500126586914062,0.7501,0.2553866424560547,0.928,0.7500126586914062,0.7501
plain,3,23,8993,0.0006489079999188671,0.32231448734283447,,,0.24616998291015624,0.934,0.7637967346191407,0.7522,0.24616998291015624,0.934,0.7637967346191407,0.7522
plain,3,24,9384,0.0004826124690963721,0.304554214758873,,,0.226142822265625,0.94,0.7566713745117187,0.7521,0.226142822265625,0.94,0.7566713745117187,0.7521
plain,3,25,9775,0.0003386475114581614,0.290635894651413,,,0.2171263732910156,0.942,0.7638286865234375,0.7551,0.2171263732910156,0.942,0.7638286865234375,0.7551
plain,3,26,10166,0.00021860668301331375,0.27767430636882784,,,0.21852337646484374,0.94,0.7634103179931641,0.7545,0.21852337646484374,0.94,0.7634103179931641,0.7545
plain,3,27,10557,0.00012381872227320984,0.2724901417732239,,,0.2000697784423828,0.948,0.7627235290527343,0.7527,0.2000697784423828,0.948,0.7627235290527343,0.7527
plain,3,28,10948,5.53328423720989e-05,0.2648418333101273,,,0.20249276733398439,0.94,0.7675804412841797,0.7522,0.20249276733398439,0.94,0.7675804412841797,0.7522
plain,3,29,11339,1.3907117269393864e-05,0.2626179565358162,,,0.19995809936523437,0.952,0.7659952392578125,0.7509,0.19995809936523437,0.952,0.7659952392578125,0.7509
plain,3,30,11730,9.058745198409212e-11,0.26044659705638884,,,0.19598406982421876,0.938,0.7673122619628906,0.7535,0.19598406982421876,0.938,0.7673122619628906,0.7535
resolution_max_b1,3,0,0,8.333333333333333e-05,,,,3.80025244140625,0.1,3.8190436279296875,0.0999,3.68685595703125,0.104,3.691997595214844,0.0972
resolution_max_b1,3,1,391,0.004990141512569891,1.8041388804244995,16,,1.5311036376953124,0.45,1.4686698425292968,0.4546,3.0766337890625,0.242,3.08103291015625,0.2386
resolution_max_b1,3,2,782,0.004953056580549272,1.3894069092559815,16,,1.2941282958984375,0.53,1.2756695068359376,0.5392,3.715778076171875,0.2,3.7011413452148436,0.2203
resolution_max_b1,3,3,1173,0.004888818630747975,1.212220648880005,16,,1.113147705078125,0.598,1.1372056884765624,0.5828,4.3071767578125,0.172,4.2761620483398435,0.1748
resolution_max_b1,3,4,1564,0.004798138716554241,1.087878399848938,16,,1.0260321044921874,0.634,1.0667603546142579,0.6139,4.2483271484375,0.18,4.237445837402344,0.1814
resolution_max_b1,3,5,1955,0.004682020578909872,0.9870639764404296,16,,0.9190003662109375,0.668,1.001291390991211,0.6434,4.5975908203125,0.152,4.576205908203125,0.1533
resolution_max_b1,3,6,2346,0.004541749535846712,0.9083870538520813,16,,0.84183154296875,0.706,0.9170228546142578,0.6692,4.4769775390625,0.174,4.43468212890625,0.1723
resolution_max_b1,3,7,2737,0.0043788782552308895,0.9504492030143737,24,,0.9120880126953125,0.678,0.8812069519042969,0.6855,4.18176904296875,0.166,4.104996716308594,0.1663
resolution_max_b1,3,8,3128,0.004195209568197074,0.8403912051391601,24,,0.8136587524414063,0.706,0.8503714141845703,0.6998,4.8472783203125,0.108,4.756914331054688,0.1155
resolution_max_b1,3,9,3519,0.0039927765135118086,0.7733204484558105,24,,0.73409716796875,0.74,0.790215396118164,0.7193,3.7268291015625,0.188,3.646322033691406,0.2119
resolution_max_b1,3,10,3910,0.0037738198337559444,0.7193003328323364,24,,0.6579237060546875,0.778,0.7416181640625,0.7359,4.025189697265625,0.202,3.9904282348632814,0.1991
resolution_max_b1,3,11,4301,0.0035407631724221527,0.6736974884223939,24,,0.6262443237304688,0.8,0.7260034088134766,0.7446,3.70245166015625,0.202,3.6443541259765624,0.2052
resolution_max_b1,3,12,4692,0.003296186246472237,0.6321576824665069,24,,0.5480274658203125,0.804,0.7118127075195313,0.7515,3.78178955078125,0.186,3.7228384399414063,0.1891
resolution_max_b1,3,13,5083,0.0030427962913086395,0.75049323097229,32,,0.6233494873046875,0.782,0.7341485137939453,0.7445,0.6233494873046875,0.782,0.7341485137939453,0.7445
resolution_max_b1,3,14,5474,0.0027833980942373526,0.664638706741333,32,,0.5809475708007813,0.796,0.6762098083496094,0.7643,0.5809475708007813,0.796,0.6762098083496094,0.7643
resolution_max_b1,3,15,5865,0.0025208629481234496,0.6198970760440826,32,,0.52191845703125,0.832,0.6505777954101563,0.7713,0.52191845703125,0.832,0.6505777954101563,0.7713
resolution_max_b1,3,16,6256,0.0022580968688929426,0.5782378728675842,32,,0.5194537353515625,0.82,0.657418017578125,0.7719,0.5194537353515625,0.82,0.657418017578125,0.7719
resolution_max_b1,3,17,6647,0.0019980084286831713,0.5502334853744507,32,,0.47549444580078126,0.84,0.6394591430664063,0.7778,0.47549444580078126,0.84,0.6394591430664063,0.7778
resolution_max_b1,3,18,7038,0.0017434765606983522,0.5184823270511627,32,,0.41110638427734375,0.874,0.6165100616455078,0.7863,0.41110638427734375,0.874,0.6165100616455078,0.7863
resolution_max_b1,3,19,7429,0.0014973186921401005,0.4959299555969238,32,,0.41313150024414064,0.864,0.6153813537597657,0.79,0.41313150024414064,0.864,0.6153813537597657,0.79
resolution_max_b1,3,20,7820,0.0012622595579512698,0.4708684041595459,32,,0.3934827880859375,0.854,0.6044108642578125,0.791,0.3934827880859375,0.854,0.6044108642578125,0.791
resolution_max_b1,3,21,8211,0.0010409010405754784,0.4498524608898163,32,,0.3774703063964844,0.878,0.6034408020019532,0.7905,0.3774703063964844,0.878,0.6034408020019532,0.7905
resolution_max_b1,3,22,8602,0.0008356933695777008,0.43202287237644194,32,,0.33780679321289064,0.896,0.6019255096435547,0.7931,0.33780679321289064,0.896,0.6019255096435547,0.7931
resolution_max_b1,3,23,8993,0.0006489079999188671,0.4134181692266464,32,,0.33346826171875,0.896,0.6055298767089844,0.7941,0.33346826171875,0.896,0.6055298767089844,0.7941
resolution_max_b1,3,24,9384,0.0004826124690963721,0.39888484459877016,32,,0.33005584716796876,0.884,0.5967498092651368,0.7953,0.33005584716796876,0.884,0.5967498092651368,0.7953
