method,seed,direction,amplitude,split,L0_calib2k,L0_calib10k,S_calib2k,S_calib10k
plain,0,0,0.1,train_probe,0.22218031311035155,0.2214163360595703,0.19939978790283205,0.19817106628417971
plain,0,0,0.1,test_probe,0.7570303955078125,0.7559800415039063,0.08328224182128907,0.08224270629882813
plain,0,0,0.25,train_probe,0.22218031311035155,0.2214163360595703,1.0515560760498048,1.0470514678955078
plain,0,0,0.25,test_probe,0.7570303955078125,0.7559800415039063,0.6808567199707031,0.6776826782226563
plain,0,1,0.1,train_probe,0.22218031311035155,0.2214163360595703,0.1541743927001953,0.15248880004882817
plain,0,1,0.1,test_probe,0.7570303955078125,0.7559800415039063,0.06803314208984379,0.06670391845703116
plain,0,1,0.25,train_probe,0.22218031311035155,0.2214163360595703,0.8635385131835936,0.8586356811523438
plain,0,1,0.25,test_probe,0.7570303955078125,0.7559800415039063,0.5393587646484376,0.5381058044433592
resolution_max_b1,0,0,0.1,train_probe,0.31810240173339843,0.317218994140625,0.1353298034667969,0.1359179611206055
resolution_max_b1,0,0,0.1,test_probe,0.5604129028320313,0.5590862121582031,0.092548355102539,0.09416523742675786
resolution_max_b1,0,0,0.25,train_probe,0.31810240173339843,0.317218994140625,0.7531443634033204,0.7530910339355468
resolution_max_b1,0,0,0.25,test_probe,0.5604129028320313,0.5590862121582031,0.6109908142089844,0.6107594909667969
resolution_max_b1,0,1,0.1,train_probe,0.31810240173339843,0.317218994140625,0.1265753326416016,0.12618957519531254
resolution_max_b1,0,1,0.1,test_probe,0.5604129028320313,0.5590862121582031,0.09324472045898435,0.09222514343261723
resolution_max_b1,0,1,0.25,train_probe,0.31810240173339843,0.317218994140625,0.7415653991699218,0.7406387786865234
resolution_max_b1,0,1,0.25,test_probe,0.5604129028320313,0.5590862121582031,0.64148486328125,0.6395362243652344
gaussian_postrelu,0,0,0.1,train_probe,0.2824344940185547,0.2815703125,0.24669001770019527,0.24490687561035163
gaussian_postrelu,0,0,0.1,test_probe,0.5683609161376953,0.5664416656494141,0.14579512023925778,0.1471152648925781
gaussian_postrelu,0,0,0.25,train_probe,0.2824344940185547,0.2815703125,1.331077224731445,1.3273860473632813
gaussian_postrelu,0,0,0.25,test_probe,0.5683609161376953,0.5664416656494141,1.1016586151123047,1.102299331665039
gaussian_postrelu,0,1,0.1,train_probe,0.2824344940185547,0.2815703125,0.15302274322509768,0.15224883270263673
gaussian_postrelu,0,1,0.1,test_probe,0.5683609161376953,0.5664416656494141,0.09278094482421873,0.09307476806640624
gaussian_postrelu,0,1,0.25,train_probe,0.2824344940185547,0.2815703125,0.8786806945800781,0.875203826904297
gaussian_postrelu,0,1,0.25,test_probe,0.5683609161376953,0.5664416656494141,0.7340000762939453,0.734367202758789
resolution_max_b1_gaussian_conv,0,0,0.1,train_probe,0.30662591552734375,0.3070467224121094,0.11579003906249996,0.11542513275146482
resolution_max_b1_gaussian_conv,0,0,0.1,test_probe,0.5280258178710937,0.5280684967041016,0.08189413452148442,0.08221566772460931
resolution_max_b1_gaussian_conv,0,0,0.25,train_probe,0.30662591552734375,0.3070467224121094,0.7383249816894532,0.7359845275878905
resolution_max_b1_gaussian_conv,0,0,0.25,test_probe,0.5280258178710937,0.5280684967041016,0.5903117065429688,0.5893558044433593
resolution_max_b1_gaussian_conv,0,1,0.1,train_probe,0.30662591552734375,0.3070467224121094,0.08273301696777347,0.08261494445800777
resolution_max_b1_gaussian_conv,0,1,0.1,test_probe,0.5280258178710937,0.5280684967041016,0.05799121093750004,0.05844010925292964
resolution_max_b1_gaussian_conv,0,1,0.25,train_probe,0.30662591552734375,0.3070467224121094,0.5531696014404297,0.5536866149902344
resolution_max_b1_gaussian_conv,0,1,0.25,test_probe,0.5280258178710937,0.5280684967041016,0.47747845458984384,0.47911585998535156
