method,transition_update,seed,state_label,state,split,L_center_saved,L_center_recalibrated,S_recal_eps0.025,n_dirs_eps0.025,S_recal_eps0.05,n_dirs_eps0.05,S_recal_eps0.1,n_dirs_eps0.1,S_recal_eps0.2,n_dirs_eps0.2,S_recal_eps0.25,n_dirs_eps0.25
resolution_max_b1,2346,0,before,"{""resolution"": 16, ""sigma"": null}",train_probe,0.83456396484375,0.8184943237304687,0.0032548767089844,10,0.013719895935058613,10,0.05575522766113287,10,0.2164990585327149,10,0.3319255004882814,10
resolution_max_b1,2346,0,before,"{""resolution"": 16, ""sigma"": null}",test_probe,0.9431787109375,0.9242914123535156,0.003218031311035152,10,0.012444329833984368,10,0.047895822143554666,10,0.1842630386352539,10,0.28455463562011724,10
resolution_max_b1,2346,0,after,"{""resolution"": 24, ""sigma"": null}",train_probe,1.0730078735351563,1.04701171875,0.0030589752197264673,10,0.013519410705566236,10,0.05535396118164053,10,0.21128043823242176,10,0.3198772033691405,10
resolution_max_b1,2346,0,after,"{""resolution"": 24, ""sigma"": null}",test_probe,1.0931363525390625,1.0596719360351563,0.0034673965454101287,10,0.013958630371093683,10,0.054539135742187474,10,0.20324064331054678,10,0.30584695129394524,10
resolution_max_b1,2346,0,r=32,"{""resolution"": 32, ""sigma"": null}",train_probe,4.102716674804688,1.715031005859375,0.0034562225341797205,10,0.013954074096679725,10,0.05246033020019534,10,0.183993783569336,10,0.27020917663574223,10
resolution_max_b1,2346,0,r=32,"{""resolution"": 32, ""sigma"": null}",test_probe,4.1056923828125,1.7683689575195312,0.0030353820800782085,10,0.013192126464843823,10,0.0510541076660157,10,0.1785138732910157,10,0.259465985107422,10
resolution_max_b1,2346,1,before,"{""resolution"": 16, ""sigma"": null}",train_probe,0.795326416015625,0.7794854431152344,0.004055348205566411,10,0.016201496887207047,10,0.06497377777099608,10,0.2574694625854492,10,0.3969604934692383,10
resolution_max_b1,2346,1,before,"{""resolution"": 16, ""sigma"": null}",test_probe,0.9194975280761719,0.89855078125,0.003321180725097661,10,0.013811940002441426,10,0.05656734619140628,10,0.2236057800292969,10,0.3492454528808594,10
resolution_max_b1,2346,1,after,"{""resolution"": 24, ""sigma"": null}",train_probe,1.1230718383789062,1.046666015625,0.0035099868774413736,10,0.014422540283203045,10,0.05929423065185542,10,0.23818052978515625,10,0.3674271575927734,10
resolution_max_b1,2346,1,after,"{""resolution"": 24, ""sigma"": null}",test_probe,1.1266748657226562,1.0577495727539064,0.0029991149902343084,10,0.012759022521972585,10,0.05483162536621082,10,0.228328106689453,10,0.3548157287597655,10
