A,B,seed,status,train_probe_L_A,train_probe_L_B,train_probe_max,train_probe_argmax_alpha,train_probe_barrier,train_probe_min_acc,test_probe_L_A,test_probe_L_B,test_probe_max,test_probe_argmax_alpha,test_probe_barrier,test_probe_min_acc
plain,resolution_max_b1,0,complete,0.22218031311035155,0.31810240173339843,1.2376979370117187,0.52,0.9195955352783203,0.588,0.7570303955078125,0.5604129028320313,1.2838489990234374,0.52,0.5268186035156249,0.54
plain,resolution_max_b1,1,complete,0.19905135345458985,0.30492636108398435,1.1735233154296876,0.48,0.8685969543457033,0.601,0.7145313110351562,0.5631025390625,1.3078757934570313,0.48,0.5933444824218751,0.571
plain,resolution_max_b1,2,complete,0.19441744995117188,0.2894099578857422,1.0975667724609375,0.5,0.8081568145751953,0.638,0.7352325439453125,0.5525310974121094,1.2001690063476562,0.5,0.46493646240234376,0.632
plain,resolution_max_b1,3,complete,0.17704528045654297,0.2843556213378906,1.1388706665039063,0.5,0.8545150451660157,0.609,0.7611475219726562,0.5726373291015625,1.2175637817382812,0.5,0.45641625976562494,0.576
plain,resolution_max_b1,4,complete,0.16457229614257812,0.3020180816650391,1.146296630859375,0.48,0.8442785491943359,0.625,0.7361421203613281,0.5623948669433594,1.2782784423828124,0.48,0.5421363220214843,0.581
plain,gaussian_postrelu,0,complete,0.22218031311035155,0.2824344940185547,1.8411221313476562,0.46,1.5586876373291014,0.34,0.7570303955078125,0.5683609161376953,1.8548470458984374,0.46,1.0978166503906248,0.326
plain,gaussian_postrelu,1,complete,0.19905135345458985,0.29103431701660154,1.643766845703125,0.5,1.3527325286865235,0.422,0.7145313110351562,0.5690420837402344,1.684494384765625,0.48,0.9699630737304689,0.413
plain,gaussian_postrelu,2,complete,0.19441744995117188,0.2518327789306641,1.4825753173828125,0.48,1.2307425384521484,0.477,0.7352325439453125,0.5980935974121093,1.5487567138671876,0.48,0.8135241699218752,0.472
plain,gaussian_postrelu,3,complete,0.17704528045654297,0.25617376708984374,1.5671622924804687,0.5,1.3109885253906248,0.468,0.7611475219726562,0.5582676391601562,1.5879701538085937,0.48,0.8268226318359375,0.474
plain,gaussian_postrelu,4,complete,0.16457229614257812,0.26275741577148437,1.5288340454101563,0.46,1.2660766296386718,0.499,0.7361421203613281,0.5919629516601562,1.611963623046875,0.48,0.8758215026855469,0.476
plain,resolution_max_b1_gaussian_conv,0,complete,0.22218031311035155,0.30662591552734375,1.4344414672851562,0.48,1.1278155517578123,0.501,0.7570303955078125,0.5280258178710937,1.5098715209960938,0.5,0.7528411254882813,0.465
plain,resolution_max_b1_gaussian_conv,1,complete,0.19905135345458985,0.2950891418457031,1.5170205078125,0.48,1.221931365966797,0.496,0.7145313110351562,0.5520675659179688,1.5503707275390626,0.46,0.8358394165039064,0.499
plain,resolution_max_b1_gaussian_conv,2,complete,0.19441744995117188,0.29257167053222655,1.2073253784179687,0.5,0.9147537078857422,0.59,0.7352325439453125,0.5407951049804688,1.2908814086914062,0.48,0.5556488647460938,0.552
plain,resolution_max_b1_gaussian_conv,3,complete,0.17704528045654297,0.3031758270263672,1.2759849243164063,0.48,0.9728090972900392,0.546,0.7611475219726562,0.53676806640625,1.291505615234375,0.48,0.5303580932617187,0.532
plain,resolution_max_b1_gaussian_conv,4,complete,0.16457229614257812,0.29518101501464844,1.2067232666015626,0.5,0.9115422515869142,0.568,0.7361421203613281,0.4987561950683594,1.3160577392578126,0.5,0.5799156188964845,0.551
resolution_max_b1,resolution_max_b1_gaussian_conv,0,complete,0.31810240173339843,0.30662591552734375,1.3082142944335937,0.5,0.9901118927001953,0.547,0.5604129028320313,0.5280258178710937,1.370307373046875,0.5,0.8098944702148438,0.517
resolution_max_b1,resolution_max_b1_gaussian_conv,1,complete,0.30492636108398435,0.2950891418457031,0.9077465209960938,0.5,0.6028201599121095,0.688,0.5631025390625,0.5520675659179688,0.9986152954101563,0.5,0.4355127563476563,0.658
resolution_max_b1,resolution_max_b1_gaussian_conv,2,complete,0.2894099578857422,0.29257167053222655,1.087635986328125,0.5,0.7950643157958985,0.64,0.5525310974121094,0.5407951049804688,1.1447314453125,0.5,0.5922003479003906,0.61
resolution_max_b1,resolution_max_b1_gaussian_conv,3,complete,0.2843556213378906,0.3031758270263672,1.1929297485351562,0.48,0.8897539215087891,0.585,0.5726373291015625,0.53676806640625,1.250851806640625,0.48,0.6782144775390624,0.594
resolution_max_b1,resolution_max_b1_gaussian_conv,4,complete,0.3020180816650391,0.29518101501464844,1.131333251953125,0.48,0.8293151702880859,0.599,0.5623948669433594,0.4987561950683594,1.23458349609375,0.48,0.6721886291503907,0.572
