policy,split,amplitude,method,n_seeds,mean_diff_vs_plain,sd_across_seeds,n_seeds_lower_than_plain,seed0,seed1,seed2,seed3,seed4
saved,train_probe,0.025,resolution_max_b1,5,-0.014055639495849615,0.003541602944274381,5,-0.012382202720642076,-0.017907736968994156,-0.017858406829833993,-0.010762452316284182,-0.011367398643493655
saved,train_probe,0.025,gaussian_postrelu,5,-0.002700222434997569,0.0054327748237419276,3,-0.0011213037490844652,-0.007122184753418012,-0.009631449317932153,0.0018680507659912249,0.0025057748794555593
saved,train_probe,0.025,resolution_max_b1_gaussian_conv,5,-0.016428677673339845,0.0031556384415924363,5,-0.01656587238311769,-0.01971677742004395,-0.01927931060791019,-0.012521931457519495,-0.014059496498107907
saved,train_probe,0.05,resolution_max_b1,5,-0.05997340679168702,0.011375132605113128,5,-0.052816117095947246,-0.07377216758728028,-0.07084300041198735,-0.05271373748779297,-0.049722011375427255
saved,train_probe,0.05,gaussian_postrelu,5,-0.0043043474960327175,0.024982331481077112,3,-0.000728340911865244,-0.025071346282958984,-0.03427738151550297,0.023849647140502944,0.014705684089660664
saved,train_probe,0.05,resolution_max_b1_gaussian_conv,5,-0.0699087376022339,0.009204550208649697,5,-0.07107735176086429,-0.08003380241394044,-0.07696180114746098,-0.05782287635803218,-0.06364785633087161
saved,train_probe,0.1,resolution_max_b1,5,-0.268175668258667,0.04046020844699758,5,-0.24442386932373034,-0.3194245635986327,-0.2967154342651367,-0.26221322746276876,-0.2181012466430664
saved,train_probe,0.1,gaussian_postrelu,5,-0.024414371643066368,0.10774593705655422,2,0.007490406417846707,-0.13855790481567376,-0.13466211624145508,0.1010692211151124,0.04258853530883788
saved,train_probe,0.1,resolution_max_b1_gaussian_conv,5,-0.3122757609558105,0.03444568100648404,5,-0.3295997058868408,-0.3541234100341796,-0.32167003707885744,-0.26668390769958494,-0.2893017440795898
saved,train_probe,0.2,resolution_max_b1,5,-1.0575729684448247,0.15357442326720697,5,-1.1720973281860356,-1.1945338333129887,-1.092635667419434,-1.014753118896485,-0.8138448944091801
saved,train_probe,0.2,gaussian_postrelu,5,-0.4623636242675782,0.34819452482563984,5,-0.321524787902832,-0.9473352035522464,-0.69635135345459,-0.10981007995605507,-0.2367966964721675
saved,train_probe,0.2,resolution_max_b1_gaussian_conv,5,-1.240911994171143,0.21450709431542433,5,-1.51026992263794,-1.4337948730468755,-1.129797261047364,-1.0530113815307622,-1.0776865325927734
saved,train_probe,0.25,resolution_max_b1,5,-1.470098885803223,0.24699844428790046,5,-1.8148705368041997,-1.6032858581542966,-1.404380642700195,-1.3592066116333021,-1.168750779724121
saved,train_probe,0.25,gaussian_postrelu,5,-0.8969434378051762,0.40591716910731407,5,-0.7848952133178715,-1.5133236907958993,-1.0650020050048825,-0.48233470611572393,-0.6391615737915037
saved,train_probe,0.25,resolution_max_b1_gaussian_conv,5,-1.7633243170166015,0.3789647261679515,5,-2.279359584045411,-2.053797233581543,-1.4335518569946277,-1.5514308975219735,-1.4984820129394527
saved,test_probe,0.025,resolution_max_b1,5,-0.011457700195312495,0.0026370791112160707,5,-0.008505101013183535,-0.012032622528076159,-0.014581481170654241,-0.013174148559570338,-0.008995147705078206
saved,test_probe,0.025,gaussian_postrelu,5,-0.0032865566253661924,0.005100957057133102,4,-0.0028163661956786615,-0.006785461425781184,-0.009726368713378834,-0.0001829315185547173,0.0030783447265624354
saved,test_probe,0.025,resolution_max_b1_gaussian_conv,5,-0.013682074432373065,0.0031505442833818153,5,-0.011430782699584963,-0.015717630004882858,-0.016317886352539057,-0.015682646179199233,-0.009261426925659216
saved,test_probe,0.05,resolution_max_b1,5,-0.048263944549560525,0.0087000858053366,5,-0.03985892410278316,-0.05179772644042964,-0.059130233001708915,-0.05173122634887692,-0.03880161285400402
