method,seed,policy,split,direction,direction_seed,amplitude,L_center,dL_plus,dL_minus,S,acc_center,acc_plus,acc_minus
plain,0,saved,train_probe,0,1313003410,0.025,0.2235287322998047,0.028175292968749988,0.043100387573242194,0.03563784027099609,0.941,0.927,0.928
plain,0,saved,test_probe,0,1313003410,0.025,0.7621461791992188,0.014880340576171824,0.02529299926757811,0.02008666992187491,0.739,0.739,0.725
plain,0,saved,train_probe,0,1313003410,0.05,0.2235287322998047,0.12812873840332029,0.16464973449707032,0.1463892364501953,0.941,0.876,0.876
plain,0,saved,test_probe,0,1313003410,0.05,0.7621461791992188,0.07217196655273439,0.10992388916015616,0.09104792785644533,0.739,0.738,0.709
plain,0,saved,train_probe,0,1313003410,0.1,0.2235287322998047,0.5451551361083984,0.6911362152099609,0.6181456756591797,0.941,0.755,0.698
plain,0,saved,test_probe,0,1313003410,0.1,0.7621461791992188,0.37585223388671873,0.538519775390625,0.457186004638672,0.739,0.671,0.608
plain,0,saved,train_probe,0,1313003410,0.2,0.2235287322998047,2.5141608428955076,2.8424716339111327,2.67831623840332,0.941,0.48,0.359
plain,0,saved,test_probe,0,1313003410,0.2,0.7621461791992188,2.049766906738281,2.4934553833007813,2.2716111450195315,0.739,0.473,0.322
plain,0,saved,train_probe,0,1313003410,0.25,0.2235287322998047,4.15501985168457,4.3370193634033205,4.246019607543945,0.941,0.358,0.261
plain,0,saved,test_probe,0,1313003410,0.25,0.7621461791992188,3.5552883911132813,3.9830759887695315,3.7691821899414064,0.739,0.362,0.246
plain,0,saved,train_probe,1,1457967038,0.025,0.2235287322998047,0.04365578460693359,0.049446121215820316,0.04655095291137695,0.941,0.92,0.918
plain,0,saved,test_probe,1,1457967038,0.025,0.7621461791992188,0.04789794921875001,0.03230331420898436,0.04010063171386724,0.739,0.73,0.724
plain,0,saved,train_probe,1,1457967038,0.05,0.2235287322998047,0.18927874755859375,0.19752413940429686,0.19340144348144533,0.941,0.853,0.856
plain,0,saved,test_probe,1,1457967038,0.05,0.7621461791992188,0.18085592651367188,0.16873455810546867,0.17479524230957022,0.739,0.695,0.694
plain,0,saved,train_probe,1,1457967038,0.1,0.2235287322998047,0.8149656524658202,0.9026845245361328,0.8588250885009765,0.941,0.663,0.668
plain,0,saved,test_probe,1,1457967038,0.1,0.7621461791992188,0.7364879760742187,0.8187828979492187,0.7776354370117187,0.739,0.566,0.569
plain,0,saved,train_probe,1,1457967038,0.2,0.2235287322998047,3.6104409942626954,4.0758892364501955,3.8431651153564452,0.941,0.307,0.313
plain,0,saved,test_probe,1,1457967038,0.2,0.7621461791992188,3.3146748657226563,3.8523997192382815,3.583537292480469,0.739,0.306,0.304
plain,0,saved,train_probe,1,1457967038,0.25,0.2235287322998047,5.8807903594970705,6.540322341918945,6.210556350708008,0.941,0.211,0.231
plain,0,saved,test_probe,1,1457967038,0.25,0.7621461791992188,5.432187316894532,6.193600402832032,5.812893859863282,0.739,0.22,0.22
plain,0,saved,train_probe,2,477068399,0.025,0.2235287322998047,0.02225588226318359,0.025592758178710928,0.02392432022094726,0.941,0.936,0.928
plain,0,saved,test_probe,2,477068399,0.025,0.7621461791992188,0.010850463867187465,0.020703979492187496,0.015777221679687425,0.739,0.732,0.737
plain,0,saved,train_probe,2,477068399,0.05,0.2235287322998047,0.09514659118652341,0.095134765625,0.09514067840576174,0.941,0.898,0.893
plain,0,saved,test_probe,2,477068399,0.05,0.7621461791992188,0.06383319091796869,0.07012570190429679,0.06697944641113274,0.739,0.728,0.716
plain,0,saved,train_probe,2,477068399,0.1,0.2235287322998047,0.4427994232177735,0.36526509094238285,0.4040322570800781,0.941,0.753,0.793
plain,0,saved,test_probe,2,477068399,0.1,0.7621461791992188,0.33908273315429693,0.2806163940429687,0.3098495635986327,0.739,0.671,0.69
plain,0,saved,train_probe,2,477068399,0.2,0.2235287322998047,2.4558515167236328,1.4021226959228514,1.928987106323242,0.941,0.445,0.543
plain,0,saved,test_probe,2,477068399,0.2,0.7621461791992188,2.0990869750976566,1.133760986328125,1.6164239807128908,0.739,0.436,0.514
plain,0,saved,train_probe,2,477068399,0.25,0.2235287322998047,4.217191482543945,2.060603469848633,3.1388974761962887,0.941,0.345,0.439
plain,0,saved,test_probe,2,477068399,0.25,0.7621461791992188,3.7663567504882813,1.711546691894531,2.7389517211914063,0.739,0.339,0.437
plain,0,saved,train_probe,3,1131432753,0.025,0.2235287322998047,0.039593688964843776,0.03744467163085935,0.03851918029785156,0.941,0.917,0.917
plain,0,saved,test_probe,3,1131432753,0.025,0.7621461791992188,0.013493713378906258,0.05026513671874999,0.031879425048828125,0.739,0.737,0.722
plain,0,saved,train_probe,3,1131432753,0.05,0.2235287322998047,0.19081637573242188,0.15705462646484375,0.17393550109863282,0.941,0.838,0.857
plain,0,saved,test_probe,3,1131432753,0.05,0.7621461791992188,0.12995745849609375,0.15863739013671874,0.14429742431640624,0.739,0.722,0.702
plain,0,saved,train_probe,3,1131432753,0.1,0.2235287322998047,1.1456900787353514,0.6920526580810547,0.918871368408203,0.941,0.596,0.689
plain,0,saved,test_probe,3,1131432753,0.1,0.7621461791992188,0.9601795654296874,0.6241181640625,0.7921488647460937,0.739,0.556,0.611
plain,0,saved,train_probe,3,1131432753,0.2,0.2235287322998047,8.502859939575195,3.05278742980957,5.7778236846923825,0.941,0.137,0.375
plain,0,saved,test_probe,3,1131432753,0.2,0.7621461791992188,7.960434875488282,2.631498107910156,5.295966491699219,0.739,0.153,0.35
plain,0,saved,train_probe,3,1131432753,0.25,0.2235287322998047,14.503815994262695,4.826835769653321,9.665325881958008,0.941,0.104,0.269
plain,0,saved,test_probe,3,1131432753,0.25,0.7621461791992188,13.946222961425782,4.2965003051757815,9.121361633300781,0.739,0.109,0.252
plain,0,saved,train_probe,4,1119555775,0.025,0.2235287322998047,0.024897613525390633,0.0227110137939453,0.023804313659667953,0.941,0.932,0.929
plain,0,saved,test_probe,4,1119555775,0.025,0.7621461791992188,0.010449310302734327,0.018016815185546875,0.014233062744140601,0.739,0.736,0.744
plain,0,saved,train_probe,4,1119555775,0.05,0.2235287322998047,0.10049078369140624,0.08938658142089845,0.09493868255615234,0.941,0.892,0.888
plain,0,saved,test_probe,4,1119555775,0.05,0.7621461791992188,0.05791311645507813,0.07101568603515618,0.06446440124511721,0.739,0.717,0.726
plain,0,saved,train_probe,4,1119555775,0.1,0.2235287322998047,0.4255896148681641,0.35705229187011717,0.3913209533691407,0.941,0.768,0.795
plain,0,saved,test_probe,4,1119555775,0.1,0.7621461791992188,0.29886056518554693,0.29838119506835925,0.298620880126953,0.739,0.662,0.667
plain,0,saved,train_probe,4,1119555775,0.2,0.2235287322998047,2.187861770629883,1.5562528839111327,1.8720573272705079,0.941,0.438,0.53
plain,0,saved,test_probe,4,1119555775,0.2,0.7621461791992188,1.818295227050781,1.3162272338867187,1.5672612304687499,0.739,0.423,0.482
plain,0,saved,train_probe,4,1119555775,0.25,0.2235287322998047,3.8384716339111327,2.442548049926758,3.140509841918945,0.941,0.31,0.419
plain,0,saved,test_probe,4,1119555775,0.25,0.7621461791992188,3.376284240722656,2.123040344238281,2.749662292480469,0.739,0.291,0.379
plain,0,saved,train_probe,5,2001045824,0.025,0.2235287322998047,0.02922859954833984,0.036261360168457046,0.03274497985839847,0.941,0.925,0.925
plain,0,saved,test_probe,5,2001045824,0.025,0.7621461791992188,0.021013824462890573,0.026858428955078062,0.023936126708984373,0.739,0.734,0.738
plain,0,saved,train_probe,5,2001045824,0.05,0.2235287322998047,0.1369772491455078,0.1375828552246094,0.13728005218505862,0.941,0.876,0.875
plain,0,saved,test_probe,5,2001045824,0.05,0.7621461791992188,0.10925646972656244,0.11037246704101555,0.10981446838378894,0.739,0.728,0.714
plain,0,saved,train_probe,5,2001045824,0.1,0.2235287322998047,0.7044557037353516,0.5784513702392577,0.6414535369873047,0.941,0.676,0.746
plain,0,saved,test_probe,5,2001045824,0.1,0.7621461791992188,0.5837481079101563,0.4724877319335936,0.5281179199218748,0.739,0.612,0.631
plain,0,saved,train_probe,5,2001045824,0.2,0.2235287322998047,3.8577527618408203,2.694387893676758,3.276070327758789,0.941,0.31,0.445
plain,0,saved,test_probe,5,2001045824,0.2,0.7621461791992188,3.5587415161132814,2.2950219116210935,2.9268817138671874,0.739,0.296,0.423
plain,0,saved,train_probe,5,2001045824,0.25,0.2235287322998047,6.126842361450195,4.323810134887696,5.225326248168946,0.941,0.214,0.341
plain,0,saved,test_probe,5,2001045824,0.25,0.7621461791992188,5.737717834472656,3.764624328613281,4.751171081542969,0.739,0.189,0.317
