method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max
gaussian_postrelu,0,recalibrated,test_probe,0.025,20,0.007818035888671821,0.003154337852814817,0.0042675247192381915,0.01632799530029294
gaussian_postrelu,0,recalibrated,test_probe,0.05,20,0.035612410354614224,0.013765302867756261,0.016764724731445302,0.06524520874023432
gaussian_postrelu,0,recalibrated,test_probe,0.1,20,0.16882646789550776,0.06819105964213518,0.08028971862792966,0.30198883056640613
gaussian_postrelu,0,recalibrated,test_probe,0.2,20,0.6609234962463377,0.1692430280425776,0.37897004699707026,0.9687212066650391
gaussian_postrelu,0,recalibrated,test_probe,0.25,20,0.9795753433227539,0.196433621736966,0.6465537567138672,1.3211964263916016
gaussian_postrelu,0,recalibrated,train_probe,0.025,20,0.014969784545898432,0.004327990825702738,0.008761085510253896,0.023442687988281197
gaussian_postrelu,0,recalibrated,train_probe,0.05,20,0.06032037849426271,0.01924414225634039,0.03461379241943363,0.09885301971435545
gaussian_postrelu,0,recalibrated,train_probe,0.1,20,0.23927366790771484,0.07414636355183746,0.12944926452636718,0.3964247436523437
gaussian_postrelu,0,recalibrated,train_probe,0.2,20,0.8182881034851073,0.17940219174816974,0.4903883666992187,1.1492453155517577
gaussian_postrelu,0,recalibrated,train_probe,0.25,20,1.1635692680358887,0.21145385627091995,0.7815135040283204,1.5259733123779298
gaussian_postrelu,0,saved,test_probe,0.025,20,0.02614474220275879,0.009151986253145405,0.00850810241699218,0.04249273681640631
gaussian_postrelu,0,saved,test_probe,0.05,20,0.11858350601196288,0.04310039763068797,0.036898513793945265,0.1945450744628906
gaussian_postrelu,0,saved,test_probe,0.1,20,0.5984596382141113,0.2331059733235857,0.19578536987304684,1.0670842437744141
gaussian_postrelu,0,saved,test_probe,0.2,20,2.8042023941040037,0.8379318459944266,1.327032730102539,4.212652542114258
gaussian_postrelu,0,saved,test_probe,0.25,20,4.317133792114258,1.1553676661507952,2.3264636993408203,5.929817459106445
gaussian_postrelu,0,saved,train_probe,0.025,20,0.035471990966796874,0.009950257019269928,0.01618975067138667,0.0516308517456055
gaussian_postrelu,0,saved,train_probe,0.05,20,0.1508229793548584,0.04834101005157579,0.0636807174682617,0.24594338989257808
gaussian_postrelu,0,saved,train_probe,0.1,20,0.6856595066070557,0.236321808815093,0.2739463119506836,1.197344436645508
gaussian_postrelu,0,saved,train_probe,0.2,20,2.970710043334961,0.8500090552768551,1.4278336334228516,4.399671249389648
gaussian_postrelu,0,saved,train_probe,0.25,20,4.512523796081543,1.1797016149490975,2.4159804840087893,6.148083358764648
gaussian_postrelu,1,recalibrated,test_probe,0.025,20,0.011369956970214878,0.005299839639496321,0.0036695098876953214,0.024660186767578196
gaussian_postrelu,1,recalibrated,test_probe,0.05,20,0.05025964660644535,0.02475003488214201,0.018207992553710972,0.10966343688964852
gaussian_postrelu,1,recalibrated,test_probe,0.1,20,0.21799902801513676,0.08946465003629792,0.08405442810058594,0.3754636383056642
gaussian_postrelu,1,recalibrated,test_probe,0.2,20,0.7564304016113282,0.1948098492078307,0.3893060607910157,1.012262176513672
gaussian_postrelu,1,recalibrated,test_probe,0.25,20,1.084013331604004,0.22898419354656738,0.642359130859375,1.412492889404297
gaussian_postrelu,1,recalibrated,train_probe,0.025,20,0.017113348770141618,0.005766272798080141,0.008263900756835918,0.028455467224121067
gaussian_postrelu,1,recalibrated,train_probe,0.05,20,0.0707335948944092,0.026754871712995325,0.0331559524536133,0.12743531036376954
