account,method,seed,final_test_acc,final_test_ce,wall_seconds,n_checkpoints
maxnicaise,plain,0,0.7453,0.7731327758789063,506.91532473100006,31
maxnicaise,resolution_max_b1,0,0.8031,0.5855790832519531,490.4998488939998,43
maxnicaise,gaussian_postrelu,0,0.7983,0.5883055130004883,628.822424724,73
maxnicaise,resolution_max_b1_gaussian_conv,0,0.8134,0.5434872039794922,760.093912689,73
maxlefrr,plain,1,0.7565,0.7512493560791016,500.14887245299997,31
maxlefrr,resolution_max_b1,1,0.8002,0.5798480804443359,476.3251591139999,43
maxlefrr,gaussian_postrelu,1,0.8008,0.5938298919677735,620.689122756,73
maxlefrr,resolution_max_b1_gaussian_conv,1,0.8124,0.5493452041625977,745.0839569300001,73
maxnikezz,plain,2,0.7624,0.751594076538086,503.9403368609999,31
maxnikezz,resolution_max_b1,2,0.8081,0.5689506484985352,501.8602713480002,43
maxnikezz,gaussian_postrelu,2,0.7987,0.5934026245117188,655.8380917259999,73
maxnikezz,resolution_max_b1_gaussian_conv,2,0.8187,0.5403551956176758,768.175565085,73
maximemonstrenikez,plain,3,0.7535,0.7673122619628906,488.13176418600005,31
maximemonstrenikez,resolution_max_b1,3,0.8,0.5919819396972656,483.06553246500005,43
maximemonstrenikez,gaussian_postrelu,3,0.8098,0.5513179992675781,622.5181880959999,73
maximemonstrenikez,resolution_max_b1_gaussian_conv,3,0.8153,0.5436371322631836,745.523786355,73
maxlefrr,plain,4,0.765,0.753387744140625,491.57033390299966,31
maxlefrr,resolution_max_b1,4,0.7993,0.5932301376342773,481.0672632300002,43
maxlefrr,gaussian_postrelu,4,0.7984,0.6086985260009765,627.3203671479998,73
maxlefrr,resolution_max_b1_gaussian_conv,4,0.819,0.5350250259399414,721.4319319270003,73
