policy,split,method,quantity,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4
saved,train_probe,resolution_max_b1,centre CE - plain,5,0.10828756408691406,0.0174926841178037,0,5,0,0.09702378845214843,0.10655354309082032,0.09438659667968752,0.10531915283203125,0.13815473937988282
saved,train_probe,gaussian_postrelu,centre CE - plain,5,0.07634207000732422,0.018672101130904988,0,5,0,0.059910369873046876,0.09243133544921878,0.054773681640625016,0.07833961486816404,0.09625534820556642
saved,train_probe,resolution_max_b1_gaussian_conv,centre CE - plain,5,0.10512386474609374,0.018559725053267462,0,5,0,0.08310163879394533,0.09653366088867188,0.09730950927734378,0.12119795227050778,0.1274765625
saved,test_probe,resolution_max_b1,centre CE - plain,5,-0.1794965393066406,0.017051368498392786,5,0,0,-0.19829849243164066,-0.15423419189453125,-0.18071932983398442,-0.19094952392578124,-0.17328115844726555
saved,test_probe,gaussian_postrelu,centre CE - plain,5,-0.16650578918457032,0.03107544138770781,5,0,0,-0.19667909240722659,-0.14951184082031255,-0.13840960693359383,-0.203653076171875,-0.14427532958984368
saved,test_probe,resolution_max_b1_gaussian_conv,centre CE - plain,5,-0.2113630615234375,0.03110503128320613,5,0,0,-0.22971731567382814,-0.16475488281249995,-0.19441500854492189,-0.22886282348632814,-0.23906527709960934
recalibrated,train_probe,resolution_max_b1,centre CE - plain,5,0.10830914611816404,0.017223809420100083,0,5,0,0.09592208862304688,0.1058750076293945,0.09499250793457031,0.10731034088134764,0.13744578552246095
recalibrated,train_probe,gaussian_postrelu,centre CE - plain,5,0.07739321594238281,0.018310090444136024,0,5,0,0.06025418090820314,0.09198296356201169,0.0574153289794922,0.07912848663330077,0.09818511962890625
recalibrated,train_probe,resolution_max_b1_gaussian_conv,centre CE - plain,5,0.10707537536621095,0.020189352136897196,0,5,0,0.0844456024169922,0.09603778839111327,0.09815422058105466,0.12613054656982423,0.13060871887207032
recalibrated,test_probe,resolution_max_b1,centre CE - plain,5,-0.17860103149414058,0.017331247829514874,5,0,0,-0.1966174926757812,-0.15142877197265625,-0.18270144653320308,-0.18851019287109372,-0.1737472534179687
recalibrated,test_probe,gaussian_postrelu,centre CE - plain,5,-0.1636713409423828,0.02990283710991062,5,0,0,-0.18866947937011713,-0.14548922729492186,-0.13713894653320313,-0.20287988281250002,-0.14417916870117187
recalibrated,test_probe,resolution_max_b1_gaussian_conv,centre CE - plain,5,-0.20953422851562498,0.03089796003204253,5,0,0,-0.22900457763671878,-0.16246374511718742,-0.19443743896484367,-0.22437945556640626,-0.2373859252929687
centre_frozen,train_probe,resolution_max_b1,centre CE - plain,5,0.10830914611816404,0.017223809420100083,0,5,0,0.09592208862304688,0.1058750076293945,0.09499250793457031,0.10731034088134764,0.13744578552246095
centre_frozen,train_probe,gaussian_postrelu,centre CE - plain,5,0.07739321594238281,0.018310090444136024,0,5,0,0.06025418090820314,0.09198296356201169,0.0574153289794922,0.07912848663330077,0.09818511962890625
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,centre CE - plain,5,0.10707537536621095,0.020189352136897196,0,5,0,0.0844456024169922,0.09603778839111327,0.09815422058105466,0.12613054656982423,0.13060871887207032
centre_frozen,test_probe,resolution_max_b1,centre CE - plain,5,-0.17860103149414058,0.017331247829514874,5,0,0,-0.1966174926757812,-0.15142877197265625,-0.18270144653320308,-0.18851019287109372,-0.1737472534179687
centre_frozen,test_probe,gaussian_postrelu,centre CE - plain,5,-0.1636713409423828,0.02990283710991062,5,0,0,-0.18866947937011713,-0.14548922729492186,-0.13713894653320313,-0.20287988281250002,-0.14417916870117187
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,centre CE - plain,5,-0.20953422851562498,0.03089796003204253,5,0,0,-0.22900457763671878,-0.16246374511718742,-0.19443743896484367,-0.22437945556640626,-0.2373859252929687
