policy,split,amplitude,method,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4,mean_relative_to_plain
saved,train_probe,0.005,resolution_max_b1,5,-0.0005807171249389688,0.00026237028715859486,5,0,0,-0.00043932418823241647,-0.0008046016693115318,-0.0009092327117920116,-0.0002950559616088893,-0.0004553710937499941,-0.34698359679692153
saved,train_probe,0.005,gaussian_postrelu,5,-0.00022985507965088414,0.00024712083243895856,4,1,0,-6.52534484863257e-05,-0.0004061248779297019,-0.0005550722122192556,-0.00017003574371336479,4.72108840942273e-05,-0.1286755152310186
saved,train_probe,0.005,resolution_max_b1_gaussian_conv,5,-0.0006549267959594762,0.00025915182245102444,5,0,0,-0.000598780822753929,-0.0008671600341796882,-0.0009695838928222913,-0.00034663639068600307,-0.0004924728393554692,-0.3944385508660376
saved,train_probe,0.01,resolution_max_b1,5,-0.002235585289001469,0.00080711882771327,5,0,0,-0.001849308586120593,-0.0030236385345459027,-0.003167502021789572,-0.0013716499328613211,-0.0017658273696899577,-0.3411969601901352
saved,train_probe,0.01,gaussian_postrelu,5,-0.0006659327316284259,0.0008660312364043528,4,1,0,-0.00017135181427002655,-0.0012846290588379187,-0.0018252506256103713,-0.0003443929672240975,0.0002959608078002846,-0.09388948070382916
saved,train_probe,0.01,resolution_max_b1_gaussian_conv,5,-0.00258568119049073,0.0007939824338769647,5,0,0,-0.002520430564880391,-0.003353725051879886,-0.003416345787048368,-0.0016432632446288812,-0.0019946413040161214,-0.39716035465853355
saved,train_probe,0.02,resolution_max_b1,5,-0.008925029869079589,0.0024647932733125196,5,0,0,-0.007797508239746079,-0.011521091079711922,-0.01163504753112794,-0.006507407951354974,-0.007164094543457032,-0.3432842719552368
saved,train_probe,0.02,gaussian_postrelu,5,-0.002018147544860842,0.0034047586912509032,3,2,0,-0.0007762222290038992,-0.004712527465820328,-0.006456235885620134,0.00041644344329835534,0.0014378044128417963,-0.07090386949611258
saved,train_probe,0.02,resolution_max_b1_gaussian_conv,5,-0.010425568275451661,0.00228094531065143,5,0,0,-0.010472151184082045,-0.012764831924438471,-0.012556512069702166,-0.007621782112121556,-0.008712564086914067,-0.40339041538137216
saved,train_probe,0.025,resolution_max_b1,5,-0.014055639495849615,0.003541602944274381,5,0,0,-0.012382202720642076,-0.017907736968994156,-0.017858406829833993,-0.010762452316284182,-0.011367398643493655,-0.34571678763042
saved,train_probe,0.025,gaussian_postrelu,5,-0.002700222434997569,0.0054327748237419276,3,2,0,-0.0011213037490844652,-0.007122184753418012,-0.009631449317932153,0.0018680507659912249,0.0025057748794555593,-0.060005644493052776
saved,train_probe,0.025,resolution_max_b1_gaussian_conv,5,-0.016428677673339845,0.0031556384415924363,5,0,0,-0.01656587238311769,-0.01971677742004395,-0.01927931060791019,-0.012521931457519495,-0.014059496498107907,-0.4064604263552476
saved,train_probe,0.05,resolution_max_b1,5,-0.05997340679168702,0.011375132605113128,5,0,0,-0.052816117095947246,-0.07377216758728028,-0.07084300041198735,-0.05271373748779297,-0.049722011375427255,-0.3582827057117046
saved,train_probe,0.05,gaussian_postrelu,5,-0.0043043474960327175,0.024982331481077112,3,2,0,-0.000728340911865244,-0.025071346282958984,-0.03427738151550297,0.023849647140502944,0.014705684089660664,-0.020083136088730507
saved,train_probe,0.05,resolution_max_b1_gaussian_conv,5,-0.0699087376022339,0.009204550208649697,5,0,0,-0.07107735176086429,-0.08003380241394044,-0.07696180114746098,-0.05782287635803218,-0.06364785633087161,-0.42000143762558906
saved,train_probe,0.1,resolution_max_b1,5,-0.268175668258667,0.04046020844699758,5,0,0,-0.24442386932373034,-0.3194245635986327,-0.2967154342651367,-0.26221322746276876,-0.2181012466430664,-0.36348903674555305
saved,train_probe,0.1,gaussian_postrelu,5,-0.024414371643066368,0.10774593705655422,2,3,0,0.007490406417846707,-0.13855790481567376,-0.13466211624145508,0.1010692211151124,0.04258853530883788,-0.02731694752467393
saved,train_probe,0.1,resolution_max_b1_gaussian_conv,5,-0.3122757609558105,0.03444568100648404,5,0,0,-0.3295997058868408,-0.3541234100341796,-0.32167003707885744,-0.26668390769958494,-0.2893017440795898,-0.4253339602120505
saved,train_probe,0.2,resolution_max_b1,5,-1.0575729684448247,0.15357442326720697,5,0,0,-1.1720973281860356,-1.1945338333129887,-1.092635667419434,-1.014753118896485,-0.8138448944091801,-0.31346450494341355
saved,train_probe,0.2,gaussian_postrelu,5,-0.4623636242675782,0.34819452482563984,5,0,0,-0.321524787902832,-0.9473352035522464,-0.69635135345459,-0.10981007995605507,-0.2367966964721675,-0.1327912748193127
saved,train_probe,0.2,resolution_max_b1_gaussian_conv,5,-1.240911994171143,0.21450709431542433,5,0,0,-1.51026992263794,-1.4337948730468755,-1.129797261047364,-1.0530113815307622,-1.0776865325927734,-0.3682494121164509
saved,train_probe,0.25,resolution_max_b1,5,-1.470098885803223,0.24699844428790046,5,0,0,-1.8148705368041997,-1.6032858581542966,-1.404380642700195,-1.3592066116333021,-1.168750779724121,-0.27719053520494047
saved,train_probe,0.25,gaussian_postrelu,5,-0.8969434378051762,0.40591716910731407,5,0,0,-0.7848952133178715,-1.5133236907958993,-1.0650020050048825,-0.48233470611572393,-0.6391615737915037,-0.1665343145358913
saved,train_probe,0.25,resolution_max_b1_gaussian_conv,5,-1.7633243170166015,0.3789647261679515,5,0,0,-2.279359584045411,-2.053797233581543,-1.4335518569946277,-1.5514308975219735,-1.4984820129394527,-0.3321576541785055
saved,train_probe,0.35,resolution_max_b1,5,-2.1062776153564458,0.7155323085170108,5,0,0,-3.268481991577149,-2.156047872924807,-1.3620687835693346,-1.9978949920654303,-1.7468944366455084,-0.20894366374620402
saved,train_probe,0.35,gaussian_postrelu,5,-1.9323958584594727,0.4461973560680746,5,0,0,-2.1994162017822276,-2.5368573669433587,-1.4202149230957026,-1.6246500091552711,-1.8808407913208027,-0.19181634459688138
saved,train_probe,0.35,resolution_max_b1_gaussian_conv,5,-2.7117334545898437,0.9568126436927495,5,0,0,-3.9089626464843743,-3.337487579345704,-1.507351495361327,-2.7148155975341783,-2.0900499542236357,-0.2680644839893346
saved,train_probe,0.5,resolution_max_b1,5,-3.185454579467774,1.9903762905621807,5,0,0,-5.545265890502929,-2.71896477355957,-0.5776448364257867,-4.7682905090332035,-2.3171068878173813,-0.14733126482645528
saved,train_probe,0.5,gaussian_postrelu,5,-4.298778645935057,1.352748573173929,5,0,0,-5.7965328186035165,-4.540335540771483,-2.0844011169433614,-4.5661916473388615,-4.506432106018066,-0.20102120980341356
saved,train_probe,0.5,resolution_max_b1_gaussian_conv,5,-4.6299905352783215,2.454045371995486,5,0,0,-7.084087838745122,-5.6086033416748045,-2.563737304687507,-6.386646676635738,-1.506877514648437,-0.21353367802111958
saved,test_probe,0.005,resolution_max_b1,5,-0.00037385665893554295,0.0001956613073821202,5,0,0,-0.00017728576660152034,-0.00028182449340818363,-0.0005003623962402003,-0.0006509689331054725,-0.00025884170532233797,-0.284386197274022
saved,test_probe,0.005,gaussian_postrelu,5,-0.00011205192565916565,0.00019936263279726526,4,1,0,-0.0002546756744384481,-0.0002060661315917312,-0.0002620635986327446,-4.629898071291101e-05,0.00020884475708000667,-0.09008143381376907
saved,test_probe,0.005,resolution_max_b1_gaussian_conv,5,-0.0004615402984619188,0.00018060419593613495,5,0,0,-0.0003204616546630789,-0.00042080917358399686,-0.000539834213256829,-0.00073400344848632,-0.00029259300231936894,-0.35725265019445385
saved,test_probe,0.01,resolution_max_b1,5,-0.001637193908691411,0.0006793981448660902,5,0,0,-0.0009264144897460302,-0.0015407218933105645,-0.002280542755126913,-0.0023916343688965115,-0.001046656036377036,-0.30842749778559936
saved,test_probe,0.01,gaussian_postrelu,5,-0.0006205134582519388,0.0008206406919532131,4,1,0,-0.0006851924896240035,-0.0010576236724853137,-0.0015086746215819567,-0.0005353515624999866,0.000684275054931566,-0.11122913228734914
saved,test_probe,0.01,resolution_max_b1_gaussian_conv,5,-0.002023312835693374,0.0006984785946615856,5,0,0,-0.0014950683593749625,-0.0022102096557617633,-0.002585950851440444,-0.002717798233032237,-0.0011075370788574622,-0.38382655842587704
saved,test_probe,0.02,resolution_max_b1,5,-0.007140357208251942,0.0019115278184146567,5,0,0,-0.004937156677246042,-0.007555861663818338,-0.009275189971923786,-0.008543376159667954,-0.00539020156860359,-0.332543633457779
saved,test_probe,0.02,gaussian_postrelu,5,-0.002361223068237269,0.0031284450541172004,4,1,0,-0.0018436450958251374,-0.004546823883056571,-0.006203449249267495,-0.0010482864379882384,0.0018360893249510964,-0.10321199640990267
saved,test_probe,0.02,resolution_max_b1_gaussian_conv,5,-0.008601452178955079,0.0022423850188147197,5,0,0,-0.006878503417968702,-0.010046082305908244,-0.010449914550781246,-0.010097626113891573,-0.0055351345062256245,-0.4006214412271012
saved,test_probe,0.025,resolution_max_b1,5,-0.011457700195312495,0.0026370791112160707,5,0,0,-0.008505101013183535,-0.012032622528076159,-0.014581481170654241,-0.013174148559570338,-0.008995147705078206,-0.3390927219760093
saved,test_probe,0.025,gaussian_postrelu,5,-0.0032865566253661924,0.005100957057133102,4,1,0,-0.0028163661956786615,-0.006785461425781184,-0.009726368713378834,-0.0001829315185547173,0.0030783447265624354,-0.09101002141692471
saved,test_probe,0.025,resolution_max_b1_gaussian_conv,5,-0.013682074432373065,0.0031505442833818153,5,0,0,-0.011430782699584963,-0.015717630004882858,-0.016317886352539057,-0.015682646179199233,-0.009261426925659216,-0.4047170643870954
saved,test_probe,0.05,resolution_max_b1,5,-0.048263944549560525,0.0087000858053366,5,0,0,-0.03985892410278316,-0.05179772644042964,-0.059130233001708915,-0.05173122634887692,-0.03880161285400402,-0.34372697569919053
saved,test_probe,0.05,gaussian_postrelu,5,-0.002573032531738248,0.024717629254024417,3,2,0,-0.005391311645507768,-0.0190479927062987,-0.032999182128906165,0.023452504730224644,0.02112081909179675,-0.01279362368946762
saved,test_probe,0.05,resolution_max_b1_gaussian_conv,5,-0.056598402099609355,0.009687837758436303,5,0,0,-0.051750476837158166,-0.06448681640625001,-0.06519594116210935,-0.059383102798461845,-0.04217567329406745,-0.4033758425074243
saved,test_probe,0.1,resolution_max_b1,5,-0.21224170700073247,0.041017225586320455,5,0,0,-0.187028044128418,-0.2527480972290038,-0.25371347808837896,-0.20754640350341796,-0.1601725120544436,-0.3355900581535869
saved,test_probe,0.1,gaussian_postrelu,5,0.009706398010253903,0.10905420053546898,2,3,0,0.024984284973144533,-0.08738433609008778,-0.1152196090698242,0.1346890846252442,0.09146256561279276,0.02455145633656603
saved,test_probe,0.1,resolution_max_b1_gaussian_conv,5,-0.2445999482727051,0.04593254597188193,5,0,0,-0.24502466812133789,-0.2989534744262695,-0.28033655014038095,-0.2067968978881835,-0.19188815078735366,-0.3877104431454257
saved,test_probe,0.2,resolution_max_b1,5,-0.874925307922363,0.15103088037131454,5,0,0,-0.9330290557861329,-0.9913299774169917,-0.9999283920288082,-0.8083436935424797,-0.6419954208374024,-0.28644166845037494
saved,test_probe,0.2,gaussian_postrelu,5,-0.3098649154663084,0.3653354671769868,4,1,0,-0.1347366210937504,-0.757630786132812,-0.6415584533691399,0.06331884002685584,-0.07871755676269565,-0.09526814322593116
saved,test_probe,0.2,resolution_max_b1_gaussian_conv,5,-1.0359162149047847,0.20808844982752842,5,0,0,-1.226194206237793,-1.2558044982910155,-1.0465414321899407,-0.8248114074707025,-0.826229530334472,-0.33927480859729114
saved,test_probe,0.25,resolution_max_b1,5,-1.2429372933959957,0.2136473412736047,5,0,0,-1.508371812438965,-1.343174569702147,-1.2779335510253902,-1.1440566253662112,-0.9411499084472656,-0.2541291405985956
saved,test_probe,0.25,gaussian_postrelu,5,-0.6979126647949215,0.41404460448508434,5,0,0,-0.5287945129394531,-1.2743169616699213,-0.9771374816894527,-0.2795781372070314,-0.4297362304687491,-0.13933678926377427
saved,test_probe,0.25,resolution_max_b1_gaussian_conv,5,-1.509822388000488,0.33625796894114074,5,0,0,-1.9272590576171877,-1.8182302307128895,-1.305612130737304,-1.2997789688110353,-1.1982315521240237,-0.3081838452342315
