method,seed,policy,split,direction,amplitude,L_centre,dL_plus,dL_minus,S,C_d
plain,0,saved,train_probe,0,0.005,0.2235287322998047,-0.00028132629394531095,0.0028029785156249987,0.00126082611083983,100.86608886718639
plain,0,saved,train_probe,1,0.005,0.2235287322998047,0.0012707824707031135,0.002421829223632821,0.0018463058471679672,147.70446777343736
plain,0,saved,train_probe,2,0.005,0.2235287322998047,0.0004595413208007826,0.0017372589111327996,0.001098400115966791,87.87200927734328
plain,0,saved,train_probe,3,0.005,0.2235287322998047,0.0011437225341796864,0.0016453170776367099,0.001394519805908212,111.56158447265696
plain,0,saved,train_probe,4,0.005,0.2235287322998047,0.0010115509033203074,0.0008398971557617152,0.0009257240295409974,74.05792236327979
plain,0,saved,train_probe,5,0.005,0.2235287322998047,0.0003577880859375049,0.0021940612792968606,0.0012759246826171688,102.07397460937351
plain,0,saved,train_probe,6,0.005,0.2235287322998047,0.0029450988769531283,0.0006698303222656132,0.0018074645996093708,144.59716796874966
plain,0,saved,train_probe,7,0.005,0.2235287322998047,0.0004398117065429752,0.0019188919067382737,0.0011793518066406383,94.34814453125107
plain,0,saved,train_probe,8,0.005,0.2235287322998047,0.0014253616333007868,0.0016706542968749905,0.0015480079650878886,123.84063720703108
plain,0,saved,train_probe,9,0.005,0.2235287322998047,0.00361284637451173,-0.0008556137084961002,0.001378616333007815,110.28930664062518
plain,0,saved,train_probe,10,0.005,0.2235287322998047,0.0008985519409179799,0.0014580612182617247,0.0011783065795898384,94.26452636718707
plain,0,saved,train_probe,11,0.005,0.2235287322998047,0.0009767456054687595,0.002002975463867185,0.001489860534667986,119.18884277343888
plain,0,saved,train_probe,12,0.005,0.2235287322998047,0.0013404464721679665,0.0015524444580078123,0.0014464454650878755,115.71563720703004
plain,0,saved,train_probe,13,0.005,0.2235287322998047,0.0005633010864257715,0.0019286651611327976,0.0012459831237792707,99.67864990234165
plain,0,saved,train_probe,14,0.005,0.2235287322998047,0.0011867294311523335,0.0023294219970703134,0.0017580757141113235,140.64605712890588
plain,0,saved,train_probe,15,0.005,0.2235287322998047,0.0019179687499999987,0.0008698730468749971,0.001393920898437484,111.51367187499872
plain,0,saved,train_probe,16,0.005,0.2235287322998047,0.0033509979248046995,0.00023041534423828836,0.001790706634521494,143.25653076171952
plain,0,saved,train_probe,17,0.005,0.2235287322998047,0.0030004653930663927,0.0004532546997070286,0.0017268600463867245,138.14880371093795
plain,0,saved,train_probe,18,0.005,0.2235287322998047,0.0024758834838867205,0.0005588607788085953,0.0015173721313476718,121.38977050781374
plain,0,saved,train_probe,19,0.005,0.2235287322998047,0.00010646057128907427,0.0025453796386718797,0.001325920104980477,106.07360839843815
plain,0,saved,train_probe,0,0.01,0.2235287322998047,0.002511001586914058,0.008617004394531252,0.005564002990722655,111.2800598144531
plain,0,saved,train_probe,1,0.01,0.2235287322998047,0.006035308837890635,0.008595375061035165,0.0073153419494629,146.30683898925798
plain,0,saved,train_probe,2,0.01,0.2235287322998047,0.0028418426513671935,0.0051648254394531246,0.004003334045410145,80.0666809082029
plain,0,saved,train_probe,3,0.01,0.2235287322998047,0.005400016784667977,0.006001342773437501,0.005700679779052753,114.01359558105506
plain,0,saved,train_probe,4,0.01,0.2235287322998047,0.004102012634277341,0.0035708694458007895,0.0038364410400390514,76.72882080078102
plain,0,saved,train_probe,5,0.01,0.2235287322998047,0.003254234313964849,0.0068665313720703,0.005060382843017575,101.20765686035149
plain,0,saved,train_probe,6,0.01,0.2235287322998047,0.009675033569335939,0.0049998321533203105,0.007337432861328125,146.7486572265625
