method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max,n_negative_S,C_mean,C_direction_sd
plain,0,saved,train_probe,0.005,20,0.0014294296264648412,0.00025749271038012273,0.0009257240295409974,0.0018463058471679672,0,114.35437011718727,20.59941683040982
plain,0,saved,train_probe,0.01,20,0.0057830202102661125,0.0010629624056949355,0.0038364410400390514,0.007337432861328125,0,115.66040420532222,21.259248113898717
plain,0,saved,train_probe,0.02,20,0.02332507820129394,0.004261989449475828,0.015361232757568344,0.02996712112426758,0,116.6253910064697,21.30994724737914
plain,0,saved,train_probe,0.025,20,0.03659329471588134,0.006783861469898829,0.023804313659667953,0.046932327270507834,0,117.09854309082027,21.708356703676248
plain,0,saved,train_probe,0.05,20,0.15155132026672363,0.030879110493852627,0.09493868255615234,0.19340144348144533,0,121.24105621337887,24.703288395082097
plain,0,saved,train_probe,0.1,20,0.678169100189209,0.16734943750286566,0.3913209533691407,0.918871368408203,0,135.63382003784176,33.46988750057313
plain,0,saved,train_probe,0.2,20,3.292234831237793,1.0686546351540183,1.8720573272705079,5.7778236846923825,0,164.61174156188963,53.432731757700914
plain,0,saved,train_probe,0.25,20,5.297419009399414,1.765119374567092,3.1388974761962887,9.665325881958008,0,169.51740830078126,56.48381998614694
plain,0,saved,train_probe,0.35,20,10.37160915222168,3.432613254853457,5.9673072052001945,19.29139094543457,0,169.33239432198664,56.042665385362575
plain,0,saved,train_probe,0.5,20,22.12906711730957,7.183251814400333,11.78439729309082,41.352940994262696,0,177.03253693847657,57.466014515202666
plain,0,saved,test_probe,0.005,20,0.001028180694580033,0.00035609833305164047,0.0004228820800780131,0.0016066131591796484,0,82.25445556640264,28.48786664413124
plain,0,saved,test_probe,0.01,20,0.004302430725097617,0.0013185517930353451,0.002177658081054634,0.006494583129882825,0,86.04861450195234,26.371035860706904
plain,0,saved,test_probe,0.02,20,0.018121926116943306,0.0050675588625186535,0.008785995483398423,0.02621936035156236,0,90.60963058471651,25.33779431259327
plain,0,saved,test_probe,0.025,20,0.028961108398437452,0.007954303209376725,0.014233062744140601,0.04096691894531246,0,92.67554687499984,25.453770270005514
plain,0,saved,test_probe,0.05,20,0.12397481765747065,0.03325381037925011,0.06446440124511721,0.17479524230957022,0,99.1798541259765,26.603048303400083
plain,0,saved,test_probe,0.1,20,0.5734753532409668,0.16541513051397103,0.298620880126953,0.7989196472167968,0,114.69507064819331,33.0830261027942
plain,0,saved,test_probe,0.2,20,2.938939015197754,1.0459625508422399,1.5672612304687499,5.295966491699219,0,146.94695075988767,52.29812754211199
plain,0,saved,test_probe,0.25,20,4.845928305053711,1.7390962504873426,2.7389517211914063,9.121361633300781,0,155.06970576171875,55.651080015594964
plain,0,saved,test_probe,0.35,20,9.829694747924805,3.4175901040038528,5.478613403320313,18.793850158691406,0,160.48481221101727,55.79738945312414
plain,0,saved,test_probe,0.5,20,21.570463598632816,7.151796671331125,11.324573547363283,40.76757940673828,0,172.56370878906253,57.214373370649
