method,epoch,split,policy,n_seeds,n_before_state_lowest,n_after_lower_than_before
resolution_max_b1,6,train_probe,saved,5,5,0
resolution_max_b1,6,train_probe,recalibrated,5,5,0
resolution_max_b1,6,test_probe,saved,5,5,0
resolution_max_b1,6,test_probe,recalibrated,5,5,0
resolution_max_b1,12,train_probe,saved,5,5,0
resolution_max_b1,12,train_probe,recalibrated,5,5,0
resolution_max_b1,12,test_probe,saved,5,5,0
resolution_max_b1,12,test_probe,recalibrated,5,5,0
gaussian_postrelu,3,train_probe,saved,5,5,0
gaussian_postrelu,3,train_probe,recalibrated,5,4,1
gaussian_postrelu,3,test_probe,saved,5,5,0
gaussian_postrelu,3,test_probe,recalibrated,5,2,3
gaussian_postrelu,6,train_probe,saved,5,5,0
gaussian_postrelu,6,train_probe,recalibrated,5,5,0
gaussian_postrelu,6,test_probe,saved,5,5,0
gaussian_postrelu,6,test_probe,recalibrated,5,5,0
gaussian_postrelu,9,train_probe,saved,5,5,0
gaussian_postrelu,9,train_probe,recalibrated,5,5,0
gaussian_postrelu,9,test_probe,saved,5,5,0
gaussian_postrelu,9,test_probe,recalibrated,5,5,0
gaussian_postrelu,12,train_probe,saved,5,5,0
gaussian_postrelu,12,train_probe,recalibrated,5,5,0
gaussian_postrelu,12,test_probe,saved,5,5,0
gaussian_postrelu,12,test_probe,recalibrated,5,5,0
gaussian_postrelu,15,train_probe,saved,5,5,0
gaussian_postrelu,15,train_probe,recalibrated,5,5,0
gaussian_postrelu,15,test_probe,saved,5,5,0
gaussian_postrelu,15,test_probe,recalibrated,5,5,0
gaussian_postrelu,18,train_probe,saved,5,5,0
gaussian_postrelu,18,train_probe,recalibrated,5,5,0
gaussian_postrelu,18,test_probe,saved,5,5,0
gaussian_postrelu,18,test_probe,recalibrated,5,5,0
gaussian_postrelu,21,train_probe,saved,5,5,0
gaussian_postrelu,21,train_probe,recalibrated,5,5,0
gaussian_postrelu,21,test_probe,saved,5,5,0
gaussian_postrelu,21,test_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,3,train_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,3,train_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,3,test_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,3,test_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,6,train_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,6,train_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,6,test_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,6,test_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,9,train_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,9,train_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,9,test_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,9,test_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,12,train_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,12,train_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,12,test_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,12,test_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,15,train_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,15,train_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,15,test_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,15,test_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,18,train_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,18,train_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,18,test_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,18,test_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,21,train_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,21,train_probe,recalibrated,5,5,0
resolution_max_b1_gaussian_conv,21,test_probe,saved,5,5,0
resolution_max_b1_gaussian_conv,21,test_probe,recalibrated,5,5,0
